Produto/Unidade,Nível de Comercialização,U.F.,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
ARROZ LONGO FINO BENEFICIADO TIPO 1 (25 kg),ATACADO,AC,"110,50","107,00","107,00","109,81","111,50","112,00","112,00","112,52","110,09","110,00","110,00","110,00"
AÇÚCAR CRISTAL (kg),ATACADO,AC,"3,43","3,53","3,64","3,74","3,83","3,87","3,89","3,90","3,90","3,90","3,90","3,92"
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,AC,"99,30","101,32","105,78","108,00","108,00","109,27","110,00","113,91","116,14","118,50","120,00","120,00"
CARNE BOVINA DIANTEIRO COM OSSO (25 - 30 kg),ATACADO,AC,"278,50","280,53","282,00","282,00","282,00","282,00","282,00","282,00","282,91","288,50","290,00","290,00"
CARNE DE FRANGO CONGELADO (20 kg),ATACADO,AC,"134,00","135,00","138,83","139,95","142,00","142,18","143,00","143,35","144,68","146,50","146,00","146,00"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AC,"148,25","151,32","153,00","152,06","153,00","153,18","154,00","154,00","154,00","154,25","155,00","155,00"
FARINHA DE MANDIOCA SECA MÉDIA AMARELO (A) (10 kg),ATACADO,AC,"39,58","39,65","40,61","41,95","43,00","43,20","43,50","43,52","43,59","43,64","43,68","43,73"
FARINHA DE MANDIOCA SECA MÉDIA BRANCO (A) (10 kg),ATACADO,AC,"38,87","38,87","39,33","39,98","40,00","40,33","40,55","40,64","40,71","40,74","40,78","40,84"
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (kg),ATACADO,AC,"4,47","4,48","4,51","4,55","4,57","4,56","4,57","4,55","4,55","4,56","4,58","4,58"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AC,"165,00","165,26","165,00","165,00","165,00","165,00","165,00","165,00","164,55","165,00","165,00","165,00"
FLOCOS DE MILHO ENRIQUECIDO (kg),ATACADO,AC,"4,47","4,50","4,60","4,60","4,52","4,49","4,50","4,52","4,55","4,55","4,56","4,58"
FLOCOS DE MILHO PRE-COZIDO (kg),ATACADO,AC,"4,47","4,51","4,60","4,60","4,51","4,49","4,50","4,52","4,55","4,55","4,56","4,58"
FUBÁ DE MILHO COMUM AMARELO (500 g),ATACADO,AC,"3,54","3,61","3,64","3,65","3,68","3,69","3,70","3,73","3,75","3,74","3,75","3,77"
LEITE DE VACA EM PÓ INTEGRAL (400 g),ATACADO,AC,"11,91","11,95","11,94","11,94","11,95","12,15","13,00","13,17","13,60","14,00","14,00","14,23"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AC,"54,93","55,26","56,00","56,00","56,00","56,70","58,00","59,96","64,14","66,25","67,00","67,00"
