01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.5,47.3,46.24,46.25,46.88,45.67,45.79,45.84,45.13,42.93,42.83,43.56,43.85,44.0,44.06,60.93,68.29,68.13,65.76,62.38,62.31,60.18,60.44,60.41,60.32,60.84,61.63,62.39,62.89,64.3,67.95,70.0,72.0,72.0,72.0,71.57,71.0,68.42,71.22,73.0,74.0,74.0,74.0,73.0,73.0,73.0,73.11,73.0,72.5,73.25,73.29,78.34,78.35,78.34,78.25,78.25,78.25,79.55,80.0,80.0
12.0,47.3,46.24,46.25,46.88,45.67,45.79,45.84,45.13,42.93,42.83,43.56,43.85,44.0,44.06,60.93,68.29,68.13,65.76,62.38,62.31,60.18,60.44,60.41,60.32,60.84,61.63,62.39,62.89,64.3,67.95,70.0,72.0,72.0,72.0,71.57,71.0,68.42,71.22,73.0,74.0,74.0,74.0,73.0,73.0,73.0,73.11,73.0,72.5,73.25,73.29,78.34,78.35,78.34,78.25,78.25,78.25,79.55,80.0,80.0
86.64,84.68,84.17,83.03,93.55,90.95,87.68,87.55,89.16,90.61,90.89,90.52,91.93,92.95,97.83,105.81,109.13,112.73,110.06,121.08,144.4,141.59,143.8,149.91,145.86,151.8,149.49,154.06,147.79,152.64,146.88,141.97,137.13,132.52,133.17,130.03,122.61,126.14,140.67,137.96,134.9,135.96,137.21,134.11,138.47,141.47,139.71,150.04,153.07,157.47,156.55,171.19,152.92,153.81,171.51,168.53,179.59,173.38,188.95,200.36
54.54,55.7,57.24,56.81,57.33,61.53,63.3,62.55,60.18,59.71,57.08,57.84,59.9,62.21,62.73,64.93,67.89,66.04,110.06,69.31,70.9,70.0,71.87,74.94,76.41,75.49,76.86,72.32,89.27,98.79,97.88,100.72,97.18,96.87,103.38,106.91,108.66,110.63,109.59,111.4,113.78,116.95,115.96,116.35,114.86,112.19,107.34,94.14,91.78,95.34,96.24,98.59,114.72,119.89,116.03,112.01,105.32,108.88,110.21,110.36
4.0,55.7,57.24,56.81,57.33,61.53,63.3,62.55,60.18,59.71,57.08,57.84,59.9,62.21,62.73,64.93,67.89,66.04,110.06,69.31,70.9,70.0,71.87,74.94,76.41,75.49,76.86,72.32,89.27,98.79,97.88,100.72,97.18,96.87,103.38,106.91,108.66,110.63,109.59,111.4,113.78,116.95,115.96,116.35,114.86,112.19,107.34,94.14,91.78,95.34,96.24,98.59,114.72,119.89,116.03,112.01,105.32,108.88,110.21,110.36
3.5,55.7,57.24,56.81,57.33,61.53,63.3,62.55,60.18,59.71,57.08,57.84,59.9,62.21,62.73,64.93,67.89,66.04,110.06,69.31,70.9,70.0,71.87,74.94,76.41,75.49,76.86,72.32,89.27,98.79,97.88,100.72,97.18,96.87,103.38,106.91,108.66,110.63,109.59,111.4,113.78,116.95,115.96,116.35,114.86,112.19,107.34,94.14,91.78,95.34,96.24,98.59,114.72,119.89,116.03,112.01,105.32,108.88,110.21,110.36
2.0,55.7,57.24,56.81,57.33,61.53,63.3,62.55,60.18,59.71,57.08,57.84,59.9,62.21,62.73,64.93,67.89,66.04,110.06,69.31,70.9,70.0,71.87,74.94,76.41,75.49,76.86,72.32,89.27,98.79,97.88,100.72,97.18,96.87,103.38,106.91,108.66,110.63,109.59,111.4,113.78,116.95,115.96,116.35,114.86,112.19,107.34,94.14,91.78,95.34,96.24,98.59,114.72,119.89,116.03,112.01,105.32,108.88,110.21,110.36
2.5,55.7,57.24,56.81,57.33,61.53,63.3,62.55,60.18,59.71,57.08,57.84,59.9,62.21,62.73,64.93,67.89,66.04,110.06,69.31,70.9,70.0,71.87,74.94,76.41,75.49,76.86,72.32,89.27,98.79,97.88,100.72,97.18,96.87,103.38,106.91,108.66,110.63,109.59,111.4,113.78,116.95,115.96,116.35,114.86,112.19,107.34,94.14,91.78,95.34,96.24,98.59,114.72,119.89,116.03,112.01,105.32,108.88,110.21,110.36
158.36,163.07,159.13,157.29,156.06,153.6,152.29,148.66,146.79,146.67,147.17,145.9,144.65,144.8,147.3,151.68,145.66,138.67,141.31,146.41,147.45,148.67,153.45,156.91,153.86,154.44,158.17,159.76,171.6,176.66,185.27,215.76,218.3,217.28,239.95,269.2,278.37,280.17,291.83,293.91,299.05,297.11,302.56,286.09,302.38,298.16,301.65,287.56,295.79,282.75,299.95,292.68,285.23,290.68,291.54,291.44,289.61,292.3,292.8,289.75
10.33,10.26,10.36,10.44,11.07,11.15,11.1,11.4,11.3,11.54,11.89,13.2,13.0,13.0,13.85,13.75,14.22,15.45,15.77,16.0,16.51,17.9,18.5,18.64,16.06,17.75,18.15,20.0,19.67,19.35,19.0,19.2,19.0,18.7,18.16,17.67,17.09,19.0,19.0,18.29,18.0,18.0,18.71,19.0,19.0,19.0,19.0,19.0,19.25,282.75,299.95,292.68,285.23,16.0,17.0,15.61,14.52,15.0,292.8,289.75
7.3,10.26,7.89,7.89,8.23,8.5,8.45,8.24,8.3,8.2,7.98,13.2,13.0,13.0,8.4,8.27,8.4,15.45,15.77,16.0,16.51,17.9,18.5,18.64,16.06,17.75,9.56,9.28,9.79,10.42,10.7,12.45,12.71,12.72,13.08,12.49,12.48,11.87,10.98,10.58,11.74,12.05,12.17,12.73,13.23,13.2,12.15,11.21,13.07,11.05,12.41,12.83,285.23,11.97,11.79,12.39,11.65,13.0,292.8,289.75
