01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
73.63,75.34,69.81,72.65,72.06,73.05,73.77,74.21,74.2,74.67,81.55,82.63,87.72,82.87,80.75,102.64,116.02,98.8,100.52,98.93,117.0,126.75,119.48,133.52,136.71,137.63,133.26,137.05,127.75,135.34,137.6,147.93,145.6,152.21,145.25,142.19,140.42,131.46,133.18,134.49,140.56,139.33,136.99,145.06,138.74,143.93,144.12,150.96,148.2,141.72,160.57,157.27,155.02,157.14,158.4,163.07,155.12,164.13,170.61,183.6
59.48,59.65,61.43,60.55,56.74,56.25,56.6,57.4,57.23,63.51,69.96,75.16,77.57,76.05,77.04,84.4,80.86,77.94,79.12,77.18,76.86,79.1,79.45,84.87,86.79,87.0,86.02,87.41,93.75,95.76,98.2,104.06,112.41,117.04,116.76,119.1,133.63,127.54,129.52,127.91,138.76,142.45,141.27,137.13,129.95,129.88,130.91,129.65,123.75,119.46,129.05,116.05,120.09,126.15,121.17,116.64,108.47,115.28,113.91,111.21
147.17,148.48,152.62,143.48,140.63,139.88,142.67,143.73,144.83,149.34,168.29,202.13,171.26,178.17,187.75,200.45,186.55,193.75,192.72,197.88,218.65,241.89,256.6,288.57,294.9,288.38,268.5,265.73,282.75,290.49,285.33,284.25,285.82,283.7,269.51,279.13,272.63,285.0,283.7,280.36,283.5,289.7,284.14,284.24,282.14,280.38,283.4,283.5,285.9,285.98,289.0,280.25,269.28,248.11,217.5,208.8,186.5,195.0,113.91,111.21
720.0,720.0,720.0,915.0,988.7,1020.0,1020.0,1020.0,1020.0,860.0,775.71,760.0,848.89,920.0,920.0,920.0,824.76,780.0,780.0,780.0,780.0,780.0,780.0,840.0,840.0,835.0,820.0,820.0,990.0,1131.82,1380.0,1380.0,1233.18,1211.19,1241.0,1284.35,1300.0,1245.26,1210.84,1286.57,1229.95,1021.13,867.58,924.87,955.73,922.5,922.35,931.75,967.58,873.59,831.3,820.0,845.21,746.6,774.5,851.88,838.73,860.02,852.89,823.17
62.26,62.2,60.36,48.48,46.8,47.7,48.53,44.7,44.8,49.44,56.43,59.32,61.64,63.6,63.48,72.23,75.49,97.83,102.09,108.5,100.34,98.09,96.9,97.62,104.45,106.0,103.25,105.55,99.88,98.17,100.84,105.99,102.15,98.3,97.56,99.96,101.95,99.24,97.33,100.77,100.88,98.65,107.18,108.61,120.2,143.13,174.51,203.99,198.38,185.46,216.33,198.81,198.53,188.99,191.78,192.38,190.22,177.1,173.97,181.46
24.78,24.25,25.14,26.35,26.29,26.94,26.57,27.09,29.53,27.11,26.2,28.19,28.66,27.7,27.74,29.23,32.29,34.63,36.74,37.13,35.31,35.23,34.5,32.89,34.79,36.65,35.45,36.3,36.55,37.51,40.32,39.71,38.03,36.03,38.91,41.03,42.04,42.03,46.81,51.29,53.25,54.03,55.53,56.66,56.95,56.95,60.55,60.33,57.63,56.07,58.45,55.79,57.02,56.5,55.68,57.0,52.58,50.54,51.79,57.1
87.3,86.4,82.17,79.85,82.72,92.28,91.97,80.34,81.08,79.02,80.73,92.81,122.33,126.85,130.65,141.3,147.71,143.1,147.61,149.25,172.95,163.0,148.68,166.85,162.65,169.5,183.91,190.23,36.55,200.85,232.46,227.47,223.02,206.91,205.69,206.37,210.91,209.45,198.3,195.5,189.98,189.38,186.5,193.97,184.9,188.18,174.38,174.68,175.05,171.04,172.83,177.09,186.99,184.01,189.79,191.12,185.3,192.6,190.86,199.03
96.7,171.6,204.9,201.25,199.71,174.0,174.41,136.11,123.0,127.42,130.31,149.03,151.13,138.23,150.0,209.3,209.33,227.5,230.65,237.5,207.18,201.59,202.75,220.65,219.33,234.13,226.91,225.95,245.63,231.91,221.62,219.01,213.43,208.35,214.28,214.34,217.77,206.22,213.13,220.54,229.25,249.29,254.91,244.9,237.12,237.85,247.24,249.63,246.7,241.35,248.85,254.69,247.96,250.3,243.66,223.58,214.71,200.84,197.95,206.8
113.61,128.9,157.26,160.55,164.8,145.72,132.42,125.84,120.22,124.14,123.27,140.13,141.23,134.88,140.81,152.61,172.47,183.86,205.87,215.0,213.86,213.41,204.23,196.8,218.45,226.0,251.96,273.64,258.0,241.74,241.29,240.21,236.76,235.69,231.93,229.01,216.64,220.18,230.24,230.67,237.82,242.86,236.43,244.04,243.27,228.39,220.6,223.93,219.98,224.07,248.9,247.25,246.4,235.4,232.9,240.1,251.96,229.01,227.65,238.36
36.35,35.45,35.24,36.25,37.12,38.96,34.48,32.53,32.93,32.77,33.54,33.48,34.44,36.82,35.13,35.33,36.14,38.43,37.02,35.28,34.55,32.73,40.15,46.57,46.97,48.95,43.0,46.5,47.0,46.39,37.02,32.67,27.31,24.96,24.8,23.35,22.67,22.51,20.68,21.75,27.3,40.52,42.7,45.14,44.79,41.19,40.99,43.43,42.28,40.43,44.79,43.74,43.49,43.49,46.83,52.13,52.28,49.22,49.25,48.35
