01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
162.98,164.04,166.17,163.11,154.21,161.37,160.67,160.06,159.5,154.85,159.6,146.8,140.12,136.6,143.6,140.15,139.6,152.4,152.0,139.68,132.89,135.71,137.6,139.6,147.03,152.8,151.77,151.6,159.8,159.8,159.8,159.8,187.45,212.12,221.05,248.38,273.25,278.0,282.8,290.27,290.27,287.24,291.6,288.78,270.0,270.0,234.91,277.0,278.0,286.0,279.8,278.75,282.43,278.54,279.6,282.43,277.74,276.7,266.4,276.06
114.89,113.42,114.47,120.27,125.09,128.23,126.86,120.91,125.13,122.65,126.9,134.0,135.26,133.38,139.83,129.0,129.48,122.9,119.7,121.17,133.48,145.0,153.25,159.0,161.31,159.98,147.78,148.5,151.8,151.8,161.25,169.5,196.35,203.51,216.65,208.91,197.6,161.32,176.25,193.71,187.0,193.51,199.76,201.77,214.9,214.9,206.96,210.34,209.38,205.5,213.65,199.0,189.05,185.44,184.43,171.73,176.44,276.7,266.4,276.06
131.07,126.42,130.33,127.62,128.62,131.97,129.47,129.4,131.61,141.97,138.0,147.16,150.77,147.2,148.8,179.68,179.5,176.5,160.0,169.25,173.86,173.84,179.52,235.88,211.14,210.0,220.43,261.82,190.8,190.8,190.8,190.8,196.35,203.51,214.8,202.8,202.8,161.32,206.94,206.9,206.9,210.44,214.04,215.48,212.0,212.5,209.83,209.14,216.0,210.13,203.32,206.1,204.63,190.8,198.1,201.15,202.47,276.7,266.4,276.06
96.78,93.96,97.74,99.49,101.55,93.1,89.33,82.5,81.93,80.67,79.5,79.5,81.61,80.48,86.86,106.64,119.52,125.95,119.25,125.26,118.9,108.55,106.42,119.7,211.14,210.0,220.43,145.0,190.8,190.8,190.8,190.8,196.35,203.51,214.8,100.0,109.0,108.68,107.5,109.55,113.75,120.0,120.0,121.09,126.82,158.5,190.0,198.64,199.33,210.0,210.0,217.5,228.26,250.0,245.0,263.91,255.95,253.75,255.0,255.0
2.64,2.69,2.82,2.76,2.66,2.66,2.72,2.8,2.64,2.53,2.37,2.52,2.39,2.59,2.66,2.65,2.74,3.01,2.92,3.13,2.95,2.77,2.89,2.97,3.32,2.92,3.0,3.87,3.76,3.23,3.51,3.54,3.54,3.9,4.06,4.02,3.89,4.16,4.52,5.02,5.42,5.83,6.57,6.53,6.7,6.64,6.33,6.17,5.8,5.76,5.61,6.14,5.97,5.56,5.64,5.72,5.99,5.98,4.87,5.06
2.52,2.54,2.48,2.45,2.52,2.52,2.42,2.36,2.27,2.3,2.38,2.15,2.22,2.09,1.98,2.22,2.44,3.24,2.97,3.03,2.6,2.23,2.43,2.58,2.52,2.5,2.5,2.57,2.58,2.54,2.58,2.58,2.58,2.59,2.89,2.75,2.97,3.3,3.3,3.3,3.37,3.37,3.3,3.34,3.58,3.58,3.77,5.09,5.8,5.76,3.18,3.18,3.34,3.2,3.23,5.72,5.99,5.98,4.87,5.06
2.52,2.54,2.48,2.44,2.52,2.52,2.42,2.36,2.26,2.3,2.38,2.15,2.22,2.09,2.03,2.22,2.44,3.24,2.97,3.03,2.6,2.23,2.44,2.58,2.52,2.5,2.5,2.57,2.58,2.54,2.58,2.58,2.58,2.59,2.87,2.75,2.98,3.3,3.3,3.25,3.38,3.37,3.3,3.34,3.58,3.58,3.77,5.09,5.8,3.18,3.18,3.18,3.34,3.2,3.31,3.48,3.43,3.35,2.86,3.28
17.06,17.43,17.51,17.45,17.78,16.89,16.73,16.74,16.67,17.13,16.4,16.33,16.09,16.48,16.73,17.77,18.6,20.0,21.73,23.33,23.17,23.35,24.2,26.99,24.04,22.61,23.81,23.92,23.5,23.9,24.85,27.0,27.2,27.0,26.36,24.55,25.23,27.94,26.86,26.9,27.65,30.46,32.85,38.62,39.67,35.93,34.68,35.9,35.93,35.92,32.26,32.7,30.67,31.51,32.81,30.77,29.76,28.1,27.02,27.72
43.74,43.77,43.49,44.15,42.05,39.27,39.5,40.81,40.62,39.66,40.11,38.49,37.96,35.58,37.06,43.11,45.99,51.22,55.7,59.53,58.47,57.48,58.68,57.69,48.34,49.74,50.14,49.22,59.9,64.8,61.12,56.24,62.14,61.37,64.8,59.22,57.57,59.39,59.54,62.28,59.45,61.18,101.1,109.55,107.88,91.8,72.87,69.19,69.1,68.84,73.8,65.8,68.95,82.04,87.96,79.54,68.16,67.02,72.4,72.81
60.31,61.05,60.0,68.4,68.27,65.7,62.35,60.0,59.71,58.09,54.0,54.0,67.2,67.2,67.2,90.0,90.0,90.0,75.6,75.6,75.6,75.6,58.68,95.0,95.0,49.74,50.14,49.22,96.0,95.0,100.25,108.0,106.09,101.14,99.6,103.13,106.14,109.0,109.0,109.0,109.0,109.0,109.0,105.04,102.0,102.0,99.43,96.55,99.3,102.6,108.0,108.0,105.5,82.04,93.6,93.6,78.74,76.5,78.0,93.6
