01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.5,2.32,4.18,4.73,4.25,4.58,4.5,4.38,4.65,4.1,4.29,4.18,4.02,4.68,4.74,5.82,6.07,5.33,4.97,4.64,4.83,4.17,4.56,5.25,5.12,5.15,5.7,5.84,5.82,5.68,5.37,5.4,5.92,5.42,5.36,5.36,5.1,5.39,6.33,6.3,6.72,6.8,6.79,6.75,6.75,6.78,7.15,6.52,7.14,6.94,8.0,8.35,8.68,8.43,8.33,8.43,7.78,6.67,7.9,7.22
9.71,9.0,4.18,4.73,4.25,4.58,4.5,4.38,4.65,4.1,4.29,4.18,4.02,4.68,4.74,5.82,6.07,5.33,4.97,4.64,4.83,4.17,4.56,5.25,5.12,5.15,5.7,5.84,5.82,5.68,5.37,5.4,5.92,5.42,5.36,5.36,5.1,5.39,6.33,6.3,6.72,6.8,6.79,6.75,6.75,6.78,7.15,6.52,7.14,6.94,8.0,8.35,8.68,8.43,8.33,8.43,7.78,6.67,7.9,7.22
23.46,22.29,22.55,21.6,23.13,24.64,24.82,25.2,24.67,26.2,25.87,25.9,27.52,26.7,27.2,5.82,6.07,5.33,4.97,4.64,42.15,48.13,51.11,47.59,48.06,45.06,46.99,47.4,45.0,42.67,42.34,40.82,40.62,39.92,37.92,37.67,37.48,36.79,39.63,38.82,38.58,38.56,39.12,39.65,40.29,40.18,42.87,43.32,46.19,44.8,44.53,46.92,44.81,44.61,43.63,44.3,45.94,50.89,50.4,54.07
55.12,55.37,56.65,55.45,55.55,57.9,55.42,54.23,53.95,56.0,54.95,57.49,62.28,63.7,63.3,5.82,6.07,5.33,4.97,4.64,69.3,61.78,71.6,76.69,78.71,79.38,84.0,85.69,85.69,92.71,96.56,93.51,96.27,98.3,103.16,106.56,110.51,109.27,109.56,109.87,109.68,111.36,107.54,107.43,105.13,103.57,103.92,101.68,103.67,104.47,99.98,103.24,114.19,114.57,110.75,108.64,104.89,108.5,112.42,113.7
1.82,1.9,56.65,55.45,55.55,57.9,55.42,54.23,53.95,56.0,54.95,57.49,62.28,63.7,63.3,5.82,6.07,5.33,4.97,4.64,69.3,61.78,71.6,76.69,78.71,79.38,84.0,85.69,85.69,92.71,96.56,93.51,96.27,98.3,103.16,106.56,110.51,109.27,109.56,109.87,109.68,111.36,107.54,107.43,105.13,103.57,103.92,101.68,103.67,104.47,99.98,103.24,114.19,114.57,110.75,108.64,104.89,108.5,112.42,113.7
2.04,2.0,56.65,55.45,55.55,57.9,55.42,54.23,53.95,56.0,54.95,57.49,62.28,63.7,63.3,5.82,6.07,5.33,4.97,4.64,69.3,61.78,71.6,76.69,78.71,79.38,84.0,85.69,85.69,92.71,96.56,93.51,96.27,98.3,103.16,106.56,110.51,109.27,109.56,109.87,109.68,111.36,107.54,107.43,105.13,103.57,103.92,101.68,103.67,104.47,99.98,103.24,114.19,114.57,110.75,108.64,104.89,108.5,112.42,113.7
2.72,5.53,56.65,55.45,55.55,57.9,55.42,54.23,53.95,56.0,54.95,57.49,62.28,63.7,63.3,5.82,6.07,5.33,4.97,4.64,69.3,61.78,71.6,76.69,78.71,79.38,84.0,85.69,85.69,92.71,96.56,93.51,96.27,98.3,103.16,106.56,110.51,109.27,109.56,109.87,109.68,111.36,107.54,107.43,105.13,103.57,103.92,101.68,103.67,104.47,99.98,103.24,114.19,114.57,110.75,108.64,104.89,108.5,112.42,113.7
1.31,1.73,56.65,55.45,55.55,57.9,55.42,54.23,53.95,56.0,54.95,57.49,62.28,63.7,63.3,5.82,6.07,5.33,4.97,4.64,69.3,61.78,71.6,76.69,78.71,79.38,84.0,85.69,85.69,92.71,96.56,93.51,96.27,98.3,103.16,106.56,110.51,109.27,109.56,109.87,109.68,111.36,107.54,107.43,105.13,103.57,103.92,101.68,103.67,104.47,99.98,103.24,114.19,114.57,110.75,108.64,104.89,108.5,112.42,113.7
64.85,64.72,62.06,64.17,62.9,61.8,62.47,62.57,60.77,60.82,63.0,63.51,67.23,64.47,65.53,5.82,6.07,5.33,4.97,4.64,74.65,71.43,77.54,76.64,77.39,78.35,77.5,89.96,85.01,89.86,92.85,88.6,99.38,101.43,110.72,127.48,140.62,137.92,140.12,144.77,148.6,147.31,149.88,147.91,146.7,146.65,145.27,141.32,144.93,143.73,138.75,141.73,139.87,139.51,138.45,134.89,131.29,128.43,128.73,130.7
570.0,570.0,611.67,750.0,737.5,700.0,618.91,513.18,490.0,533.26,546.19,665.0,745.83,768.75,705.0,678.33,625.67,662.0,690.97,795.0,975.0,982.95,1267.5,1348.04,1454.17,1700.0,1738.04,1915.91,2100.0,2068.18,1785.23,1825.0,1811.36,1800.0,1800.0,1794.57,1778.13,1779.61,1811.93,1819.05,1825.0,1790.34,1792.86,1800.54,1702.84,1825.0,1653.98,1660.23,1650.0,1650.0,1599.46,1565.0,1416.3,1306.59,1123.81,1050.0,1059.52,1031.25,128.73,130.7
2.32,2.25,611.67,750.0,737.5,700.0,618.91,513.18,490.0,533.26,546.19,665.0,745.83,768.75,705.0,678.33,625.67,662.0,690.97,795.0,975.0,982.95,1267.5,1348.04,1454.17,1700.0,1738.04,1915.91,2100.0,2068.18,1785.23,1825.0,1811.36,1800.0,1800.0,1794.57,1778.13,1779.61,1811.93,1819.05,1825.0,1790.34,1792.86,1800.54,1702.84,1825.0,1653.98,1660.23,1650.0,1650.0,1599.46,1565.0,1416.3,1306.59,1123.81,1050.0,1059.52,1031.25,128.73,130.7
1.25,1.28,611.67,750.0,737.5,700.0,618.91,513.18,490.0,533.26,546.19,665.0,745.83,768.75,705.0,678.33,625.67,662.0,690.97,795.0,975.0,982.95,1267.5,1348.04,1454.17,1700.0,1738.04,1915.91,2100.0,2068.18,1785.23,1825.0,1811.36,1800.0,1800.0,1794.57,1778.13,1779.61,1811.93,1819.05,1825.0,1790.34,1792.86,1800.54,1702.84,1825.0,1653.98,1660.23,1650.0,1650.0,1599.46,1565.0,1416.3,1306.59,1123.81,1050.0,1059.52,1031.25,128.73,130.7
25.22,25.73,26.33,24.83,25.79,26.43,24.45,27.11,22.98,22.35,22.33,21.74,26.82,25.74,27.1,678.33,625.67,662.0,690.97,795.0,32.17,32.84,30.96,30.05,32.2,30.57,32.02,36.21,35.09,33.29,33.87,29.09,29.29,29.28,30.98,32.16,39.1,36.24,38.39,39.96,40.06,40.26,41.93,39.73,40.47,44.78,50.41,51.61,55.82,55.57,59.84,63.65,63.17,61.8,55.9,51.89,48.2,43.55,45.53,46.59
63.28,58.79,55.74,54.09,57.96,57.33,58.3,61.03,58.89,59.71,56.8,57.59,62.06,61.9,57.79,678.33,625.67,662.0,690.97,795.0,71.54,70.22,76.73,79.37,82.66,79.87,76.54,81.28,83.01,83.58,82.01,81.97,84.02,85.02,86.89,88.35,91.54,92.47,98.21,124.74,126.16,122.95,120.21,129.43,131.73,130.88,127.28,125.36,130.1,128.61,128.95,128.45,126.62,123.6,120.49,112.1,109.44,107.94,108.25,104.32
24.83,35.45,37.09,38.05,33.1,33.0,31.67,29.89,28.89,29.57,32.67,38.17,45.04,44.35,47.9,678.33,625.67,662.0,690.97,795.0,54.57,63.13,62.21,59.52,62.1,64.12,67.8,72.11,75.25,74.52,72.81,68.53,66.87,65.25,64.9,65.01,64.08,65.69,66.58,67.23,67.27,65.66,62.15,62.68,61.55,62.34,61.57,52.12,55.2,62.26,62.11,63.78,62.1,59.28,55.27,55.76,51.25,52.24,52.87,53.79
51.58,71.55,74.04,66.12,50.84,43.57,39.85,36.29,36.18,38.54,43.79,48.29,52.5,48.89,47.73,678.33,625.67,662.0,690.97,795.0,59.72,60.41,59.73,61.75,60.9,61.55,62.34,66.4,63.84,64.14,64.28,62.41,63.0,62.05,60.13,58.8,62.56,63.32,69.23,73.32,78.96,84.09,80.92,77.42,74.43,74.5,72.47,75.21,80.89,79.6,86.19,89.59,90.34,80.21,70.3,66.11,54.49,53.1,54.56,67.5
42.61,57.26,59.94,56.55,55.59,49.52,47.48,46.42,41.49,41.9,42.77,43.25,46.9,44.7,46.77,678.33,625.67,662.0,690.97,795.0,67.73,62.57,65.99,67.85,71.29,71.54,79.35,80.57,81.44,78.54,75.73,72.53,73.39,72.54,72.41,71.4,71.08,71.79,76.44,74.13,75.83,73.78,73.05,68.11,65.87,64.83,61.29,64.26,70.53,72.15,76.63,79.26,80.07,76.17,70.17,67.53,66.41,67.25,67.36,80.82
27.07,25.03,26.09,28.65,26.85,25.9,24.12,26.5,25.75,25.15,26.4,25.55,24.97,29.5,28.6,678.33,625.67,662.0,690.97,795.0,36.9,34.74,38.38,43.46,36.45,36.23,39.63,39.97,41.8,45.53,46.38,42.84,45.29,47.92,48.9,47.96,48.36,47.86,49.2,48.04,49.4,50.79,49.1,50.32,49.83,51.05,48.53,47.45,48.69,47.75,48.71,49.35,50.07,49.47,47.57,67.53,66.41,67.25,67.36,80.82
27.07,25.03,26.09,28.65,26.85,25.9,24.12,26.5,25.75,25.15,26.4,25.44,24.97,29.5,28.6,678.33,625.67,662.0,690.97,795.0,36.9,34.74,38.32,43.46,36.45,36.23,39.63,39.97,41.97,45.53,46.38,42.69,45.29,47.92,48.79,47.96,48.25,47.87,49.2,48.04,49.52,50.79,49.1,50.32,49.83,51.07,48.53,47.45,48.44,47.75,48.71,49.35,50.07,49.47,48.48,48.6,45.25,43.25,42.53,43.9
5.31,5.06,26.09,28.65,26.85,25.9,24.12,26.5,25.75,25.15,26.4,25.44,24.97,29.5,28.6,678.33,625.67,662.0,690.97,795.0,36.9,34.74,38.32,43.46,36.45,36.23,39.63,39.97,41.97,45.53,46.38,42.69,45.29,47.92,48.79,47.96,48.25,47.87,49.2,48.04,49.52,50.79,49.1,50.32,49.83,51.07,48.53,47.45,48.44,47.75,48.71,49.35,50.07,49.47,48.48,48.6,45.25,43.25,42.53,43.9
1.62,1.69,26.09,28.65,26.85,25.9,24.12,26.5,25.75,25.15,26.4,25.44,24.97,29.5,28.6,678.33,625.67,662.0,690.97,795.0,36.9,34.74,38.32,43.46,36.45,36.23,39.63,39.97,41.97,45.53,46.38,42.69,45.29,47.92,48.79,47.96,48.25,47.87,49.2,48.04,49.52,50.79,49.1,50.32,49.83,51.07,48.53,47.45,48.44,47.75,48.71,49.35,50.07,49.47,48.48,48.6,45.25,43.25,42.53,43.9
172.29,177.82,176.56,176.84,173.5,181.75,183.37,178.1,176.17,178.42,179.67,176.47,192.74,189.59,183.83,678.33,625.67,662.0,690.97,795.0,250.08,263.56,263.87,258.6,253.9,270.09,249.07,252.61,257.64,272.07,275.92,263.51,271.2,272.94,271.34,272.74,270.42,262.74,271.63,279.82,285.84,311.55,348.98,352.64,369.48,348.96,337.22,349.29,363.35,330.29,321.49,337.79,329.89,329.73,316.72,308.27,293.11,294.89,288.8,295.86
52.37,51.21,50.74,50.4,53.07,53.07,53.07,49.63,52.34,49.93,50.8,51.94,52.1,49.6,49.8,678.33,625.67,662.0,690.97,795.0,50.07,42.56,44.7,258.6,253.9,270.09,249.07,252.61,257.64,272.07,275.92,263.51,271.2,272.94,271.34,272.74,270.42,262.74,271.63,279.82,285.84,311.55,348.98,352.64,369.48,348.96,337.22,349.29,363.35,330.29,321.49,337.79,329.89,329.73,316.72,308.27,293.11,294.89,288.8,295.86
52.37,51.21,50.74,50.4,53.07,53.07,53.07,49.63,52.34,49.93,50.8,51.16,52.1,49.6,49.8,678.33,625.67,662.0,690.97,795.0,50.07,42.56,45.1,55.99,57.35,61.64,59.07,66.88,58.33,58.65,60.71,59.77,59.56,62.36,61.2,61.74,61.26,64.31,67.69,68.18,73.25,77.16,74.95,73.19,76.29,75.48,75.96,78.56,76.73,76.57,78.29,77.67,76.73,79.08,76.78,80.14,81.5,81.75,79.47,78.35
1.37,1.46,50.74,50.4,53.07,53.07,53.07,49.63,52.34,49.93,50.8,51.16,52.1,49.6,49.8,678.33,625.67,662.0,690.97,795.0,50.07,42.56,45.1,55.99,57.35,61.64,59.07,66.88,58.33,58.65,60.71,59.77,59.56,62.36,61.2,61.74,61.26,64.31,67.69,68.18,73.25,77.16,74.95,73.19,76.29,75.48,75.96,78.56,76.73,76.57,78.29,77.67,76.73,79.08,76.78,80.14,81.5,81.75,79.47,78.35
2.48,2.41,50.74,50.4,53.07,53.07,53.07,49.63,52.34,49.93,50.8,51.16,52.1,49.6,49.8,678.33,625.67,662.0,690.97,795.0,50.07,42.56,45.1,55.99,57.35,61.64,59.07,66.88,58.33,58.65,60.71,59.77,59.56,62.36,61.2,61.74,61.26,64.31,67.69,68.18,73.25,77.16,74.95,73.19,76.29,75.48,75.96,78.56,76.73,76.57,78.29,77.67,76.73,79.08,76.78,80.14,81.5,81.75,79.47,78.35
