01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
4.86,3.88,22.47,23.44,22.18,23.44,22.92,6.41,6.95,6.73,6.23,6.23,108.27,5.89,117.99,59.85,57.82,52.16,50.5,53.14,109.95,7.9,7.1,7.0,4.35,6.1,7.93,6.11,6.31,5.02,4.6,5.4,5.93,5.86,5.36,4.7,5.42,5.39,5.57,5.73,5.79,5.56,5.08,6.15,6.03,5.77,6.7,10.4,10.0,9.78,9.68,9.3,9.9,12.2,12.8,13.58,14.0,225.43,203.08,221.48
11.0,11.0,22.47,23.44,22.18,23.44,22.92,6.41,6.95,6.73,6.23,6.23,108.27,5.89,117.99,59.85,57.82,52.16,50.5,53.14,109.95,7.9,7.1,7.0,4.35,6.1,7.93,6.11,6.31,5.02,4.6,5.4,5.93,5.86,5.36,4.7,5.42,5.39,5.57,5.73,5.79,5.56,5.08,6.15,6.03,5.77,6.7,10.4,10.0,9.78,9.68,9.3,9.9,12.2,12.8,13.58,14.0,225.43,203.08,221.48
66.65,65.1,65.79,65.42,65.27,64.92,64.85,65.05,67.08,66.58,66.53,65.92,66.26,69.75,70.17,75.23,81.9,87.75,90.67,98.5,109.95,7.9,7.1,7.0,4.35,6.1,7.93,6.11,6.31,5.02,4.6,5.4,5.93,5.86,5.36,4.7,5.42,5.39,5.57,5.73,5.79,5.56,5.08,6.15,6.03,5.77,6.7,10.4,10.0,9.78,9.68,9.3,9.9,12.2,12.8,13.58,14.0,225.43,203.08,221.48
73.17,72.2,73.05,73.0,74.57,74.33,74.7,75.09,75.0,76.22,78.78,78.33,80.43,81.92,81.92,85.52,91.83,98.17,99.94,103.0,136.85,142.2,142.08,139.95,132.86,130.25,132.32,133.03,133.58,132.64,129.24,125.67,122.95,119.05,115.5,108.48,110.25,114.74,123.48,122.86,120.27,120.14,123.38,123.61,120.7,119.5,125.23,131.09,142.0,140.33,137.39,134.5,136.96,136.59,131.25,135.87,144.52,148.0,161.64,168.76
67.48,66.5,66.27,66.5,65.4,64.92,64.85,65.05,67.08,66.49,66.53,65.92,66.26,69.75,70.34,75.23,81.9,87.75,90.67,98.5,136.85,142.2,142.08,139.95,132.86,130.25,132.32,133.03,133.58,132.64,129.24,125.67,122.95,119.05,115.5,108.48,110.25,114.74,123.48,122.86,120.27,120.14,123.38,123.61,120.7,119.5,125.23,131.09,142.0,140.33,137.39,134.5,136.96,136.59,131.25,135.87,144.52,148.0,161.64,168.76
55.35,58.08,57.36,56.64,56.62,56.42,55.93,56.53,56.24,56.15,56.4,57.77,62.57,61.84,62.47,64.5,65.64,65.0,64.89,65.25,66.64,68.14,76.17,78.09,78.0,78.0,78.87,80.5,87.08,94.23,92.73,93.5,95.14,96.0,102.05,109.57,107.14,107.63,110.91,113.71,110.5,109.94,109.29,107.83,104.46,101.25,101.52,100.41,98.75,100.72,97.7,101.75,104.3,108.68,108.75,105.52,106.19,108.25,114.32,111.25
1.4,1.4,57.36,56.64,56.62,56.42,55.93,56.53,56.24,56.15,56.4,57.77,62.57,61.84,62.47,64.5,65.64,65.0,64.89,65.25,66.64,68.14,76.17,78.09,78.0,78.0,78.87,80.5,87.08,94.23,92.73,93.5,95.14,96.0,102.05,109.57,107.14,107.63,110.91,113.71,110.5,109.94,109.29,107.83,104.46,101.25,101.52,100.41,98.75,100.72,97.7,101.75,104.3,108.68,108.75,105.52,106.19,108.25,114.32,111.25
1.72,2.0,57.36,56.64,56.62,56.42,55.93,56.53,56.24,56.15,56.4,57.77,62.57,61.84,62.47,64.5,65.64,65.0,64.89,65.25,66.64,68.14,76.17,78.09,78.0,78.0,78.87,80.5,87.08,94.23,92.73,93.5,95.14,96.0,102.05,109.57,107.14,107.63,110.91,113.71,110.5,109.94,109.29,107.83,104.46,101.25,101.52,100.41,98.75,100.72,97.7,101.75,104.3,108.68,108.75,105.52,106.19,108.25,114.32,111.25
3.39,4.78,57.36,56.64,56.62,56.42,55.93,56.53,56.24,56.15,56.4,57.77,62.57,61.84,62.47,64.5,65.64,65.0,64.89,65.25,66.64,68.14,76.17,78.09,78.0,78.0,78.87,80.5,87.08,94.23,92.73,93.5,95.14,96.0,102.05,109.57,107.14,107.63,110.91,113.71,110.5,109.94,109.29,107.83,104.46,101.25,101.52,100.41,98.75,100.72,97.7,101.75,104.3,108.68,108.75,105.52,106.19,108.25,114.32,111.25
1.65,1.65,57.36,56.64,56.62,56.42,55.93,56.53,56.24,56.15,56.4,57.77,62.57,61.84,62.47,64.5,65.64,65.0,64.89,65.25,66.64,68.14,76.17,78.09,78.0,78.0,78.87,80.5,87.08,94.23,92.73,93.5,95.14,96.0,102.05,109.57,107.14,107.63,110.91,113.71,110.5,109.94,109.29,107.83,104.46,101.25,101.52,100.41,98.75,100.72,97.7,101.75,104.3,108.68,108.75,105.52,106.19,108.25,114.32,111.25
79.83,79.75,81.06,79.27,79.17,78.42,75.13,74.41,75.4,75.0,73.65,73.22,71.82,72.67,72.24,75.48,76.0,76.13,75.27,74.75,75.0,75.05,75.5,75.12,75.52,75.25,77.25,83.11,84.67,89.29,91.3,108.5,111.23,114.86,127.95,131.56,132.86,140.0,143.09,146.57,151.75,154.91,155.97,152.88,149.26,146.5,150.47,148.41,147.25,150.28,147.83,145.5,143.91,143.64,140.5,135.87,136.48,136.5,134.89,135.52
9.85,9.67,9.04,10.2,10.73,10.71,10.58,11.21,11.04,12.2,12.61,13.82,13.64,12.87,13.0,13.32,14.42,14.5,14.84,14.25,14.74,16.7,17.15,16.76,17.01,18.0,17.39,18.02,19.21,18.73,19.44,19.0,18.77,18.38,16.92,18.47,20.0,19.97,20.8,21.26,21.5,19.45,20.28,19.54,19.07,18.25,18.85,18.73,18.18,19.0,19.47,18.26,18.26,17.18,17.05,16.57,17.4,18.14,18.96,19.36
12.82,13.12,13.02,13.75,13.78,13.37,13.56,13.98,14.0,14.39,15.68,17.23,17.65,16.63,17.26,17.47,17.5,17.5,17.93,17.54,19.15,19.33,21.17,20.65,20.76,22.0,21.25,21.78,23.81,23.01,21.92,22.21,21.38,22.14,22.92,23.63,25.0,24.74,24.91,25.05,26.0,25.23,26.88,26.09,25.98,26.0,25.12,25.53,25.59,26.0,25.35,25.5,25.18,25.11,24.5,25.02,25.21,25.5,24.43,25.33
115.7,117.1,116.1,116.55,117.0,117.0,116.17,114.0,115.05,116.0,116.0,116.0,119.7,120.5,120.0,120.0,120.0,120.0,120.0,120.0,124.29,133.64,136.25,139.67,142.0,142.0,140.84,143.36,144.5,145.36,149.64,153.5,155.0,155.48,159.55,165.43,169.0,160.0,169.7,174.76,177.5,188.59,180.29,181.09,180.45,180.0,180.0,180.14,180.0,172.22,170.52,173.25,170.0,160.0,160.0,160.0,160.0,162.75,172.5,170.0
115.96,120.4,119.1,119.5,120.0,120.0,119.17,117.0,118.5,120.0,120.0,120.0,118.91,123.0,123.0,123.0,123.24,124.0,124.0,124.0,128.71,139.77,141.17,152.71,153.33,152.0,148.55,151.21,154.5,154.36,155.0,158.0,160.0,160.0,173.75,179.35,176.75,167.0,176.39,186.5,189.57,192.65,186.19,186.43,186.0,185.0,186.0,186.76,186.67,180.0,178.48,180.0,178.04,167.5,165.75,176.35,173.22,179.25,172.5,170.0
11.17,11.14,11.34,11.8,10.05,9.0,8.5,8.54,8.75,8.8,9.8,10.97,10.93,10.23,10.5,10.18,9.05,9.0,9.48,10.0,14.45,14.71,15.95,15.93,15.84,15.25,13.15,12.88,13.0,13.42,13.25,14.5,14.16,13.74,13.42,13.18,14.0,12.74,13.04,12.85,13.25,13.88,14.12,13.54,13.5,13.38,13.73,15.0,15.75,15.0,14.41,13.33,12.35,12.78,13.25,13.43,13.5,13.5,13.53,12.63
