01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
12.61,12.42,13.02,13.79,11.88,12.04,12.26,13.12,10.94,12.58,12.81,12.77,13.31,12.63,12.59,14.86,15.54,16.15,16.08,16.24,20.38,22.56,23.34,23.47,21.85,19.69,21.97,20.1,20.27,18.12,18.16,20.44,21.61,20.49,18.04,18.44,17.75,17.35,17.33,19.14,19.1,16.85,17.04,17.37,16.76,17.96,17.49,17.89,18.96,19.24,20.85,18.09,20.16,20.13,18.24,19.45,21.35,22.87,22.49,25.68
52.83,59.85,54.43,51.33,56.76,55.0,44.08,47.42,54.92,47.43,52.69,53.6,53.37,56.88,49.29,69.7,60.89,60.15,58.06,59.51,62.29,65.77,66.63,68.16,68.37,70.78,77.33,72.59,75.78,80.21,87.37,82.31,84.39,95.87,95.14,95.56,105.43,113.94,108.96,103.73,107.17,104.35,101.31,93.13,91.55,89.91,95.02,93.96,95.79,90.81,95.19,95.89,97.87,97.0,99.26,104.21,102.68,103.21,104.94,105.05
163.92,169.16,161.62,170.07,140.73,142.18,167.64,156.97,159.43,149.51,154.0,132.35,154.68,144.8,161.3,168.15,153.09,152.69,137.06,139.35,149.24,174.35,171.07,169.27,169.75,167.8,173.54,167.12,179.15,187.91,193.44,189.07,208.0,198.54,279.72,302.67,331.41,351.85,706.59,818.24,319.23,316.2,329.2,306.09,289.0,307.6,295.22,279.28,289.58,280.41,265.4,271.6,254.63,280.23,299.8,248.06,258.85,240.48,257.07,259.59
276.59,286.41,262.3,255.78,277.39,291.27,271.84,262.8,282.66,277.04,262.86,305.72,331.15,299.14,286.53,315.05,289.77,301.81,334.81,353.19,398.44,387.01,409.69,436.84,406.1,426.45,395.0,447.52,511.29,517.98,443.65,461.85,484.39,448.7,432.48,417.82,445.02,442.56,479.2,487.42,502.03,482.42,463.05,448.35,466.6,449.75,470.91,440.46,454.28,458.43,497.58,499.38,499.65,497.74,384.55,502.4,449.75,486.92,449.75,259.59
91.83,94.63,87.55,101.72,106.93,99.57,92.69,96.83,100.91,84.15,93.53,106.5,115.65,109.97,118.14,111.94,103.25,97.43,92.17,103.38,117.21,112.58,129.95,137.97,122.18,124.75,125.04,126.19,118.48,128.73,144.4,163.12,159.9,171.38,146.47,147.78,176.88,161.08,138.89,139.24,164.4,152.6,143.37,166.69,163.26,154.35,162.95,176.22,174.9,174.86,159.47,138.8,154.23,157.39,149.55,138.23,139.92,139.94,139.8,259.59
101.09,109.58,122.46,119.3,133.05,142.12,130.45,119.34,121.37,122.25,114.32,144.07,153.38,142.66,134.55,119.53,116.97,111.41,126.02,132.79,151.56,161.24,176.97,221.64,213.42,175.99,172.3,132.67,158.48,169.52,191.77,122.91,125.16,110.28,113.86,122.97,119.1,114.04,101.53,118.43,176.74,216.82,220.0,169.1,131.2,129.98,140.73,130.96,160.42,138.02,149.1,128.84,119.85,119.92,131.34,131.83,128.96,131.37,127.38,259.59
39.21,40.9,40.56,32.88,42.72,38.86,50.12,35.51,38.35,42.81,32.76,32.91,32.84,40.1,34.36,33.99,34.17,69.2,40.21,32.5,31.43,31.76,35.18,36.98,35.95,33.9,35.98,36.18,33.45,33.5,33.33,37.79,48.6,42.34,36.73,36.14,45.56,41.24,46.43,46.55,49.79,56.76,55.62,58.74,60.11,37.9,55.77,64.31,74.67,78.82,74.86,71.15,66.07,61.76,66.95,62.12,72.47,65.95,55.58,55.3
25.47,26.97,22.42,24.36,30.27,27.58,31.03,30.12,30.32,30.32,26.44,30.31,28.33,28.43,29.27,29.13,31.38,32.39,36.29,30.65,27.53,29.54,30.42,33.88,32.59,27.65,27.62,30.22,28.92,29.49,29.18,31.39,31.96,31.73,29.45,29.42,32.6,35.03,47.39,43.02,44.32,40.33,45.5,50.94,33.2,42.57,41.33,39.9,41.0,45.76,39.12,42.9,43.9,42.76,38.4,44.86,35.47,42.9,35.9,34.47
47.59,61.6,74.61,60.82,58.29,40.88,33.82,39.17,33.51,39.07,42.76,35.7,55.5,55.89,53.74,60.83,62.31,77.04,59.14,51.8,67.14,57.53,55.05,60.74,56.79,61.9,59.25,60.83,57.68,62.48,61.68,58.18,59.49,64.35,59.6,57.2,55.8,58.43,61.53,67.02,72.5,75.79,75.32,66.16,67.24,64.68,50.35,62.87,71.97,72.68,70.99,81.4,79.07,69.58,57.4,51.47,49.9,45.15,48.9,57.71
53.86,55.03,63.9,58.07,50.46,44.6,38.95,44.62,43.86,46.06,43.13,38.12,52.0,46.34,46.49,51.69,67.26,69.47,68.57,63.83,73.53,72.52,66.76,65.48,73.42,73.15,76.68,74.54,74.67,75.35,67.91,71.08,69.3,67.78,67.93,66.18,61.67,75.98,74.57,76.09,77.73,72.72,71.95,64.28,57.56,54.92,58.7,71.77,60.58,64.93,70.33,73.9,78.64,74.17,67.9,69.55,68.38,68.59,77.76,82.38
32.56,31.1,31.84,31.22,30.33,31.78,31.5,33.13,32.62,33.05,31.94,31.83,32.3,30.75,31.68,31.22,33.61,39.13,40.6,44.89,46.85,41.89,40.51,43.31,40.31,35.7,45.57,39.84,40.46,41.88,43.09,43.6,45.21,45.34,40.1,41.51,43.91,40.52,45.56,54.01,57.14,60.86,66.98,73.1,65.8,55.08,49.19,46.19,49.96,52.55,55.55,54.49,54.72,52.33,50.28,50.26,47.74,52.14,47.88,45.42
32.04,33.94,34.42,32.71,28.99,29.25,30.75,29.34,29.95,32.26,37.79,41.65,47.48,46.21,47.76,47.52,44.15,41.74,40.07,44.5,51.26,56.36,73.93,69.58,72.63,73.66,75.98,80.08,88.82,86.78,85.11,89.92,88.5,82.65,81.0,80.05,84.92,86.14,87.44,82.79,79.45,78.79,76.04,72.74,74.91,74.39,73.8,74.17,74.84,68.5,74.33,73.34,58.78,48.34,46.32,44.39,44.33,47.58,50.02,59.72
62.13,65.93,78.01,60.04,63.54,58.62,58.91,58.12,61.77,64.91,66.23,67.74,73.01,71.55,73.35,71.3,75.1,71.71,66.23,80.14,114.05,131.86,145.93,146.39,133.36,121.2,125.26,144.27,142.89,143.56,129.12,140.76,155.92,161.68,153.96,169.34,166.84,170.52,169.44,190.36,197.28,196.09,181.13,170.57,164.64,157.77,155.04,159.37,154.19,143.8,136.32,116.3,120.23,114.8,99.99,103.63,106.18,103.1,103.8,107.8
83.34,102.31,106.68,111.59,105.21,101.68,103.87,98.42,101.2,105.81,96.02,112.94,97.93,119.5,125.77,135.5,102.94,102.95,120.58,115.11,112.32,114.0,109.76,125.84,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,156.67,150.5,146.0,146.45,152.26,164.97,176.53,183.0,179.09,179.76,185.26,187.0,187.0,183.36,186.64,167.1,189.87,210.33,241.17,252.43,246.32,228.5,205.09,186.53,184.35,182.18,157.43
