01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
3.86,3.78,106.68,111.59,105.21,101.68,103.87,98.42,101.2,105.81,96.02,112.94,97.93,119.5,125.77,135.5,102.94,102.95,120.58,115.11,112.32,114.0,109.76,125.84,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,156.67,150.5,146.0,146.45,152.26,164.97,176.53,183.0,179.09,179.76,185.26,187.0,187.0,183.36,186.64,167.1,189.87,210.33,241.17,252.43,246.32,228.5,205.09,186.53,184.35,182.18,157.43
8.4,8.18,106.68,111.59,105.21,101.68,103.87,98.42,101.2,105.81,96.02,112.94,97.93,119.5,125.77,135.5,102.94,102.95,120.58,115.11,112.32,114.0,109.76,125.84,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,156.67,150.5,146.0,146.45,152.26,164.97,176.53,183.0,179.09,179.76,185.26,187.0,187.0,183.36,186.64,167.1,189.87,210.33,241.17,252.43,246.32,228.5,205.09,186.53,184.35,182.18,157.43
65.59,63.86,64.62,64.2,66.74,68.28,69.92,68.25,67.49,69.03,69.09,69.59,70.96,73.89,73.89,135.5,102.94,102.95,120.58,115.11,112.32,114.0,131.43,118.65,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,108.7,104.7,100.07,96.43,95.76,90.26,98.69,100.5,99.99,100.31,100.96,102.77,102.74,104.96,109.85,116.62,117.81,116.34,115.67,116.35,112.47,110.45,109.02,114.06,122.89,118.95,125.35
50.82,52.15,51.09,50.48,51.71,51.22,48.3,49.46,51.06,50.71,50.19,50.12,51.52,52.43,52.43,135.5,102.94,102.95,120.58,115.11,112.32,114.0,66.22,65.86,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,100.96,103.94,106.39,105.92,108.4,110.95,109.74,108.55,107.17,103.71,104.71,103.66,99.45,101.5,109.04,107.54,104.34,102.62,103.45,104.31,105.29,105.94,100.73,103.46,106.04,110.63,108.72
1.13,1.11,51.09,50.48,51.71,51.22,48.3,49.46,51.06,50.71,50.19,50.12,51.52,52.43,52.43,135.5,102.94,102.95,120.58,115.11,112.32,114.0,66.22,65.86,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,100.96,103.94,106.39,105.92,108.4,110.95,109.74,108.55,107.17,103.71,104.71,103.66,99.45,101.5,109.04,107.54,104.34,102.62,103.45,104.31,105.29,105.94,100.73,103.46,106.04,110.63,108.72
2.23,1.95,51.09,50.48,51.71,51.22,48.3,49.46,51.06,50.71,50.19,50.12,51.52,52.43,52.43,135.5,102.94,102.95,120.58,115.11,112.32,114.0,66.22,65.86,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,100.96,103.94,106.39,105.92,108.4,110.95,109.74,108.55,107.17,103.71,104.71,103.66,99.45,101.5,109.04,107.54,104.34,102.62,103.45,104.31,105.29,105.94,100.73,103.46,106.04,110.63,108.72
2.51,3.37,51.09,50.48,51.71,51.22,48.3,49.46,51.06,50.71,50.19,50.12,51.52,52.43,52.43,135.5,102.94,102.95,120.58,115.11,112.32,114.0,66.22,65.86,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,100.96,103.94,106.39,105.92,108.4,110.95,109.74,108.55,107.17,103.71,104.71,103.66,99.45,101.5,109.04,107.54,104.34,102.62,103.45,104.31,105.29,105.94,100.73,103.46,106.04,110.63,108.72
1.91,1.66,51.09,50.48,51.71,51.22,48.3,49.46,51.06,50.71,50.19,50.12,51.52,52.43,52.43,135.5,102.94,102.95,120.58,115.11,112.32,114.0,66.22,65.86,125.85,139.5,152.82,151.59,159.3,143.91,148.56,157.67,153.14,100.96,103.94,106.39,105.92,108.4,110.95,109.74,108.55,107.17,103.71,104.71,103.66,99.45,101.5,109.04,107.54,104.34,102.62,103.45,104.31,105.29,105.94,100.73,103.46,106.04,110.63,108.72
332.12,341.44,331.74,307.39,304.88,322.36,315.71,294.64,293.68,300.87,323.27,365.4,353.2,358.58,384.77,392.11,394.1,353.48,370.15,389.1,378.35,364.73,377.96,382.21,409.11,444.24,463.74,492.92,563.34,605.36,656.33,791.7,949.59,1064.57,1167.88,1294.89,1324.5,1329.21,1135.91,1080.1,1055.4,1071.23,1070.48,1033.74,1030.83,905.24,812.3,921.87,896.45,961.29,935.11,931.09,908.78,784.6,684.51,716.97,714.78,707.13,728.12,772.12
291.35,294.21,292.99,275.65,267.37,276.15,269.71,267.56,276.75,281.04,297.48,300.2,293.01,300.1,307.87,317.56,336.42,326.82,343.85,376.9,382.07,377.73,384.56,377.28,394.16,406.04,422.09,424.13,432.64,454.23,515.79,602.6,727.7,768.35,769.43,790.63,795.5,786.55,734.05,771.3,726.85,669.93,687.38,707.8,720.44,627.64,539.7,637.99,653.25,668.11,622.51,638.95,649.0,678.28,623.11,622.66,617.56,617.0,624.4,717.13
