01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
5.28,5.5,103.69,110.75,95.0,34.55,34.5,35.0,35.99,37.64,43.02,47.02,52.04,51.18,55.58,54.54,50.5,48.45,44.34,48.16,57.18,65.57,78.86,71.27,79.27,80.16,83.21,90.0,100.75,92.82,87.55,95.75,95.5,90.19,87.0,86.61,92.06,94.21,94.32,91.8,90.13,87.95,81.43,75.59,77.28,82.75,80.05,79.19,79.88,79.06,80.11,80.0,66.25,54.75,53.39,54.08,53.9,56.88,60.35,66.95
11.0,11.0,103.69,110.75,95.0,34.55,34.5,35.0,35.99,37.64,43.02,47.02,52.04,51.18,55.58,54.54,50.5,48.45,44.34,48.16,57.18,65.57,78.86,71.27,79.27,80.16,83.21,90.0,100.75,92.82,87.55,95.75,95.5,90.19,87.0,86.61,92.06,94.21,94.32,91.8,90.13,87.95,81.43,75.59,77.28,82.75,80.05,79.19,79.88,79.06,80.11,80.0,66.25,54.75,53.39,54.08,53.9,56.88,60.35,66.95
100.0,11.0,100.0,100.0,109.38,34.55,155.56,150.0,150.0,150.0,150.0,150.0,153.26,152.5,155.0,190.23,208.57,200.0,184.78,145.0,150.0,152.27,151.25,146.72,142.62,156.48,166.25,184.71,217.5,195.45,176.36,163.75,168.18,172.38,171.25,168.48,163.75,158.68,161.74,160.24,161.25,164.72,172.5,175.22,163.41,166.25,179.09,173.18,170.0,171.94,170.0,165.0,178.61,180.0,175.0,182.17,182.38,177.5,180.0,182.38
73.0,74.05,74.8,76.19,77.27,78.31,76.65,76.34,80.31,79.9,80.56,80.69,82.98,85.21,85.77,91.9,93.18,95.81,97.59,123.44,153.47,153.5,153.13,144.87,134.46,133.05,132.35,133.86,130.75,126.0,122.99,127.87,125.3,122.62,116.72,114.75,114.01,121.57,124.93,120.72,117.61,121.29,117.41,124.27,120.07,120.09,121.63,124.61,126.62,127.7,130.72,131.46,133.77,133.13,132.82,138.03,146.04,155.29,161.04,169.54
63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,65.5,68.0,68.0,68.0,72.35,74.0,74.0,77.0,80.57,77.0,82.87,107.75,117.0,117.0,117.0,111.42,108.81,108.0,105.0,105.0,106.25,105.0,96.48,104.5,104.5,98.79,95.25,91.57,88.75,87.55,87.87,87.33,86.38,88.5,88.5,88.5,110.56,113.5,110.32,104.41,105.38,105.5,108.0,108.0,104.13,98.18,95.75,110.65,125.0,135.0,144.35,144.83
48.16,52.24,52.5,49.52,49.57,49.47,49.73,51.34,51.47,49.36,49.52,53.73,53.4,59.1,62.88,61.24,58.84,60.28,60.94,61.74,63.44,69.54,71.86,76.38,77.98,79.17,78.19,79.68,83.86,88.56,88.82,90.0,95.76,100.98,104.46,107.57,108.33,107.91,107.0,107.79,107.09,108.09,103.31,104.9,103.61,100.96,100.99,102.04,101.02,99.77,102.98,102.95,107.33,113.68,112.34,107.42,108.81,108.25,110.7,110.6
1.66,1.66,52.5,49.52,49.57,49.47,49.73,51.34,51.47,49.36,49.52,53.73,53.4,59.1,62.88,61.24,58.84,60.28,60.94,61.74,63.44,69.54,71.86,76.38,77.98,79.17,78.19,79.68,83.86,88.56,88.82,90.0,95.76,100.98,104.46,107.57,108.33,107.91,107.0,107.79,107.09,108.09,103.31,104.9,103.61,100.96,100.99,102.04,101.02,99.77,102.98,102.95,107.33,113.68,112.34,107.42,108.81,108.25,110.7,110.6
2.18,2.36,52.5,49.52,49.57,49.47,49.73,51.34,51.47,49.36,49.52,53.73,53.4,59.1,62.88,61.24,58.84,60.28,60.94,61.74,63.44,69.54,71.86,76.38,77.98,79.17,78.19,79.68,83.86,88.56,88.82,90.0,95.76,100.98,104.46,107.57,108.33,107.91,107.0,107.79,107.09,108.09,103.31,104.9,103.61,100.96,100.99,102.04,101.02,99.77,102.98,102.95,107.33,113.68,112.34,107.42,108.81,108.25,110.7,110.6
2.37,3.58,52.5,49.52,49.57,49.47,49.73,51.34,51.47,49.36,49.52,53.73,53.4,59.1,62.88,61.24,58.84,60.28,60.94,61.74,63.44,69.54,71.86,76.38,77.98,79.17,78.19,79.68,83.86,88.56,88.82,90.0,95.76,100.98,104.46,107.57,108.33,107.91,107.0,107.79,107.09,108.09,103.31,104.9,103.61,100.96,100.99,102.04,101.02,99.77,102.98,102.95,107.33,113.68,112.34,107.42,108.81,108.25,110.7,110.6
1.62,1.45,52.5,49.52,49.57,49.47,49.73,51.34,51.47,49.36,49.52,53.73,53.4,59.1,62.88,61.24,58.84,60.28,60.94,61.74,63.44,69.54,71.86,76.38,77.98,79.17,78.19,79.68,83.86,88.56,88.82,90.0,95.76,100.98,104.46,107.57,108.33,107.91,107.0,107.79,107.09,108.09,103.31,104.9,103.61,100.96,100.99,102.04,101.02,99.77,102.98,102.95,107.33,113.68,112.34,107.42,108.81,108.25,110.7,110.6
167.51,168.96,154.5,163.84,171.24,174.79,161.74,133.31,165.62,155.04,162.6,165.67,158.36,147.77,181.42,157.56,139.8,151.83,142.7,146.5,155.5,148.05,136.8,164.71,176.85,172.44,149.17,159.27,150.08,199.21,196.69,223.14,273.58,280.77,309.77,324.02,322.47,330.88,343.61,353.65,357.65,365.26,361.56,367.64,376.47,376.52,377.48,371.22,368.52,337.35,346.96,338.06,332.13,334.05,324.83,313.58,297.29,289.74,317.56,312.83
376.9,350.68,359.7,325.9,171.24,329.4,161.74,133.31,387.0,366.5,435.0,567.0,158.36,147.77,181.42,507.0,472.5,475.0,142.7,146.5,155.5,148.05,318.35,570.0,176.85,172.44,149.17,159.27,150.08,199.21,196.69,223.14,273.58,280.77,309.77,324.02,322.47,330.88,343.61,353.65,357.65,365.26,361.56,367.64,376.47,376.52,377.48,371.22,368.52,337.35,346.96,338.06,332.13,334.05,324.83,313.58,297.29,289.74,317.56,312.83
98.35,79.0,98.64,112.65,114.44,124.17,117.13,107.52,105.8,102.9,113.2,132.93,120.67,114.58,181.42,108.08,98.8,97.0,107.83,107.57,130.3,150.51,153.8,149.33,144.47,140.97,118.35,125.33,145.97,166.51,157.93,174.77,180.62,172.69,179.78,174.62,172.16,160.45,161.93,173.99,175.46,173.23,180.24,177.8,175.72,179.64,177.03,174.83,172.45,159.99,156.25,155.3,150.29,150.78,151.4,137.68,150.1,151.67,156.52,158.26
135.88,104.04,93.48,116.62,88.68,118.8,144.8,141.76,151.8,149.36,169.2,159.1,149.75,153.48,181.42,153.48,94.8,97.0,107.83,107.57,130.3,150.51,263.16,258.81,246.75,201.33,165.06,165.99,180.65,188.28,157.93,192.0,180.62,172.69,179.78,174.62,172.16,160.45,161.93,173.99,175.46,173.23,180.24,177.8,175.72,179.64,177.03,174.83,172.45,159.99,156.25,155.3,150.29,150.78,151.4,137.68,150.1,151.67,156.52,158.26
550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,575.0,600.0,600.0,650.0,650.0,661.9,672.5,684.35,695.0,822.73,850.0,925.0,1000.0,1047.62,1100.0,1134.78,1200.0,1250.0,1400.0,1400.0,1400.0,1400.0,1447.62,1527.27,1800.0,1825.0,1900.0,1900.0,1900.0,1875.0,1840.91,1900.0,1900.0,1854.55,1800.0,1800.0,1800.0,1800.0,1800.0,1669.57,1400.0,1300.0,1300.0,1300.0,1291.3,1214.29,1212.5,1159.09,1100.0
1.61,1.52,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,575.0,600.0,600.0,650.0,650.0,661.9,672.5,684.35,695.0,822.73,850.0,925.0,1000.0,1047.62,1100.0,1134.78,1200.0,1250.0,1400.0,1400.0,1400.0,1400.0,1447.62,1527.27,1800.0,1825.0,1900.0,1900.0,1900.0,1875.0,1840.91,1900.0,1900.0,1854.55,1800.0,1800.0,1800.0,1800.0,1800.0,1669.57,1400.0,1300.0,1300.0,1300.0,1291.3,1214.29,1212.5,1159.09,1100.0
3.0,2.95,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,575.0,600.0,600.0,650.0,650.0,661.9,672.5,684.35,695.0,822.73,850.0,925.0,1000.0,1047.62,1100.0,1134.78,1200.0,1250.0,1400.0,1400.0,1400.0,1400.0,1447.62,1527.27,1800.0,1825.0,1900.0,1900.0,1900.0,1875.0,1840.91,1900.0,1900.0,1854.55,1800.0,1800.0,1800.0,1800.0,1800.0,1669.57,1400.0,1300.0,1300.0,1300.0,1291.3,1214.29,1212.5,1159.09,1100.0
1.52,1.3,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,575.0,600.0,600.0,650.0,650.0,661.9,672.5,684.35,695.0,822.73,850.0,925.0,1000.0,1047.62,1100.0,1134.78,1200.0,1250.0,1400.0,1400.0,1400.0,1400.0,1447.62,1527.27,1800.0,1825.0,1900.0,1900.0,1900.0,1875.0,1840.91,1900.0,1900.0,1854.55,1800.0,1800.0,1800.0,1800.0,1800.0,1669.57,1400.0,1300.0,1300.0,1300.0,1291.3,1214.29,1212.5,1159.09,1100.0
