01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
3.33,3.1,108.94,108.28,103.95,104.65,97.2,93.8,101.63,39.89,23.62,23.45,23.45,23.45,27.35,167.08,119.18,147.92,145.2,114.27,109.09,27.3,29.3,30.43,27.73,27.46,27.35,131.3,148.44,157.41,158.95,160.97,41.85,31.74,31.25,29.69,29.3,31.25,31.25,167.72,169.24,168.76,163.72,172.23,185.62,182.31,182.5,31.25,35.14,191.7,219.14,220.95,258.15,253.8,232.99,201.75,191.1,188.16,39.0,39.05
10.37,10.17,108.94,108.28,103.95,104.65,97.2,93.8,101.63,39.89,23.62,23.45,23.45,23.45,27.35,167.08,119.18,147.92,145.2,114.27,109.09,27.3,29.3,30.43,27.73,27.46,27.35,131.3,148.44,157.41,158.95,160.97,41.85,31.74,31.25,29.69,29.3,31.25,31.25,167.72,169.24,168.76,163.72,172.23,185.62,182.31,182.5,31.25,35.14,191.7,219.14,220.95,258.15,253.8,232.99,201.75,191.1,188.16,39.0,39.05
160.21,157.54,163.92,154.26,152.45,154.68,147.75,148.63,148.3,151.85,157.36,147.1,158.76,162.0,169.39,168.74,166.38,174.6,181.23,188.25,191.95,245.84,286.56,279.68,272.4,275.45,263.18,261.16,247.6,250.51,229.83,249.25,236.47,229.37,225.75,216.0,204.0,236.24,252.5,247.77,248.48,235.24,244.19,240.22,232.85,228.06,235.34,248.87,271.39,295.84,278.09,281.8,285.04,263.9,265.55,280.99,282.02,297.85,321.52,354.71
163.72,157.33,142.55,154.95,147.09,145.58,137.74,148.18,142.8,139.59,145.7,162.0,160.36,159.3,160.2,161.66,157.63,162.3,161.4,158.48,175.58,223.65,294.83,294.76,241.63,239.4,250.5,256.05,261.9,286.27,286.35,256.28,284.24,284.43,294.6,262.83,294.6,278.87,258.46,242.78,248.48,235.24,244.19,240.22,232.85,218.4,235.34,248.87,271.39,295.84,278.09,281.8,285.04,263.9,265.55,280.99,282.02,297.85,321.52,354.71
2.01,2.01,142.55,154.95,147.09,145.58,137.74,148.18,142.8,139.59,145.7,162.0,160.36,159.3,160.2,161.66,157.63,162.3,161.4,158.48,175.58,223.65,294.83,294.76,241.63,239.4,250.5,256.05,261.9,286.27,286.35,256.28,284.24,284.43,294.6,262.83,294.6,278.87,258.46,242.78,248.48,235.24,244.19,240.22,232.85,218.4,235.34,248.87,271.39,295.84,278.09,281.8,285.04,263.9,265.55,280.99,282.02,297.85,321.52,354.71
1.61,1.54,142.55,154.95,147.09,145.58,137.74,148.18,142.8,139.59,145.7,162.0,160.36,159.3,160.2,161.66,157.63,162.3,161.4,158.48,175.58,223.65,294.83,294.76,241.63,239.4,250.5,256.05,261.9,286.27,286.35,256.28,284.24,284.43,294.6,262.83,294.6,278.87,258.46,242.78,248.48,235.24,244.19,240.22,232.85,218.4,235.34,248.87,271.39,295.84,278.09,281.8,285.04,263.9,265.55,280.99,282.02,297.85,321.52,354.71
2.62,3.29,142.55,154.95,147.09,145.58,137.74,148.18,142.8,139.59,145.7,162.0,160.36,159.3,160.2,161.66,157.63,162.3,161.4,158.48,175.58,223.65,294.83,294.76,241.63,239.4,250.5,256.05,261.9,286.27,286.35,256.28,284.24,284.43,294.6,262.83,294.6,278.87,258.46,242.78,248.48,235.24,244.19,240.22,232.85,218.4,235.34,248.87,271.39,295.84,278.09,281.8,285.04,263.9,265.55,280.99,282.02,297.85,321.52,354.71
336.22,329.03,336.84,337.28,352.37,370.28,362.96,382.27,389.7,390.74,412.13,513.45,511.66,509.7,509.7,509.7,524.27,525.0,505.43,468.75,465.0,488.86,564.91,695.33,737.0,718.0,737.31,781.38,787.6,803.85,809.58,754.65,788.96,778.05,662.25,718.2,748.5,784.65,782.69,775.4,769.79,735.17,771.02,750.41,752.8,785.97,756.08,759.25,760.69,664.45,693.9,630.49,654.53,668.79,669.8,629.81,621.66,592.0,321.52,354.71
5.79,5.73,6.08,6.48,6.23,6.37,6.43,6.54,6.55,6.5,6.06,6.82,6.71,7.21,7.04,6.96,6.29,6.02,5.9,5.95,6.39,6.61,7.12,7.97,8.78,8.41,7.95,7.57,7.24,7.78,8.12,8.68,9.09,9.83,9.84,9.73,9.26,8.51,9.4,9.62,10.09,10.15,10.64,10.84,10.12,9.74,10.1,10.49,9.75,10.53,10.92,9.99,9.36,10.15,9.7,9.62,9.39,8.76,321.52,354.71
7.03,7.08,7.16,7.19,7.35,7.42,7.3,7.14,7.08,7.3,7.28,7.29,7.87,7.83,7.75,8.06,8.01,7.52,7.09,7.3,8.21,8.7,9.01,10.22,10.69,10.49,10.49,10.41,10.71,10.75,10.77,10.28,11.23,11.52,11.52,11.7,11.71,11.81,11.11,12.11,13.51,13.36,13.21,13.48,13.98,14.29,14.13,14.61,14.47,12.24,11.9,11.79,10.91,12.12,11.26,11.76,10.67,10.98,321.52,354.71
11.03,13.27,14.65,13.99,10.84,10.2,12.12,12.52,12.26,13.0,13.79,11.06,10.72,11.75,11.5,11.5,11.98,12.0,12.43,13.0,13.36,14.34,16.03,18.5,19.93,15.0,15.0,15.91,16.25,17.0,19.27,17.92,19.75,17.58,18.74,18.63,16.77,18.31,17.77,18.8,20.49,23.28,16.71,24.34,25.23,16.9,14.13,14.61,14.47,12.24,11.9,11.79,10.91,12.12,11.26,11.76,10.67,10.98,321.52,354.71
108.92,108.13,118.48,114.0,122.53,116.88,136.71,131.66,140.61,146.91,153.31,158.61,155.88,155.88,155.86,157.23,167.71,167.88,172.46,188.86,203.13,206.3,239.88,236.81,251.65,251.94,230.61,220.06,215.34,207.64,219.67,238.02,256.32,230.46,233.28,256.65,295.95,180.63,213.09,205.5,200.34,260.33,247.31,243.21,262.64,251.61,237.79,199.07,214.73,202.6,209.4,206.78,187.46,193.39,179.97,188.45,196.77,184.41,321.52,354.71
80.38,79.55,75.51,98.98,75.32,85.35,110.93,115.45,105.95,71.7,58.67,52.13,61.38,66.56,74.2,79.83,111.1,112.35,96.81,53.3,39.25,40.12,47.77,56.28,70.45,81.8,85.75,77.21,99.79,54.35,43.43,32.2,46.71,42.04,56.55,71.41,73.85,77.52,97.97,106.37,137.3,148.62,124.8,119.05,163.43,165.2,187.11,203.73,168.83,126.74,139.8,127.3,125.67,103.44,112.35,103.08,87.09,88.55,321.52,354.71
2.07,2.35,75.51,98.98,75.32,85.35,110.93,115.45,105.95,71.7,58.67,52.13,61.38,66.56,74.2,79.83,111.1,112.35,96.81,53.3,39.25,40.12,47.77,56.28,70.45,81.8,85.75,77.21,99.79,54.35,43.43,32.2,46.71,42.04,56.55,71.41,73.85,77.52,97.97,106.37,137.3,148.62,124.8,119.05,163.43,165.2,187.11,203.73,168.83,126.74,139.8,127.3,125.67,103.44,112.35,103.08,87.09,88.55,321.52,354.71
1.46,1.45,75.51,98.98,75.32,85.35,110.93,115.45,105.95,71.7,58.67,52.13,61.38,66.56,74.2,79.83,111.1,112.35,96.81,53.3,39.25,40.12,47.77,56.28,70.45,81.8,85.75,77.21,99.79,54.35,43.43,32.2,46.71,42.04,56.55,71.41,73.85,77.52,97.97,106.37,137.3,148.62,124.8,119.05,163.43,165.2,187.11,203.73,168.83,126.74,139.8,127.3,125.67,103.44,112.35,103.08,87.09,88.55,321.52,354.71
