01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
4.34,3.39,68.37,69.95,65.76,61.77,64.19,63.86,68.29,71.86,75.86,75.67,79.33,81.92,79.42,79.65,80.95,77.95,80.3,91.42,122.44,141.53,152.43,154.19,150.76,141.62,143.5,149.53,152.66,153.97,149.72,155.25,156.65,157.8,165.55,168.43,167.66,169.63,194.82,216.75,216.9,205.93,206.47,195.39,163.52,165.96,166.63,168.04,169.13,169.93,156.26,147.4,140.78,125.59,122.31,118.38,117.2,117.95,123.66,119.24
9.0,9.0,68.37,69.95,65.76,61.77,64.19,63.86,68.29,71.86,75.86,75.67,79.33,81.92,79.42,79.65,80.95,77.95,80.3,91.42,122.44,141.53,152.43,154.19,150.76,141.62,143.5,149.53,152.66,153.97,149.72,155.25,156.65,157.8,165.55,168.43,167.66,169.63,194.82,216.75,216.9,205.93,206.47,195.39,163.52,165.96,166.63,168.04,169.13,169.93,156.26,147.4,140.78,125.59,122.31,118.38,117.2,117.95,123.66,119.24
88.98,88.24,89.34,89.73,84.81,87.89,88.84,89.19,86.84,81.81,88.0,87.91,88.57,95.53,93.26,100.2,105.63,108.43,101.62,115.84,143.71,156.0,151.96,157.31,156.82,152.79,142.21,135.45,139.36,131.38,127.35,127.0,124.35,119.73,114.69,126.54,105.88,104.59,111.06,122.21,135.89,137.43,143.26,137.91,129.74,136.56,140.14,137.01,147.7,151.82,156.66,154.56,154.83,146.86,146.6,144.97,152.91,153.1,170.59,172.7
41.14,49.09,48.59,48.47,47.38,46.26,44.03,45.52,50.06,47.34,47.15,47.48,48.36,49.42,53.1,56.1,52.25,52.57,52.93,54.19,57.52,61.74,66.78,68.04,68.08,71.04,73.25,75.04,79.36,80.86,81.5,85.06,94.2,95.49,99.16,100.99,101.97,100.67,102.84,102.59,101.67,97.37,97.67,94.84,99.62,92.25,91.01,96.58,94.52,94.75,96.15,95.22,101.64,104.06,101.01,100.18,102.08,105.63,105.42,105.43
1.17,1.02,48.59,48.47,47.38,46.26,44.03,45.52,50.06,47.34,47.15,47.48,48.36,49.42,53.1,56.1,52.25,52.57,52.93,54.19,57.52,61.74,66.78,68.04,68.08,71.04,73.25,75.04,79.36,80.86,81.5,85.06,94.2,95.49,99.16,100.99,101.97,100.67,102.84,102.59,101.67,97.37,97.67,94.84,99.62,92.25,91.01,96.58,94.52,94.75,96.15,95.22,101.64,104.06,101.01,100.18,102.08,105.63,105.42,105.43
2.3,2.02,48.59,48.47,47.38,46.26,44.03,45.52,50.06,47.34,47.15,47.48,48.36,49.42,53.1,56.1,52.25,52.57,52.93,54.19,57.52,61.74,66.78,68.04,68.08,71.04,73.25,75.04,79.36,80.86,81.5,85.06,94.2,95.49,99.16,100.99,101.97,100.67,102.84,102.59,101.67,97.37,97.67,94.84,99.62,92.25,91.01,96.58,94.52,94.75,96.15,95.22,101.64,104.06,101.01,100.18,102.08,105.63,105.42,105.43
1.68,2.56,48.59,48.47,47.38,46.26,44.03,45.52,50.06,47.34,47.15,47.48,48.36,49.42,53.1,56.1,52.25,52.57,52.93,54.19,57.52,61.74,66.78,68.04,68.08,71.04,73.25,75.04,79.36,80.86,81.5,85.06,94.2,95.49,99.16,100.99,101.97,100.67,102.84,102.59,101.67,97.37,97.67,94.84,99.62,92.25,91.01,96.58,94.52,94.75,96.15,95.22,101.64,104.06,101.01,100.18,102.08,105.63,105.42,105.43
2.46,2.25,48.59,48.47,47.38,46.26,44.03,45.52,50.06,47.34,47.15,47.48,48.36,49.42,53.1,56.1,52.25,52.57,52.93,54.19,57.52,61.74,66.78,68.04,68.08,71.04,73.25,75.04,79.36,80.86,81.5,85.06,94.2,95.49,99.16,100.99,101.97,100.67,102.84,102.59,101.67,97.37,97.67,94.84,99.62,92.25,91.01,96.58,94.52,94.75,96.15,95.22,101.64,104.06,101.01,100.18,102.08,105.63,105.42,105.43
77.92,78.56,80.94,81.52,78.32,78.4,76.16,77.93,74.85,72.93,75.88,76.24,76.61,79.73,79.85,87.01,82.22,82.65,69.08,76.94,76.4,61.74,81.42,82.03,83.15,81.02,84.74,90.04,89.41,88.21,96.41,104.09,107.18,103.95,114.3,139.12,147.71,147.69,151.19,155.55,153.55,164.6,161.86,161.67,158.89,158.45,159.31,152.59,156.72,155.73,155.46,155.77,151.46,148.1,140.61,140.68,139.29,138.89,136.54,140.87
7.62,8.45,8.93,9.18,10.42,9.35,9.35,9.08,8.5,12.36,12.17,13.1,11.25,11.63,10.25,10.35,12.0,13.6,14.63,15.9,18.0,61.74,16.85,18.1,16.28,16.94,17.17,16.99,16.99,14.99,16.51,17.5,15.86,14.5,14.6,14.31,16.26,16.98,17.45,17.16,22.95,18.32,17.79,17.02,16.8,16.6,16.29,15.49,15.54,15.57,15.54,15.65,15.33,14.65,14.19,13.59,12.84,14.42,13.6,13.29
