01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
4.45,4.58,62.32,60.75,59.48,59.25,58.67,61.66,66.36,67.63,69.37,73.0,75.12,75.33,74.06,79.0,78.42,77.86,83.73,95.93,122.75,142.14,153.66,147.89,144.02,137.34,140.82,143.66,146.93,147.55,144.25,148.32,146.71,151.88,153.53,156.05,156.26,161.7,190.26,195.39,193.93,184.82,173.83,152.15,146.59,140.52,148.71,154.59,156.07,154.21,144.23,129.79,116.86,105.18,101.07,107.98,102.38,101.35,103.16,113.71
11.0,11.24,62.32,60.75,59.48,59.25,58.67,61.66,66.36,67.63,69.37,73.0,75.12,75.33,74.06,79.0,78.42,77.86,83.73,95.93,122.75,142.14,153.66,147.89,144.02,137.34,140.82,143.66,146.93,147.55,144.25,148.32,146.71,151.88,153.53,156.05,156.26,161.7,190.26,195.39,193.93,184.82,173.83,152.15,146.59,140.52,148.71,154.59,156.07,154.21,144.23,129.79,116.86,105.18,101.07,107.98,102.38,101.35,103.16,113.71
67.84,62.8,61.53,59.95,63.83,65.7,63.17,62.59,61.63,73.81,70.63,65.12,70.07,69.95,69.43,71.52,68.11,73.62,78.01,85.26,104.01,110.17,114.98,121.78,120.86,113.65,112.55,114.56,113.56,110.33,107.81,104.89,104.44,104.6,102.57,98.18,97.6,95.18,100.6,103.19,104.53,99.16,100.24,100.39,101.84,100.41,103.29,103.46,108.79,102.13,107.92,105.76,107.52,106.58,108.21,108.65,109.92,101.35,103.16,113.71
52.88,51.52,51.29,52.01,51.03,52.69,51.21,52.38,51.21,34.74,51.42,53.61,56.59,58.99,62.83,64.04,62.62,60.02,61.02,59.4,59.9,60.49,66.23,68.74,68.32,72.15,73.5,74.1,78.85,86.22,89.78,91.05,101.84,106.98,115.22,115.6,117.16,118.56,117.35,115.05,116.25,116.33,115.58,113.59,114.25,113.93,111.73,110.2,111.25,111.89,111.18,109.24,102.32,112.09,110.12,109.45,109.72,110.12,110.51,110.8
1.91,1.74,51.29,52.01,51.03,52.69,51.21,52.38,51.21,34.74,51.42,53.61,56.59,58.99,62.83,64.04,62.62,60.02,61.02,59.4,59.9,60.49,66.23,68.74,68.32,72.15,73.5,74.1,78.85,86.22,89.78,91.05,101.84,106.98,115.22,115.6,117.16,118.56,117.35,115.05,116.25,116.33,115.58,113.59,114.25,113.93,111.73,110.2,111.25,111.89,111.18,109.24,102.32,112.09,110.12,109.45,109.72,110.12,110.51,110.8
2.71,2.83,51.29,52.01,51.03,52.69,51.21,52.38,51.21,34.74,51.42,53.61,56.59,58.99,62.83,64.04,62.62,60.02,61.02,59.4,59.9,60.49,66.23,68.74,68.32,72.15,73.5,74.1,78.85,86.22,89.78,91.05,101.84,106.98,115.22,115.6,117.16,118.56,117.35,115.05,116.25,116.33,115.58,113.59,114.25,113.93,111.73,110.2,111.25,111.89,111.18,109.24,102.32,112.09,110.12,109.45,109.72,110.12,110.51,110.8
2.28,3.41,51.29,52.01,51.03,52.69,51.21,52.38,51.21,34.74,51.42,53.61,56.59,58.99,62.83,64.04,62.62,60.02,61.02,59.4,59.9,60.49,66.23,68.74,68.32,72.15,73.5,74.1,78.85,86.22,89.78,91.05,101.84,106.98,115.22,115.6,117.16,118.56,117.35,115.05,116.25,116.33,115.58,113.59,114.25,113.93,111.73,110.2,111.25,111.89,111.18,109.24,102.32,112.09,110.12,109.45,109.72,110.12,110.51,110.8
1.8,1.63,51.29,52.01,51.03,52.69,51.21,52.38,51.21,34.74,51.42,53.61,56.59,58.99,62.83,64.04,62.62,60.02,61.02,59.4,59.9,60.49,66.23,68.74,68.32,72.15,73.5,74.1,78.85,86.22,89.78,91.05,101.84,106.98,115.22,115.6,117.16,118.56,117.35,115.05,116.25,116.33,115.58,113.59,114.25,113.93,111.73,110.2,111.25,111.89,111.18,109.24,102.32,112.09,110.12,109.45,109.72,110.12,110.51,110.8
154.05,150.55,151.57,149.65,146.12,143.07,137.17,138.03,132.77,112.94,66.37,99.69,144.93,133.7,137.87,140.72,135.69,139.87,134.97,134.79,135.77,135.19,135.35,135.63,139.73,136.08,145.15,152.39,151.19,156.85,168.09,195.88,214.35,217.6,255.07,277.44,275.59,293.52,298.73,295.71,296.74,301.26,298.0,284.9,285.71,298.37,278.18,275.08,280.7,267.58,275.74,266.73,276.33,255.8,259.09,259.09,241.39,241.59,240.56,240.56
8.13,8.35,8.5,8.68,9.03,9.28,8.78,9.14,8.88,9.1,10.49,12.67,11.47,11.21,11.43,16.82,19.79,19.7,18.37,13.73,14.52,15.25,17.55,16.57,15.55,16.85,17.3,17.5,17.58,17.23,18.05,17.85,17.64,16.39,15.71,15.62,15.95,16.77,17.66,18.05,17.85,17.0,17.57,17.36,16.92,16.25,15.27,15.17,13.93,13.28,13.48,16.13,16.07,15.36,15.0,13.67,13.0,14.75,13.3,14.12
