01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
3.33,2.59,3.22,3.27,3.47,3.26,3.15,3.26,3.4,3.3,3.25,3.25,3.42,3.37,3.33,2.81,2.69,3.18,3.11,2.71,2.8,2.65,2.69,2.76,3.5,3.75,3.81,4.55,3.88,3.51,3.69,3.6,3.61,3.46,3.47,3.91,3.85,3.33,3.6,4.3,4.37,4.01,4.36,3.57,3.51,3.55,3.73,3.65,3.96,4.41,4.52,4.41,4.47,4.39,4.91,5.0,126.29,128.0,129.23,129.62
63.15,60.52,62.56,62.77,72.97,76.45,80.39,78.13,76.84,76.45,80.42,82.09,85.45,84.35,84.0,89.29,80.76,83.79,84.31,96.46,121.27,126.03,128.86,129.95,135.39,129.26,122.1,117.08,116.37,113.97,113.1,107.57,114.06,110.3,102.82,98.11,93.56,93.91,103.23,107.04,103.72,106.68,102.71,97.36,97.39,99.74,105.59,110.32,124.75,129.96,129.39,132.06,136.7,135.49,133.34,132.63,132.63,152.89,166.79,172.31
29.84,31.26,30.89,29.56,29.35,31.28,31.7,31.73,31.54,33.16,37.49,39.35,41.52,42.5,45.8,42.63,43.89,45.95,44.68,40.58,41.77,43.92,42.83,46.32,50.42,48.95,48.03,48.5,51.14,51.25,51.88,59.21,72.45,76.4,79.29,66.4,69.88,72.47,65.69,66.44,64.48,63.76,61.76,61.33,60.11,59.6,60.08,59.58,60.25,59.37,60.25,59.49,59.67,61.41,62.35,64.74,64.74,62.41,65.53,65.56
90.11,91.77,95.41,95.68,104.1,100.07,96.89,95.63,91.2,89.61,94.48,107.23,109.13,106.46,105.26,102.52,93.05,87.27,89.53,101.81,116.66,129.92,137.68,127.71,135.79,135.92,130.03,124.94,137.95,143.16,150.37,166.89,178.12,158.39,177.85,167.21,149.41,141.2,147.12,158.0,147.77,152.62,157.09,168.0,171.62,173.61,172.44,173.12,172.72,154.04,148.41,145.58,143.11,134.01,120.67,119.51,119.51,140.46,145.88,150.0
500.0,500.0,467.74,497.16,454.35,410.84,400.0,355.4,365.0,399.89,412.26,447.5,485.63,532.5,552.5,565.68,584.64,607.5,599.13,637.81,736.93,896.76,1049.38,1153.8,1161.9,1261.25,1289.13,1411.93,1725.0,1850.0,1713.64,1737.5,1668.18,1554.76,1448.3,1334.78,1312.5,1511.58,1630.43,1602.38,1600.0,1446.37,1527.62,1591.85,1476.14,1228.57,1309.09,1154.55,1147.73,1284.72,1265.22,1253.44,1218.7,1166.25,1035.0,900.11,119.51,140.46,145.88,150.0
30.13,35.45,39.32,38.8,33.71,34.51,34.8,33.77,32.58,33.54,36.89,36.48,42.45,42.64,46.95,45.61,46.23,58.9,59.9,59.9,68.35,62.64,58.67,59.9,61.71,64.15,63.49,64.9,64.15,63.94,65.73,64.0,65.9,65.13,62.78,64.75,64.72,63.26,63.53,61.28,60.9,62.86,62.13,63.9,63.76,64.67,62.34,66.81,64.98,59.85,60.73,61.43,63.66,64.94,63.44,62.75,62.75,59.73,59.54,60.2
37.88,62.66,63.65,59.95,44.57,40.39,40.21,37.5,35.32,36.34,42.47,49.06,47.72,47.71,48.99,59.28,64.73,72.0,70.2,59.8,58.28,60.27,58.65,61.66,61.4,61.37,63.61,65.63,63.91,63.56,65.63,62.46,65.27,60.9,56.08,54.65,55.26,59.54,64.59,66.86,67.8,81.21,79.83,76.63,74.08,70.14,67.68,73.74,77.81,78.07,82.72,85.43,82.83,78.29,74.56,72.91,72.91,54.64,51.05,56.97
38.78,51.68,56.46,59.29,53.5,50.64,49.48,47.75,43.73,42.92,42.38,43.43,44.39,43.07,43.66,50.21,56.12,53.9,58.01,72.08,70.68,69.45,68.17,69.83,72.07,73.57,75.07,77.41,81.08,79.7,81.13,76.92,83.28,78.96,71.25,66.91,67.12,68.93,71.16,74.53,75.35,76.16,73.83,71.55,69.2,69.6,67.17,66.07,71.87,73.28,74.24,77.58,79.65,76.53,73.32,72.45,72.45,65.68,65.52,73.43
30.25,29.97,31.71,30.74,32.64,35.34,35.47,36.19,37.63,34.96,34.54,35.35,34.99,34.63,34.26,39.99,36.97,41.48,43.38,53.04,53.48,52.86,49.35,47.45,48.01,46.38,43.69,48.47,50.19,53.96,55.89,55.15,55.01,53.5,51.46,51.22,51.41,51.21,57.73,62.33,63.98,70.24,85.48,89.58,77.42,70.07,67.28,63.82,64.74,65.0,68.75,71.95,71.95,68.49,69.15,68.05,68.05,61.9,57.19,55.38
30.25,63.74,79.24,74.67,66.0,68.97,63.0,58.14,59.4,59.91,68.24,62.5,77.5,62.5,56.67,27.22,37.14,48.75,47.17,60.0,60.0,66.82,83.75,105.79,74.76,55.0,53.91,50.45,46.5,40.0,47.5,63.0,67.95,71.25,88.33,88.7,70.0,70.0,56.74,55.24,65.0,95.63,77.5,82.9,91.03,95.99,132.78,139.78,127.8,134.69,92.25,120.51,117.0,110.04,110.96,98.04,68.05,61.9,57.19,55.38
