01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
3.0,70.0,67.1,58.55,51.97,42.12,38.65,41.08,43.78,99.0,95.43,100.25,105.73,113.8,114.43,45.56,40.0,35.5,36.09,45.0,50.0,114.64,118.21,119.57,127.38,80.0,73.7,60.45,47.75,40.0,42.35,46.0,50.0,59.38,141.0,103.26,90.0,94.74,75.61,70.0,61.25,51.88,51.67,65.94,66.52,83.13,87.71,92.4,120.07,109.65,85.67,76.87,69.91,69.45,74.8,78.76,234.5,202.5,185.55,175.0
10.83,70.0,67.1,58.55,51.97,42.12,38.65,41.08,43.78,99.0,95.43,100.25,105.73,113.8,114.43,45.56,40.0,35.5,36.09,45.0,50.0,114.64,118.21,119.57,127.38,80.0,73.7,60.45,47.75,40.0,42.35,46.0,50.0,59.38,141.0,103.26,90.0,94.74,75.61,70.0,61.25,51.88,51.67,65.94,66.52,83.13,87.71,92.4,120.07,109.65,85.67,76.87,69.91,69.45,74.8,78.76,234.5,202.5,185.55,175.0
78.36,87.16,94.57,80.1,79.33,81.42,85.6,91.03,88.3,85.64,83.64,81.91,85.65,85.06,89.66,84.16,91.1,102.78,105.06,110.99,121.33,134.03,142.3,141.19,139.7,152.35,145.67,147.82,150.93,139.75,133.62,130.11,128.22,129.44,135.23,127.75,115.91,102.05,103.93,116.66,115.22,117.49,113.87,123.67,119.14,122.45,119.21,123.79,137.01,141.32,140.92,143.09,144.45,142.41,148.5,145.68,147.7,146.96,148.91,166.36
73.32,72.33,72.46,69.08,70.41,74.44,74.92,73.4,74.27,71.97,72.38,75.83,77.22,77.88,76.0,84.16,75.0,84.1,89.4,110.99,121.33,134.03,92.75,92.77,93.17,152.35,145.67,147.82,150.93,139.75,133.62,130.11,128.22,129.44,135.23,127.75,115.91,102.05,103.93,116.66,115.22,117.49,113.87,123.67,119.14,122.45,91.63,123.79,137.01,141.32,140.92,143.09,144.45,142.41,148.5,145.68,147.7,146.96,148.91,166.36
63.11,63.98,63.4,63.24,62.7,63.54,61.34,60.08,58.9,59.52,60.65,65.13,66.67,69.92,71.23,78.0,80.7,81.71,79.26,73.14,75.6,72.79,71.02,71.48,73.21,74.98,86.48,88.31,86.8,91.88,99.35,103.15,101.47,108.67,106.97,106.23,110.3,113.6,113.57,120.58,119.1,114.08,120.07,121.48,121.93,119.15,116.75,118.62,123.07,119.36,132.3,117.24,115.13,123.14,123.14,122.82,121.83,114.3,115.5,120.87
1.68,63.98,63.4,63.24,62.7,63.54,61.34,60.08,58.9,59.52,60.65,65.13,66.67,69.92,71.23,78.0,80.7,81.71,79.26,73.14,75.6,72.79,71.02,71.48,73.21,74.98,86.48,88.31,86.8,91.88,99.35,103.15,101.47,108.67,106.97,106.23,110.3,113.6,113.57,120.58,119.1,114.08,120.07,121.48,121.93,119.15,116.75,118.62,123.07,119.36,132.3,117.24,115.13,123.14,123.14,122.82,121.83,114.3,115.5,120.87
1.79,63.98,63.4,63.24,62.7,63.54,61.34,60.08,58.9,59.52,60.65,65.13,66.67,69.92,71.23,78.0,80.7,81.71,79.26,73.14,75.6,72.79,71.02,71.48,73.21,74.98,86.48,88.31,86.8,91.88,99.35,103.15,101.47,108.67,106.97,106.23,110.3,113.6,113.57,120.58,119.1,114.08,120.07,121.48,121.93,119.15,116.75,118.62,123.07,119.36,132.3,117.24,115.13,123.14,123.14,122.82,121.83,114.3,115.5,120.87
2.8,63.98,63.4,63.24,62.7,63.54,61.34,60.08,58.9,59.52,60.65,65.13,66.67,69.92,71.23,78.0,80.7,81.71,79.26,73.14,75.6,72.79,71.02,71.48,73.21,74.98,86.48,88.31,86.8,91.88,99.35,103.15,101.47,108.67,106.97,106.23,110.3,113.6,113.57,120.58,119.1,114.08,120.07,121.48,121.93,119.15,116.75,118.62,123.07,119.36,132.3,117.24,115.13,123.14,123.14,122.82,121.83,114.3,115.5,120.87
144.92,146.47,141.99,144.13,143.29,146.3,142.64,133.84,131.37,131.42,136.58,129.51,124.8,131.44,133.68,140.53,140.93,140.05,137.4,150.11,153.37,155.52,157.35,150.35,155.54,157.83,172.79,169.62,165.13,169.78,174.9,182.05,196.05,205.22,216.43,240.65,263.73,272.62,284.3,291.1,300.92,292.19,295.44,291.7,279.22,297.38,287.03,273.3,274.2,292.57,252.77,240.9,273.47,279.24,257.35,272.25,289.57,273.07,263.95,265.66
8.23,8.12,8.18,8.24,8.2,8.21,8.43,8.35,8.65,8.73,9.41,9.91,10.28,11.45,11.93,140.53,140.93,140.05,137.4,150.11,153.37,155.52,157.35,150.35,155.54,157.83,172.79,169.62,165.13,169.78,174.9,182.05,196.05,205.22,216.43,240.65,263.73,272.62,284.3,291.1,300.92,292.19,295.44,24.19,23.71,25.2,25.31,24.81,24.82,24.3,22.83,23.21,22.35,22.58,22.63,21.59,22.46,19.88,20.31,21.22
102.88,105.44,110.35,108.35,112.94,120.05,121.95,118.69,120.74,117.86,118.83,117.1,125.6,137.5,133.5,134.95,132.52,134.68,128.39,134.71,136.15,143.82,156.04,164.52,161.68,166.2,173.32,172.71,160.75,161.13,159.53,160.3,176.75,173.03,182.45,184.0,169.55,164.06,176.95,187.18,185.2,182.92,193.66,200.55,216.57,204.4,211.86,203.01,203.21,200.66,180.75,177.6,170.08,169.67,170.55,167.2,169.05,165.87,165.05,169.47
116.04,114.92,118.78,117.83,121.13,127.9,128.4,134.1,134.48,126.43,130.69,129.35,139.74,145.25,137.9,141.45,135.81,142.25,141.65,142.58,148.3,155.29,172.05,178.45,183.63,191.45,195.37,188.75,193.8,194.06,192.2,192.02,207.66,203.03,205.25,208.97,204.1,201.8,205.85,206.5,207.5,210.26,211.4,220.3,218.0,226.45,229.6,231.75,229.13,228.11,229.71,233.35,226.43,218.12,226.52,234.6,233.04,233.8,165.05,169.47
152.12,148.12,145.7,144.97,149.86,149.4,149.39,171.96,158.69,148.03,154.29,157.0,166.21,174.31,171.41,189.5,197.65,199.95,195.7,198.15,197.0,205.18,211.09,219.32,235.22,245.29,251.8,260.05,261.15,253.8,246.88,239.4,227.25,215.81,215.04,215.09,207.92,202.47,194.78,181.38,186.29,199.97,222.8,201.68,233.96,267.17,239.3,202.55,213.92,235.96,201.36,195.25,209.67,231.68,220.33,206.4,187.33,183.08,165.05,169.47
2.77,148.12,145.7,144.97,149.86,149.4,149.39,171.96,158.69,148.03,154.29,157.0,166.21,174.31,171.41,189.5,197.65,199.95,195.7,198.15,197.0,205.18,211.09,219.32,235.22,245.29,251.8,260.05,261.15,253.8,246.88,239.4,227.25,215.81,215.04,215.09,207.92,202.47,194.78,181.38,186.29,199.97,222.8,201.68,233.96,267.17,239.3,202.55,213.92,235.96,201.36,195.25,209.67,231.68,220.33,206.4,187.33,183.08,165.05,169.47
1.3,148.12,145.7,144.97,149.86,149.4,149.39,171.96,158.69,148.03,154.29,157.0,166.21,174.31,171.41,189.5,197.65,199.95,195.7,198.15,197.0,205.18,211.09,219.32,235.22,245.29,251.8,260.05,261.15,253.8,246.88,239.4,227.25,215.81,215.04,215.09,207.92,202.47,194.78,181.38,186.29,199.97,222.8,201.68,233.96,267.17,239.3,202.55,213.92,235.96,201.36,195.25,209.67,231.68,220.33,206.4,187.33,183.08,165.05,169.47
65.0,64.75,65.54,64.36,65.5,66.38,64.51,63.46,61.36,64.88,66.39,66.3,64.52,67.0,65.33,189.5,197.65,199.95,71.0,70.62,77.82,87.27,98.81,107.58,118.41,133.25,145.24,144.32,140.26,146.16,145.33,147.27,150.0,151.08,151.66,158.24,161.17,156.64,151.3,157.01,161.45,148.14,131.47,139.54,163.34,184.7,210.9,221.59,248.74,246.48,253.87,244.74,242.18,220.47,260.8,216.35,182.98,174.33,189.3,200.95
2.96,2.86,2.74,2.91,2.84,2.83,2.89,2.92,2.96,2.88,2.99,2.92,3.02,3.09,3.07,3.32,3.49,3.62,3.64,3.73,3.82,3.87,4.21,4.31,4.07,4.0,4.17,4.29,4.36,4.19,4.23,4.17,4.33,4.37,4.53,4.33,4.26,4.38,5.16,5.67,5.74,6.2,6.3,6.56,6.37,6.32,6.41,6.39,6.69,6.45,6.56,5.89,6.13,5.88,6.16,5.72,5.58,5.54,5.31,5.13
66.46,78.96,103.96,92.27,84.49,86.95,85.22,81.2,83.46,87.4,94.75,98.6,116.89,140.88,142.87,142.72,143.94,172.53,171.67,169.73,166.58,170.65,168.91,163.18,162.98,181.98,203.08,217.1,230.7,227.77,221.09,218.08,201.22,199.38,189.38,170.31,170.5,181.23,181.64,191.79,191.23,185.21,175.95,166.25,160.1,153.78,144.28,130.6,130.15,150.66,160.56,167.48,161.8,164.55,165.25,159.27,153.04,148.43,159.57,169.06
118.13,182.93,230.25,207.22,172.3,131.98,123.23,114.89,111.93,117.59,123.61,141.27,160.15,147.68,144.13,167.32,189.94,223.6,200.09,177.68,184.29,188.29,180.2,198.75,217.71,219.05,204.33,204.7,224.09,199.37,192.86,190.49,187.85,195.37,188.7,180.24,174.41,181.59,194.52,225.47,230.83,244.45,237.23,245.0,223.07,226.78,219.2,236.78,252.1,275.71,272.28,303.28,291.04,264.97,244.56,192.04,180.92,150.78,165.43,203.11
136.75,175.89,201.8,183.97,161.38,137.22,119.97,122.08,118.65,118.87,115.96,124.94,121.54,118.21,121.1,137.5,157.13,189.33,195.43,184.62,194.35,207.75,207.95,218.76,233.59,248.32,251.32,244.4,253.88,244.21,233.71,220.03,220.51,214.83,198.93,189.37,189.2,198.2,216.72,240.85,233.73,219.05,203.71,195.51,194.2,188.87,186.45,200.78,218.2,232.91,242.02,261.68,247.06,235.47,238.93,229.13,222.72,199.68,210.86,263.88
35.34,32.47,32.26,33.03,33.37,34.76,33.62,31.21,31.85,32.37,33.05,33.45,36.43,40.03,39.6,41.1,36.78,39.13,38.38,40.25,42.7,45.69,41.84,41.98,45.15,47.4,51.16,56.23,57.18,60.99,61.26,64.08,63.6,57.92,59.78,60.79,61.3,60.85,61.96,63.73,58.2,60.25,55.08,60.19,62.54,188.87,186.45,200.78,218.2,232.91,242.02,261.68,247.06,235.47,238.93,229.13,222.72,199.68,210.86,263.88
35.34,32.47,32.26,33.04,33.37,34.76,33.62,31.21,31.83,32.37,33.05,33.48,36.43,40.03,39.6,41.1,36.78,39.13,38.38,40.26,42.7,45.69,41.73,41.98,45.15,47.4,51.16,56.23,57.4,60.99,61.26,64.03,63.6,57.92,59.74,60.79,61.25,60.94,61.96,63.73,58.29,60.25,55.08,60.19,62.54,188.87,186.45,200.78,218.2,232.91,242.02,261.68,247.06,235.47,238.93,60.26,56.57,59.24,59.33,57.72
4.4,32.47,32.26,33.04,33.37,34.76,33.62,31.21,31.83,32.37,33.05,33.48,36.43,40.03,39.6,41.1,36.78,39.13,38.38,40.26,42.7,45.69,41.73,41.98,45.15,47.4,51.16,56.23,57.4,60.99,61.26,64.03,63.6,57.92,59.74,60.79,61.25,60.94,61.96,63.73,58.29,60.25,55.08,60.19,62.54,188.87,186.45,200.78,218.2,232.91,242.02,261.68,247.06,235.47,238.93,60.26,56.57,59.24,59.33,57.72
1.8,32.47,32.26,33.04,33.37,34.76,33.62,31.21,31.83,32.37,33.05,33.48,36.43,40.03,39.6,41.1,36.78,39.13,38.38,40.26,42.7,45.69,41.73,41.98,45.15,47.4,51.16,56.23,57.4,60.99,61.26,64.03,63.6,57.92,59.74,60.79,61.25,60.94,61.96,63.73,58.29,60.25,55.08,60.19,62.54,188.87,186.45,200.78,218.2,232.91,242.02,261.68,247.06,235.47,238.93,60.26,56.57,59.24,59.33,57.72
19.73,19.22,19.65,20.2,19.9,19.97,19.72,19.01,19.29,18.68,19.52,20.34,20.39,20.4,20.78,20.75,20.6,21.41,22.39,24.52,26.67,25.87,25.4,24.76,25.78,26.06,26.45,25.25,26.21,26.58,26.82,26.36,27.04,27.73,26.99,26.09,25.63,26.26,27.92,28.99,31.09,33.06,34.31,40.19,41.27,39.1,36.25,36.21,37.39,34.52,35.98,35.29,35.45,35.44,35.7,33.64,33.68,31.35,32.7,30.5
46.8,43.14,41.61,40.08,39.61,40.21,40.38,41.43,40.81,43.45,44.72,46.42,43.78,41.69,40.29,37.85,40.88,44.91,54.75,56.77,60.99,64.91,57.35,58.37,59.52,57.38,56.18,53.45,55.85,57.51,57.5,60.09,61.92,61.35,59.06,57.11,52.2,53.88,56.57,62.74,63.3,70.31,72.67,88.25,92.42,82.93,77.0,75.78,74.46,69.3,70.42,81.24,80.63,78.7,77.83,74.8,72.64,67.88,65.26,65.77
28.0,25.01,24.84,24.84,24.48,25.77,26.04,24.7,24.69,25.41,24.19,26.61,25.38,26.23,24.69,24.21,25.86,26.63,26.47,26.93,27.35,25.28,25.44,25.86,26.7,53.96,65.66,69.52,73.8,76.65,83.35,86.3,83.3,87.16,87.6,83.58,86.55,86.27,88.03,94.35,93.9,95.8,100.02,111.61,126.95,128.2,111.83,104.06,100.88,114.72,101.9,105.9,103.93,111.68,125.91,111.92,112.4,100.8,104.14,102.85
3.33,25.01,24.84,24.84,24.48,25.77,26.04,24.7,24.69,25.41,24.19,26.61,25.38,26.23,24.69,24.21,25.86,26.63,26.47,26.93,27.35,25.28,25.44,25.86,26.7,53.96,65.66,69.52,73.8,76.65,83.35,86.3,83.3,87.16,87.6,83.58,86.55,86.27,88.03,94.35,93.9,95.8,100.02,111.61,126.95,128.2,111.83,104.06,100.88,114.72,101.9,105.9,103.93,111.68,125.91,111.92,112.4,100.8,104.14,102.85
4.59,25.01,24.84,24.84,24.48,25.77,26.04,24.7,24.69,25.41,24.19,26.61,25.38,26.23,24.69,24.21,25.86,26.63,26.47,26.93,27.35,25.28,25.44,25.86,26.7,53.96,65.66,69.52,73.8,76.65,83.35,86.3,83.3,87.16,87.6,83.58,86.55,86.27,88.03,94.35,93.9,95.8,100.02,111.61,126.95,128.2,111.83,104.06,100.88,114.72,101.9,105.9,103.93,111.68,125.91,111.92,112.4,100.8,104.14,102.85
39.6,40.57,41.97,42.42,42.05,39.95,37.87,37.58,38.53,39.05,42.96,44.46,49.81,53.37,55.21,55.11,43.81,42.87,44.38,47.37,54.27,60.39,67.29,71.14,77.17,77.34,76.34,78.79,88.27,86.77,84.92,85.88,88.98,85.54,81.79,82.31,86.01,88.24,91.07,90.14,87.75,85.13,80.69,79.37,81.08,82.65,83.86,85.16,85.17,84.43,82.04,78.73,63.17,55.26,51.46,50.38,51.22,51.46,57.79,67.65
