01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.15,1.93,8.0,8.0,8.0,8.0,8.0,8.0,8.35,8.53,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.57,9.0,9.0,8.52,8.0,8.0,8.0,7.88,7.5,7.17,7.0,6.61,6.0,6.24,7.0,7.0,7.0,7.0,7.0,7.83,8.0,8.0,7.88,7.31,7.0,7.0,7.67,8.0,7.87,8.0,8.19,8.0,23.08,21.43
10.74,11.31,8.0,8.0,8.0,8.0,8.0,8.0,8.35,8.53,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.57,9.0,9.0,8.52,8.0,8.0,8.0,7.88,7.5,7.17,7.0,6.61,6.0,6.24,7.0,7.0,7.0,7.0,7.0,7.83,8.0,8.0,7.88,7.31,7.0,7.0,7.67,8.0,7.87,8.0,8.19,8.0,23.08,21.43
87.56,89.03,88.43,88.4,90.39,97.35,87.11,88.2,86.6,88.89,90.0,90.0,88.37,89.25,93.58,92.29,91.94,92.7,92.7,96.16,113.45,136.02,147.48,146.5,149.6,149.25,138.92,142.82,148.29,136.95,126.53,123.81,119.05,122.25,124.82,123.0,116.64,105.87,110.43,117.86,120.13,138.51,132.46,145.21,165.69,152.56,146.81,147.02,149.55,156.93,159.67,156.31,154.6,155.1,156.0,156.21,166.15,166.0,175.26,182.27
53.83,57.9,58.04,58.35,60.71,62.0,63.3,64.53,60.0,61.52,62.0,62.0,64.48,64.95,65.8,64.87,64.56,65.7,65.7,61.68,66.17,71.56,75.2,70.28,69.0,75.45,77.57,81.72,86.49,85.0,82.5,84.88,85.55,89.27,90.29,91.07,93.55,91.89,94.48,110.0,107.83,116.78,115.72,117.03,115.13,107.28,111.82,112.3,106.84,103.78,105.22,103.65,103.2,107.89,123.08,126.53,113.09,112.2,117.66,111.24
2.87,2.71,58.04,58.35,60.71,62.0,63.3,64.53,60.0,61.52,62.0,62.0,64.48,64.95,65.8,64.87,64.56,65.7,65.7,61.68,66.17,71.56,75.2,70.28,69.0,75.45,77.57,81.72,86.49,85.0,82.5,84.88,85.55,89.27,90.29,91.07,93.55,91.89,94.48,110.0,107.83,116.78,115.72,117.03,115.13,107.28,111.82,112.3,106.84,103.78,105.22,103.65,103.2,107.89,123.08,126.53,113.09,112.2,117.66,111.24
1.07,1.19,58.04,58.35,60.71,62.0,63.3,64.53,60.0,61.52,62.0,62.0,64.48,64.95,65.8,64.87,64.56,65.7,65.7,61.68,66.17,71.56,75.2,70.28,69.0,75.45,77.57,81.72,86.49,85.0,82.5,84.88,85.55,89.27,90.29,91.07,93.55,91.89,94.48,110.0,107.83,116.78,115.72,117.03,115.13,107.28,111.82,112.3,106.84,103.78,105.22,103.65,103.2,107.89,123.08,126.53,113.09,112.2,117.66,111.24
2.27,3.29,58.04,58.35,60.71,62.0,63.3,64.53,60.0,61.52,62.0,62.0,64.48,64.95,65.8,64.87,64.56,65.7,65.7,61.68,66.17,71.56,75.2,70.28,69.0,75.45,77.57,81.72,86.49,85.0,82.5,84.88,85.55,89.27,90.29,91.07,93.55,91.89,94.48,110.0,107.83,116.78,115.72,117.03,115.13,107.28,111.82,112.3,106.84,103.78,105.22,103.65,103.2,107.89,123.08,126.53,113.09,112.2,117.66,111.24
1.81,1.7,58.04,58.35,60.71,62.0,63.3,64.53,60.0,61.52,62.0,62.0,64.48,64.95,65.8,64.87,64.56,65.7,65.7,61.68,66.17,71.56,75.2,70.28,69.0,75.45,77.57,81.72,86.49,85.0,82.5,84.88,85.55,89.27,90.29,91.07,93.55,91.89,94.48,110.0,107.83,116.78,115.72,117.03,115.13,107.28,111.82,112.3,106.84,103.78,105.22,103.65,103.2,107.89,123.08,126.53,113.09,112.2,117.66,111.24
161.64,156.91,156.76,157.83,158.86,157.6,154.75,155.25,153.4,150.35,147.43,146.85,149.39,151.8,148.95,147.81,155.06,156.0,154.0,142.88,138.75,138.72,137.75,142.48,147.57,148.25,131.61,131.73,135.5,125.77,139.23,159.5,182.63,210.53,225.77,228.22,277.2,260.55,278.39,295.0,298.9,318.12,314.3,310.34,328.96,303.6,308.13,298.0,297.8,301.49,308.63,314.49,315.05,299.61,298.45,298.0,294.19,294.0,275.53,268.14
10.9,10.9,10.9,11.03,11.3,157.6,12.5,12.5,12.5,12.13,11.9,12.18,14.15,14.55,14.76,15.23,16.0,16.5,16.5,16.13,16.18,18.64,20.13,23.23,28.47,28.19,28.88,27.58,27.76,29.49,31.49,29.04,26.11,26.17,23.82,23.75,27.49,28.71,30.2,29.32,28.43,28.0,27.02,27.47,27.9,27.9,27.5,27.5,26.13,24.61,24.54,24.5,23.8,23.41,24.5,24.5,23.81,23.0,275.53,268.14
