01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.97,2.8,76.0,76.0,69.39,68.0,68.0,68.0,68.0,67.39,67.48,68.0,72.43,74.8,75.53,75.5,75.98,76.0,76.0,76.5,79.14,81.12,81.5,77.55,77.67,80.5,83.7,91.82,93.68,94.01,97.61,104.71,107.43,105.96,92.51,90.91,92.06,90.84,101.61,122.83,116.75,119.5,125.29,136.78,142.68,145.0,156.0,156.0,148.2,141.4,151.36,157.84,156.99,161.49,160.6,160.6,167.65,168.0,144.7,134.9
8.42,8.08,76.0,76.0,69.39,68.0,68.0,68.0,68.0,67.39,67.48,68.0,72.43,74.8,75.53,75.5,75.98,76.0,76.0,76.5,79.14,81.12,81.5,77.55,77.67,80.5,83.7,91.82,93.68,94.01,97.61,104.71,107.43,105.96,92.51,90.91,92.06,90.84,101.61,122.83,116.75,119.5,125.29,136.78,142.68,145.0,156.0,156.0,148.2,141.4,151.36,157.84,156.99,161.49,160.6,160.6,167.65,168.0,144.7,134.9
84.46,82.42,80.7,86.39,79.67,82.63,93.51,91.63,92.84,81.37,71.29,84.71,87.31,87.7,85.82,93.34,99.25,108.18,112.17,123.38,140.45,145.91,155.55,155.66,126.12,125.87,120.35,120.26,123.68,118.91,113.02,114.48,113.33,111.91,110.87,102.2,95.0,104.02,111.79,113.41,115.95,115.65,114.72,113.72,107.66,111.08,115.86,123.59,126.66,125.58,125.04,125.4,124.07,124.02,121.25,123.47,131.32,134.3,142.48,153.24
55.73,55.79,56.75,57.47,57.02,59.1,59.93,60.45,60.26,60.37,59.16,59.78,60.78,63.81,60.86,58.17,58.53,60.66,62.3,65.25,71.32,63.84,66.98,76.29,79.3,75.55,75.99,77.28,81.63,89.24,90.28,89.66,90.35,92.26,96.8,103.86,103.26,103.72,103.36,105.23,104.13,108.71,104.4,104.09,102.64,98.63,93.71,92.54,92.08,92.14,98.02,97.47,107.4,110.72,109.25,103.33,101.12,103.64,103.64,104.16
0.86,1.23,56.75,57.47,57.02,59.1,59.93,60.45,60.26,60.37,59.16,59.78,60.78,63.81,60.86,58.17,58.53,60.66,62.3,65.25,71.32,63.84,66.98,76.29,79.3,75.55,75.99,77.28,81.63,89.24,90.28,89.66,90.35,92.26,96.8,103.86,103.26,103.72,103.36,105.23,104.13,108.71,104.4,104.09,102.64,98.63,93.71,92.54,92.08,92.14,98.02,97.47,107.4,110.72,109.25,103.33,101.12,103.64,103.64,104.16
2.92,4.29,56.75,57.47,57.02,59.1,59.93,60.45,60.26,60.37,59.16,59.78,60.78,63.81,60.86,58.17,58.53,60.66,62.3,65.25,71.32,63.84,66.98,76.29,79.3,75.55,75.99,77.28,81.63,89.24,90.28,89.66,90.35,92.26,96.8,103.86,103.26,103.72,103.36,105.23,104.13,108.71,104.4,104.09,102.64,98.63,93.71,92.54,92.08,92.14,98.02,97.47,107.4,110.72,109.25,103.33,101.12,103.64,103.64,104.16
2.33,2.16,56.75,57.47,57.02,59.1,59.93,60.45,60.26,60.37,59.16,59.78,60.78,63.81,60.86,58.17,58.53,60.66,62.3,65.25,71.32,63.84,66.98,76.29,79.3,75.55,75.99,77.28,81.63,89.24,90.28,89.66,90.35,92.26,96.8,103.86,103.26,103.72,103.36,105.23,104.13,108.71,104.4,104.09,102.64,98.63,93.71,92.54,92.08,92.14,98.02,97.47,107.4,110.72,109.25,103.33,101.12,103.64,103.64,104.16
167.89,166.31,164.99,166.55,168.2,168.2,169.24,169.32,176.83,164.87,157.92,145.13,155.53,156.9,144.71,151.46,166.16,171.5,177.17,188.75,180.91,175.16,176.25,172.18,186.88,178.44,161.22,158.53,185.88,189.41,199.5,214.31,218.86,225.07,259.35,265.8,269.63,280.26,280.35,285.05,286.26,305.81,299.48,300.0,277.05,270.0,260.91,258.74,257.5,270.83,278.7,303.75,306.5,316.87,321.68,312.04,291.82,296.13,303.64,300.0
3.59,2.81,164.99,166.55,168.2,168.2,169.24,169.32,176.83,164.87,157.92,145.13,155.53,156.9,144.71,151.46,166.16,171.5,177.17,188.75,180.91,175.16,176.25,172.18,186.88,178.44,161.22,158.53,185.88,189.41,199.5,214.31,218.86,225.07,259.35,265.8,269.63,280.26,280.35,285.05,286.26,305.81,299.48,300.0,277.05,270.0,260.91,258.74,257.5,270.83,278.7,303.75,306.5,316.87,321.68,312.04,291.82,296.13,303.64,300.0
2.69,2.5,164.99,166.55,168.2,168.2,169.24,169.32,176.83,164.87,157.92,145.13,155.53,156.9,144.71,151.46,166.16,171.5,177.17,188.75,180.91,175.16,176.25,172.18,186.88,178.44,161.22,158.53,185.88,189.41,199.5,214.31,218.86,225.07,259.35,265.8,269.63,280.26,280.35,285.05,286.26,305.81,299.48,300.0,277.05,270.0,260.91,258.74,257.5,270.83,278.7,303.75,306.5,316.87,321.68,312.04,291.82,296.13,303.64,300.0
