01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
78.34,78.28,78.7,77.51,77.4,79.38,79.21,79.08,78.58,77.41,76.47,76.94,77.21,85.65,84.63,94.77,95.05,96.77,99.26,100.39,125.67,146.49,144.58,144.01,148.37,138.63,137.9,133.85,137.12,137.94,137.98,138.17,138.21,133.18,129.11,125.02,116.25,116.32,120.03,122.23,128.12,123.99,124.52,123.85,125.86,126.12,127.06,128.02,131.16,134.39,135.59,135.75,140.9,140.44,137.87,141.22,142.2,143.49,149.6,165.17
59.18,59.86,58.68,58.03,58.3,58.3,60.06,59.1,59.1,58.71,57.0,58.56,62.65,63.3,63.3,70.53,69.09,69.15,70.27,68.23,70.39,71.4,77.1,80.61,83.79,83.01,82.92,84.02,87.84,95.32,96.8,96.75,101.79,104.07,104.7,115.76,116.48,119.38,121.39,121.08,113.99,118.01,118.49,115.21,115.18,115.44,116.14,117.23,116.9,114.99,114.66,114.5,117.21,124.95,125.88,125.93,124.81,123.07,127.97,125.42
77.1,76.14,75.47,74.78,74.66,74.6,75.57,77.53,77.1,77.37,75.73,70.63,70.52,73.06,72.77,77.18,75.87,74.58,78.24,71.96,70.3,71.05,72.07,73.25,73.46,74.85,74.43,79.69,83.08,83.86,87.7,95.2,100.73,104.17,119.93,130.61,137.53,136.67,141.48,145.37,148.64,151.5,150.49,152.66,149.76,149.92,146.93,148.94,146.92,147.94,146.75,143.21,141.73,140.14,137.34,143.09,149.0,151.5,135.96,131.71
9.47,9.31,9.31,10.23,10.05,10.13,10.63,10.66,10.97,11.11,11.91,13.42,13.63,13.54,13.15,14.1,14.18,15.21,17.08,17.63,17.74,18.28,19.4,21.77,21.02,20.0,20.0,21.23,20.94,21.87,23.06,22.05,22.29,23.07,22.75,23.15,23.41,24.03,23.62,23.53,23.83,23.8,23.92,24.23,23.77,19.93,19.93,19.93,19.92,19.9,17.96,18.73,18.73,20.98,19.15,19.36,21.5,18.76,19.85,131.71
9.8,9.56,9.6,10.36,10.25,10.31,10.07,9.8,10.49,10.95,11.8,12.39,12.55,11.6,11.58,14.42,14.06,15.12,16.49,17.18,17.23,18.91,21.2,21.88,20.68,21.6,22.1,22.5,21.41,21.64,23.62,23.05,22.88,23.92,23.12,23.56,23.65,24.08,24.12,24.1,23.44,22.13,23.67,24.21,23.25,21.4,21.4,21.1,21.29,21.47,21.4,21.09,21.05,21.6,22.32,22.47,22.81,21.1,23.33,131.71
5.76,5.94,6.1,6.09,5.92,6.11,6.88,6.57,6.16,5.76,5.8,6.27,6.48,6.63,6.76,7.06,6.9,6.66,6.93,6.83,7.18,8.37,8.19,8.29,8.51,8.17,8.27,8.27,8.09,7.86,8.28,7.95,9.77,10.78,10.4,10.78,10.8,10.78,10.53,10.31,10.87,10.75,11.04,10.76,11.22,11.32,11.1,11.36,11.15,11.09,10.77,10.45,10.35,8.78,9.52,9.65,10.02,10.4,9.03,131.71
6.97,7.39,7.36,7.51,7.46,7.61,8.14,8.43,7.67,7.68,8.27,8.46,8.71,8.5,7.68,8.27,8.32,8.43,8.7,8.58,8.8,9.44,10.33,10.9,10.83,9.45,9.42,9.61,9.8,10.12,10.05,11.85,11.87,13.14,12.97,12.16,12.09,12.77,12.27,11.9,12.48,14.02,14.22,14.33,13.19,12.52,12.73,11.65,11.95,11.12,10.82,10.77,10.72,10.43,10.53,10.33,11.36,11.82,11.41,131.71
9.83,10.67,10.74,10.42,9.76,10.49,11.4,11.76,11.58,11.53,11.86,12.63,13.41,13.39,13.88,13.62,12.99,13.43,13.41,13.76,14.55,16.53,18.48,18.99,18.94,18.09,18.41,18.79,19.05,18.1,19.03,17.64,17.7,18.64,18.7,19.22,19.3,19.3,19.3,19.3,17.35,18.37,18.22,17.72,17.7,18.04,17.29,17.68,17.93,17.22,17.36,17.62,17.54,16.86,17.3,16.96,17.83,17.24,16.93,131.71
30.42,29.64,29.36,28.7,29.02,28.72,28.15,27.28,27.76,29.51,30.66,30.99,30.97,31.94,32.51,32.44,31.86,31.92,32.28,32.99,33.94,34.46,34.65,34.96,34.75,36.45,36.45,35.34,36.06,36.62,36.62,39.03,39.62,42.1,41.77,41.67,42.14,42.36,46.21,50.04,52.34,56.44,57.64,58.45,58.83,59.5,58.86,58.59,60.19,61.69,55.35,57.96,58.61,62.17,64.0,61.13,59.72,57.51,57.73,56.62
72.47,88.74,100.73,100.07,101.41,98.85,94.37,93.4,88.35,87.03,88.16,90.72,68.42,135.11,142.06,192.98,172.97,173.64,170.31,170.47,171.37,172.58,155.8,156.8,205.92,196.17,196.17,206.46,209.01,206.74,198.75,201.0,203.75,194.61,179.75,179.75,186.36,188.56,188.56,188.56,195.33,199.13,198.2,204.74,198.33,192.28,194.11,195.85,217.13,252.69,271.99,280.2,276.11,264.6,233.87,224.45,206.87,253.07,215.61,187.11
