01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
4.69,4.5,216.57,220.13,221.13,204.23,191.62,191.22,184.61,185.58,181.28,190.18,213.69,206.61,217.07,211.75,213.03,218.11,213.17,216.01,211.32,224.83,241.51,246.74,247.48,239.75,231.96,229.39,235.34,235.19,241.61,247.64,245.81,237.08,239.04,243.49,250.25,256.58,322.72,347.43,355.95,372.14,390.56,401.85,402.24,420.38,422.69,429.07,441.47,446.09,455.02,459.5,459.92,481.84,486.34,478.02,453.52,447.17,442.53,431.49
10.0,10.0,216.57,220.13,221.13,204.23,191.62,191.22,184.61,185.58,181.28,190.18,213.69,206.61,217.07,211.75,213.03,218.11,213.17,216.01,211.32,224.83,241.51,246.74,247.48,239.75,231.96,229.39,235.34,235.19,241.61,247.64,245.81,237.08,239.04,243.49,250.25,256.58,322.72,347.43,355.95,372.14,390.56,401.85,402.24,420.38,422.69,429.07,441.47,446.09,455.02,459.5,459.92,481.84,486.34,478.02,453.52,447.17,442.53,431.49
10.82,10.7,11.02,10.9,9.7,9.06,10.12,9.31,10.58,10.64,9.45,10.99,12.92,9.88,11.02,12.84,12.69,12.64,12.68,12.98,13.13,13.45,15.15,13.22,12.83,14.16,14.85,15.07,14.97,16.9,18.44,18.72,18.72,18.5,18.6,18.38,17.89,17.15,16.59,17.02,17.08,17.65,17.58,18.47,16.58,12.48,15.18,16.69,12.61,13.87,14.08,14.35,13.81,16.56,16.31,16.14,16.64,16.59,15.33,17.13
70.56,73.01,72.89,69.44,71.38,72.77,74.77,74.91,73.36,74.62,75.6,76.31,71.29,74.72,71.77,79.86,85.38,88.89,91.4,105.33,148.07,150.2,144.98,140.29,149.14,149.0,165.84,152.87,139.74,140.51,133.02,136.18,138.56,140.95,130.7,119.47,116.0,129.5,128.72,134.14,124.61,123.97,121.83,124.26,124.94,126.57,118.85,139.98,153.32,138.74,141.66,148.63,168.08,156.85,131.06,131.41,126.68,120.58,129.5,148.97
3.48,3.42,3.56,3.48,3.53,3.66,3.63,3.6,3.6,3.6,3.75,3.75,3.65,3.51,3.47,3.76,3.98,3.99,3.99,3.99,3.99,3.99,4.4,4.77,4.83,5.14,4.88,5.07,5.72,5.9,6.11,6.52,6.67,7.29,7.64,7.53,7.28,7.66,7.64,7.98,7.52,7.52,7.31,7.18,7.14,6.89,7.19,6.66,6.59,6.51,6.59,6.62,6.65,6.99,7.19,6.88,7.16,7.41,7.32,7.56
0.93,0.9,3.56,3.48,3.53,3.66,3.63,3.6,3.6,3.6,3.75,3.75,3.65,3.51,3.47,3.76,3.98,3.99,3.99,3.99,3.99,3.99,4.4,4.77,4.83,5.14,4.88,5.07,5.72,5.9,6.11,6.52,6.67,7.29,7.64,7.53,7.28,7.66,7.64,7.98,7.52,7.52,7.31,7.18,7.14,6.89,7.19,6.66,6.59,6.51,6.59,6.62,6.65,6.99,7.19,6.88,7.16,7.41,7.32,7.56
1.85,2.0,3.56,3.48,3.53,3.66,3.63,3.6,3.6,3.6,3.75,3.75,3.65,3.51,3.47,3.76,3.98,3.99,3.99,3.99,3.99,3.99,4.4,4.77,4.83,5.14,4.88,5.07,5.72,5.9,6.11,6.52,6.67,7.29,7.64,7.53,7.28,7.66,7.64,7.98,7.52,7.52,7.31,7.18,7.14,6.89,7.19,6.66,6.59,6.51,6.59,6.62,6.65,6.99,7.19,6.88,7.16,7.41,7.32,7.56
1.76,2.87,3.56,3.48,3.53,3.66,3.63,3.6,3.6,3.6,3.75,3.75,3.65,3.51,3.47,3.76,3.98,3.99,3.99,3.99,3.99,3.99,4.4,4.77,4.83,5.14,4.88,5.07,5.72,5.9,6.11,6.52,6.67,7.29,7.64,7.53,7.28,7.66,7.64,7.98,7.52,7.52,7.31,7.18,7.14,6.89,7.19,6.66,6.59,6.51,6.59,6.62,6.65,6.99,7.19,6.88,7.16,7.41,7.32,7.56
1.22,1.15,3.56,3.48,3.53,3.66,3.63,3.6,3.6,3.6,3.75,3.75,3.65,3.51,3.47,3.76,3.98,3.99,3.99,3.99,3.99,3.99,4.4,4.77,4.83,5.14,4.88,5.07,5.72,5.9,6.11,6.52,6.67,7.29,7.64,7.53,7.28,7.66,7.64,7.98,7.52,7.52,7.31,7.18,7.14,6.89,7.19,6.66,6.59,6.51,6.59,6.62,6.65,6.99,7.19,6.88,7.16,7.41,7.32,7.56
172.98,169.9,176.75,165.2,169.38,170.18,165.89,168.2,170.41,166.51,167.46,166.3,152.34,163.04,164.84,154.76,171.47,172.12,169.97,170.3,175.8,170.59,168.27,169.28,169.6,171.13,174.64,175.93,175.7,176.78,182.91,210.8,226.41,255.4,287.72,302.01,317.05,308.76,334.99,338.47,335.0,346.87,346.87,331.23,322.07,311.03,319.61,305.93,301.25,299.37,294.98,292.5,297.36,285.95,251.87,235.75,231.76,222.24,223.04,236.28
8.35,8.51,8.72,8.88,8.79,9.14,9.36,9.19,9.05,9.24,10.06,11.94,10.74,11.12,11.81,12.29,12.36,12.73,13.71,14.1,14.96,14.87,15.59,15.97,16.37,17.12,17.67,18.46,18.51,19.24,19.39,18.15,18.23,16.74,16.93,16.69,18.34,17.47,17.76,18.51,18.2,18.5,18.64,17.57,17.25,17.3,17.07,15.7,16.15,16.27,16.03,16.2,15.72,15.16,15.33,13.8,13.67,14.78,13.73,12.48
13.46,13.24,13.33,13.47,13.41,12.84,13.02,13.2,13.86,14.0,16.8,18.81,16.94,16.14,16.16,16.05,16.06,16.42,17.48,19.02,20.16,20.36,21.2,21.8,22.63,23.59,23.33,23.86,23.81,24.2,24.41,24.39,24.65,24.02,24.42,26.79,27.47,26.72,25.94,25.47,24.3,23.0,23.0,23.18,22.6,22.0,22.63,23.9,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
6.83,6.04,6.69,6.91,7.45,8.5,8.46,7.25,7.35,8.23,9.38,10.9,11.75,10.75,15.15,12.78,11.76,16.63,16.45,19.5,17.87,17.3,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
3.0,3.0,6.69,6.91,7.45,8.5,8.46,7.25,7.35,8.23,9.38,10.9,11.75,10.75,15.15,12.78,11.76,16.63,16.45,19.5,17.87,17.3,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
2.17,2.25,6.69,6.91,7.45,8.5,8.46,7.25,7.35,8.23,9.38,10.9,11.75,10.75,15.15,12.78,11.76,16.63,16.45,19.5,17.87,17.3,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
2.44,2.3,6.69,6.91,7.45,8.5,8.46,7.25,7.35,8.23,9.38,10.9,11.75,10.75,15.15,12.78,11.76,16.63,16.45,19.5,17.87,17.3,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
19.63,16.46,19.23,23.31,23.72,23.01,24.81,26.19,25.58,21.95,21.23,22.44,25.32,19.54,19.21,19.06,18.88,22.94,22.9,22.9,21.95,21.95,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
25.2,19.18,20.76,25.52,29.66,27.67,29.01,31.21,32.14,31.45,31.45,24.38,26.8,21.46,21.14,19.64,19.88,23.62,23.45,23.45,21.71,23.9,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
86.3,87.14,86.57,84.48,83.84,27.67,29.01,31.21,32.14,31.45,31.45,24.38,26.8,21.46,21.14,19.64,19.88,23.62,23.45,23.45,21.71,23.9,18.15,20.49,18.87,17.09,17.68,16.18,20.45,19.11,17.97,16.23,17.99,17.99,17.99,17.99,17.54,12.37,15.49,15.7,16.35,16.88,16.22,16.72,16.19,17.49,18.4,18.17,23.05,23.28,23.1,23.05,22.07,20.09,20.08,18.2,17.74,19.7,19.4,21.66
21.4,21.01,22.0,22.36,21.44,21.17,20.91,21.67,21.14,21.91,21.48,21.62,21.41,21.41,21.5,21.83,22.49,24.81,24.32,24.27,26.2,26.68,25.98,26.2,26.19,27.03,27.61,28.43,28.51,27.96,29.42,29.9,30.37,30.99,31.66,33.93,34.06,33.62,34.09,36.89,39.99,40.62,40.4,40.55,40.95,42.4,38.56,39.46,39.83,39.73,40.97,40.8,41.05,37.81,39.03,38.75,37.18,32.04,26.54,26.9
115.12,186.28,217.72,192.1,182.2,140.14,137.53,135.49,123.68,124.41,152.62,170.5,152.34,165.3,162.83,188.59,200.63,222.78,207.94,164.7,197.44,185.2,202.33,205.49,206.7,206.7,212.39,218.05,224.48,219.98,211.94,218.9,220.76,212.27,209.48,213.67,204.73,203.19,211.0,228.0,266.08,284.26,276.73,263.54,255.76,231.74,221.42,235.69,251.4,265.02,267.05,280.68,280.71,242.85,203.93,187.6,171.79,156.7,163.36,174.16
125.87,159.05,156.01,134.57,137.86,130.7,119.08,121.98,116.06,120.15,126.4,123.32,118.25,122.03,120.8,153.29,143.63,164.7,167.77,170.7,183.43,179.05,195.72,201.22,207.22,212.7,221.57,228.54,230.03,212.49,200.08,222.9,212.32,215.27,201.9,194.94,200.39,195.44,206.32,209.18,192.7,194.75,183.0,175.13,171.22,171.76,171.86,181.0,197.98,196.58,197.21,205.53,199.01,182.14,170.2,171.82,173.05,170.93,181.15,193.72
2.21,2.45,2.42,2.09,2.19,2.13,2.61,2.33,2.35,2.58,2.58,2.76,2.76,2.62,2.68,2.2,2.15,2.24,2.19,2.23,2.26,2.32,2.85,2.85,2.74,2.79,3.04,3.57,3.69,3.69,4.05,3.64,3.87,4.78,4.84,5.08,4.75,5.06,5.17,5.37,5.36,8.01,7.61,4.98,4.85,4.92,5.04,4.18,5.04,5.35,5.37,5.28,5.23,4.6,4.45,4.27,3.96,4.53,4.15,4.17
51.8,56.69,55.08,49.5,49.5,49.5,49.5,49.5,47.88,52.34,59.67,70.53,67.06,61.46,62.17,58.9,50.88,48.0,52.11,51.56,57.44,74.15,69.0,69.0,69.0,64.19,69.0,69.0,69.0,69.0,69.0,69.5,70.0,72.08,87.38,89.78,89.75,94.42,103.86,119.1,128.0,129.33,132.08,134.75,134.75,134.75,135.43,141.76,139.75,139.75,131.74,122.46,102.07,95.0,95.0,92.52,82.24,78.5,74.0,74.0
2.67,2.75,55.08,49.5,49.5,49.5,49.5,49.5,47.88,52.34,59.67,70.53,67.06,61.46,62.17,58.9,50.88,48.0,52.11,51.56,57.44,74.15,69.0,69.0,69.0,64.19,69.0,69.0,69.0,69.0,69.0,69.5,70.0,72.08,87.38,89.78,89.75,94.42,103.86,119.1,128.0,129.33,132.08,134.75,134.75,134.75,135.43,141.76,139.75,139.75,131.74,122.46,102.07,95.0,95.0,92.52,82.24,78.5,74.0,74.0
1.52,1.52,55.08,49.5,49.5,49.5,49.5,49.5,47.88,52.34,59.67,70.53,67.06,61.46,62.17,58.9,50.88,48.0,52.11,51.56,57.44,74.15,69.0,69.0,69.0,64.19,69.0,69.0,69.0,69.0,69.0,69.5,70.0,72.08,87.38,89.78,89.75,94.42,103.86,119.1,128.0,129.33,132.08,134.75,134.75,134.75,135.43,141.76,139.75,139.75,131.74,122.46,102.07,95.0,95.0,92.52,82.24,78.5,74.0,74.0
22.18,18.15,18.2,18.27,18.97,18.49,18.53,19.23,18.33,18.97,18.36,18.55,17.74,18.69,18.83,20.76,21.25,22.75,22.71,24.11,26.95,27.01,24.78,25.6,26.07,25.8,24.71,24.79,26.41,26.94,27.5,27.7,29.51,28.01,28.03,26.57,27.39,28.22,29.59,30.74,31.91,36.02,47.49,44.51,46.9,42.94,43.29,40.69,40.6,36.11,41.93,39.77,36.89,35.96,35.25,32.56,30.39,29.46,29.58,28.89
27.45,30.13,30.91,31.37,32.55,31.9,30.28,29.99,29.8,30.92,29.83,30.82,29.29,29.41,32.71,39.79,35.88,37.85,37.9,42.99,46.95,42.92,39.96,40.72,40.95,39.93,38.21,39.23,40.14,43.07,45.29,43.4,45.49,43.86,40.63,38.63,39.54,41.09,45.14,53.76,54.31,63.13,77.88,70.2,58.69,63.78,63.42,56.96,50.62,54.77,55.04,60.29,57.26,55.73,54.01,48.93,45.1,44.36,43.9,42.91
3.35,3.43,3.26,3.39,3.55,3.61,3.85,3.8,3.68,3.44,3.42,3.27,3.78,3.53,3.56,3.78,3.93,3.97,3.99,3.99,4.06,4.28,4.09,3.88,3.57,4.2,4.24,3.75,3.87,4.51,4.22,3.95,4.27,4.75,4.78,4.94,4.68,5.66,5.96,6.01,6.52,6.24,5.89,7.07,7.19,6.8,7.33,6.95,7.68,7.23,7.43,7.77,7.73,7.19,6.97,6.7,6.48,5.6,5.87,6.3
2.33,2.33,3.26,3.39,3.55,3.61,3.85,3.8,3.68,3.44,3.42,3.27,3.78,3.53,3.56,3.78,3.93,3.97,3.99,3.99,4.06,4.28,4.09,3.88,3.57,4.2,4.24,3.75,3.87,4.51,4.22,3.95,4.27,4.75,4.78,4.94,4.68,5.66,5.96,6.01,6.52,6.24,5.89,7.07,7.19,6.8,7.33,6.95,7.68,7.23,7.43,7.77,7.73,7.19,6.97,6.7,6.48,5.6,5.87,6.3
4.94,5.76,3.26,3.39,3.55,3.61,3.85,3.8,3.68,3.44,3.42,3.27,3.78,3.53,3.56,3.78,3.93,3.97,3.99,3.99,4.06,4.28,4.09,3.88,3.57,4.2,4.24,3.75,3.87,4.51,4.22,3.95,4.27,4.75,4.78,4.94,4.68,5.66,5.96,6.01,6.52,6.24,5.89,7.07,7.19,6.8,7.33,6.95,7.68,7.23,7.43,7.77,7.73,7.19,6.97,6.7,6.48,5.6,5.87,6.3
5.03,5.25,3.26,3.39,3.55,3.61,3.85,3.8,3.68,3.44,3.42,3.27,3.78,3.53,3.56,3.78,3.93,3.97,3.99,3.99,4.06,4.28,4.09,3.88,3.57,4.2,4.24,3.75,3.87,4.51,4.22,3.95,4.27,4.75,4.78,4.94,4.68,5.66,5.96,6.01,6.52,6.24,5.89,7.07,7.19,6.8,7.33,6.95,7.68,7.23,7.43,7.77,7.73,7.19,6.97,6.7,6.48,5.6,5.87,6.3
34.79,35.48,36.29,33.33,32.55,35.38,34.85,33.99,34.61,37.48,39.47,42.43,45.58,45.91,48.16,47.23,46.04,45.33,46.86,51.57,55.84,66.75,75.86,71.79,78.91,79.46,85.01,97.73,98.94,88.34,95.69,100.75,92.82,90.24,84.91,86.81,96.44,98.21,99.86,87.76,90.28,89.15,82.16,82.66,83.82,84.93,85.06,82.93,84.91,84.16,81.68,70.22,56.3,54.6,54.32,52.77,51.71,53.26,53.36,58.24
59.44,59.15,58.75,60.21,57.2,56.97,55.46,58.73,62.81,64.05,65.52,67.53,68.91,70.79,72.82,70.38,68.37,70.53,75.5,96.42,115.89,123.35,142.08,133.79,130.56,121.24,130.83,137.55,145.37,147.04,139.01,142.13,148.05,152.31,156.88,156.44,162.9,159.4,183.61,184.25,186.19,182.26,157.63,146.44,141.89,141.05,141.93,150.41,147.46,140.82,127.98,119.31,105.9,95.93,98.36,101.92,98.21,96.54,100.34,108.59
