01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
5.48,5.1,52.77,50.4,51.94,52.61,52.97,55.12,50.61,50.81,51.95,53.43,56.1,59.45,63.12,67.18,70.68,72.74,71.06,70.29,68.2,76.79,85.61,78.93,83.73,87.82,89.86,95.11,97.74,92.52,91.67,97.21,97.73,94.53,96.53,97.32,102.73,103.11,113.05,112.86,123.77,130.28,128.21,119.46,105.06,104.65,109.2,107.57,101.39,96.41,97.68,94.22,88.71,81.24,78.58,72.96,59.91,59.02,69.93,74.94
8.07,8.3,52.77,50.4,51.94,52.61,52.97,55.12,50.61,50.81,51.95,53.43,56.1,59.45,63.12,67.18,70.68,72.74,71.06,70.29,68.2,76.79,85.61,78.93,83.73,87.82,89.86,95.11,97.74,92.52,91.67,97.21,97.73,94.53,96.53,97.32,102.73,103.11,113.05,112.86,123.77,130.28,128.21,119.46,105.06,104.65,109.2,107.57,101.39,96.41,97.68,94.22,88.71,81.24,78.58,72.96,59.91,59.02,69.93,74.94
2.55,2.55,2.58,2.59,2.66,2.63,2.65,2.65,2.66,2.53,2.68,2.71,2.64,2.68,2.76,3.12,3.27,3.59,3.46,3.56,4.85,5.33,5.47,5.29,5.23,5.07,5.14,5.16,5.03,4.85,4.6,4.53,4.46,4.39,4.42,4.24,4.06,4.1,4.25,4.43,4.4,4.31,4.27,4.33,4.33,4.42,4.56,4.85,5.06,5.02,5.01,4.95,4.94,4.86,4.89,5.04,5.25,5.49,5.66,6.25
1.98,1.82,1.81,1.83,1.92,1.96,1.92,1.92,2.04,2.03,2.04,2.01,2.0,2.0,2.09,2.12,2.13,2.12,2.15,2.26,2.43,2.45,2.56,2.69,2.81,2.87,2.94,3.09,3.35,3.42,3.85,3.59,3.68,3.96,4.16,4.1,4.19,4.21,4.39,4.43,4.41,4.28,4.14,4.05,4.06,3.98,4.04,4.13,4.04,4.1,4.09,4.05,4.09,4.27,4.32,4.32,4.34,4.35,4.45,4.55
1.5,1.5,1.81,1.83,1.92,1.96,1.92,1.92,2.04,2.03,2.04,2.01,2.0,2.0,2.09,2.12,2.13,2.12,2.15,2.26,2.43,2.45,2.56,2.69,2.81,2.87,2.94,3.09,3.35,3.42,3.85,3.59,3.68,3.96,4.16,4.1,4.19,4.21,4.39,4.43,4.41,4.28,4.14,4.05,4.06,3.98,4.04,4.13,4.04,4.1,4.09,4.05,4.09,4.27,4.32,4.32,4.34,4.35,4.45,4.55
2.44,2.28,1.81,1.83,1.92,1.96,1.92,1.92,2.04,2.03,2.04,2.01,2.0,2.0,2.09,2.12,2.13,2.12,2.15,2.26,2.43,2.45,2.56,2.69,2.81,2.87,2.94,3.09,3.35,3.42,3.85,3.59,3.68,3.96,4.16,4.1,4.19,4.21,4.39,4.43,4.41,4.28,4.14,4.05,4.06,3.98,4.04,4.13,4.04,4.1,4.09,4.05,4.09,4.27,4.32,4.32,4.34,4.35,4.45,4.55
1.48,2.15,1.81,1.83,1.92,1.96,1.92,1.92,2.04,2.03,2.04,2.01,2.0,2.0,2.09,2.12,2.13,2.12,2.15,2.26,2.43,2.45,2.56,2.69,2.81,2.87,2.94,3.09,3.35,3.42,3.85,3.59,3.68,3.96,4.16,4.1,4.19,4.21,4.39,4.43,4.41,4.28,4.14,4.05,4.06,3.98,4.04,4.13,4.04,4.1,4.09,4.05,4.09,4.27,4.32,4.32,4.34,4.35,4.45,4.55
1.29,1.15,1.81,1.83,1.92,1.96,1.92,1.92,2.04,2.03,2.04,2.01,2.0,2.0,2.09,2.12,2.13,2.12,2.15,2.26,2.43,2.45,2.56,2.69,2.81,2.87,2.94,3.09,3.35,3.42,3.85,3.59,3.68,3.96,4.16,4.1,4.19,4.21,4.39,4.43,4.41,4.28,4.14,4.05,4.06,3.98,4.04,4.13,4.04,4.1,4.09,4.05,4.09,4.27,4.32,4.32,4.34,4.35,4.45,4.55
3.96,3.91,3.96,3.91,3.92,3.93,3.89,3.79,3.99,3.65,3.63,3.82,3.81,3.8,3.74,4.18,4.0,4.15,4.05,3.99,3.78,3.69,3.72,3.71,3.89,3.83,3.97,4.15,4.15,4.38,4.57,5.21,5.83,6.29,6.89,7.61,7.93,8.04,7.98,8.15,8.22,8.11,8.02,7.78,7.71,7.64,7.62,7.5,7.59,7.65,7.72,7.48,7.5,7.45,7.34,7.28,7.26,7.26,7.22,7.17
5.44,5.12,5.02,5.07,5.1,5.33,5.46,5.43,6.05,6.05,6.11,6.8,6.95,6.8,6.57,5.7,5.69,6.12,6.12,6.16,6.8,7.93,8.21,8.64,8.35,8.15,8.09,8.13,8.24,8.6,8.64,9.84,10.98,10.78,10.73,10.74,9.91,10.53,10.16,9.95,9.93,10.12,10.14,11.0,10.79,11.48,11.37,11.14,11.67,11.09,10.43,9.83,10.0,9.62,8.69,8.11,9.1,9.29,7.22,7.17
