01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.42,2.34,87.75,94.86,97.47,94.35,91.97,92.98,92.11,91.34,90.98,96.92,97.69,107.92,115.47,133.03,123.71,121.36,117.28,110.14,106.23,104.35,114.09,119.42,120.85,139.42,137.46,139.39,132.61,136.55,144.5,150.64,150.83,142.0,139.66,127.38,127.52,136.68,164.9,169.2,165.36,172.3,177.3,180.14,186.7,188.4,190.94,183.61,181.81,182.25,212.74,227.64,238.88,245.68,236.53,214.88,181.89,183.23,181.02,184.83
11.2,11.47,87.75,94.86,97.47,94.35,91.97,92.98,92.11,91.34,90.98,96.92,97.69,107.92,115.47,133.03,123.71,121.36,117.28,110.14,106.23,104.35,114.09,119.42,120.85,139.42,137.46,139.39,132.61,136.55,144.5,150.64,150.83,142.0,139.66,127.38,127.52,136.68,164.9,169.2,165.36,172.3,177.3,180.14,186.7,188.4,190.94,183.61,181.81,182.25,212.74,227.64,238.88,245.68,236.53,214.88,181.89,183.23,181.02,184.83
43.64,41.33,41.17,42.59,41.97,41.73,41.88,41.62,42.13,38.77,38.56,39.23,38.66,37.98,38.75,37.86,38.12,38.12,38.12,41.74,43.07,49.19,46.79,58.34,60.67,57.68,56.24,55.94,56.46,58.13,58.61,59.84,60.19,58.52,53.64,55.02,54.68,51.35,50.1,51.3,51.55,51.24,51.54,51.21,49.73,51.0,48.55,47.31,47.87,47.49,48.87,47.93,47.3,47.49,49.26,49.57,49.3,55.74,60.54,60.96
26.05,25.99,25.05,24.16,25.62,26.86,26.46,26.82,26.85,26.6,26.86,26.8,26.53,29.04,28.47,32.33,33.31,37.75,36.82,39.98,39.08,44.61,45.7,45.32,48.62,48.49,47.82,47.51,46.66,46.33,45.55,44.43,43.44,40.2,35.93,34.42,32.98,34.42,34.91,36.95,37.88,38.26,38.99,38.24,38.11,37.08,38.94,41.48,42.48,43.97,43.01,44.55,44.47,43.56,44.01,43.04,44.71,44.7,45.65,50.45
57.84,58.63,61.24,61.5,62.07,61.9,62.93,62.64,62.66,59.8,59.26,57.59,62.63,62.54,63.81,75.16,78.2,71.9,75.9,74.9,69.23,82.99,82.62,86.91,84.92,88.99,86.51,88.92,89.88,98.43,106.51,108.5,109.01,101.43,98.33,104.01,109.07,109.72,111.2,114.06,118.35,115.06,111.03,117.81,113.47,106.27,102.97,99.73,97.28,96.19,98.37,92.19,105.71,114.6,113.62,109.12,105.25,107.68,110.29,110.24
96.55,97.7,102.06,102.5,103.44,103.16,104.85,104.54,104.53,99.66,98.76,96.41,104.93,106.94,106.77,128.23,130.33,119.83,126.5,124.84,115.38,138.32,137.48,144.86,141.54,148.31,144.73,148.2,149.81,164.05,177.52,180.84,181.68,169.04,162.92,173.34,181.59,182.87,185.34,190.1,197.25,191.75,185.04,196.35,189.12,177.11,171.61,166.22,161.57,160.32,163.96,153.66,176.18,191.0,189.37,181.87,175.84,179.88,183.8,183.67
1.37,1.5,102.06,102.5,103.44,103.16,104.85,104.54,104.53,99.66,98.76,96.41,104.93,106.94,106.77,128.23,130.33,119.83,126.5,124.84,115.38,138.32,137.48,144.86,141.54,148.31,144.73,148.2,149.81,164.05,177.52,180.84,181.68,169.04,162.92,173.34,181.59,182.87,185.34,190.1,197.25,191.75,185.04,196.35,189.12,177.11,171.61,166.22,161.57,160.32,163.96,153.66,176.18,191.0,189.37,181.87,175.84,179.88,183.8,183.67
1.21,1.97,102.06,102.5,103.44,103.16,104.85,104.54,104.53,99.66,98.76,96.41,104.93,106.94,106.77,128.23,130.33,119.83,126.5,124.84,115.38,138.32,137.48,144.86,141.54,148.31,144.73,148.2,149.81,164.05,177.52,180.84,181.68,169.04,162.92,173.34,181.59,182.87,185.34,190.1,197.25,191.75,185.04,196.35,189.12,177.11,171.61,166.22,161.57,160.32,163.96,153.66,176.18,191.0,189.37,181.87,175.84,179.88,183.8,183.67
3.02,4.75,102.06,102.5,103.44,103.16,104.85,104.54,104.53,99.66,98.76,96.41,104.93,106.94,106.77,128.23,130.33,119.83,126.5,124.84,115.38,138.32,137.48,144.86,141.54,148.31,144.73,148.2,149.81,164.05,177.52,180.84,181.68,169.04,162.92,173.34,181.59,182.87,185.34,190.1,197.25,191.75,185.04,196.35,189.12,177.11,171.61,166.22,161.57,160.32,163.96,153.66,176.18,191.0,189.37,181.87,175.84,179.88,183.8,183.67
2.07,2.01,102.06,102.5,103.44,103.16,104.85,104.54,104.53,99.66,98.76,96.41,104.93,106.94,106.77,128.23,130.33,119.83,126.5,124.84,115.38,138.32,137.48,144.86,141.54,148.31,144.73,148.2,149.81,164.05,177.52,180.84,181.68,169.04,162.92,173.34,181.59,182.87,185.34,190.1,197.25,191.75,185.04,196.35,189.12,177.11,171.61,166.22,161.57,160.32,163.96,153.66,176.18,191.0,189.37,181.87,175.84,179.88,183.8,183.67
