01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
70.31,68.57,69.49,69.25,71.66,76.07,81.53,78.78,76.98,78.14,82.75,83.69,86.38,84.38,87.63,102.25,112.58,11.93,11.32,107.34,115.14,134.94,136.74,131.47,129.65,129.17,131.34,130.76,129.97,130.62,123.84,119.38,115.84,116.53,111.1,105.31,100.72,96.09,102.63,107.17,105.47,99.51,97.67,95.66,98.76,102.71,103.16,107.01,107.64,115.66,124.7,126.59,129.63,131.17,133.87,138.0,150.34,162.81,169.55,168.52
58.81,59.2,60.15,56.48,53.9,55.19,55.55,54.19,52.77,54.1,60.48,63.76,65.81,68.2,69.49,77.54,94.35,11.93,11.32,80.7,72.75,77.7,80.7,77.73,76.48,77.16,86.7,84.08,81.2,82.7,83.49,89.3,93.25,98.11,105.03,109.65,110.09,110.56,107.85,106.23,108.14,103.71,98.92,100.56,101.32,102.21,102.16,105.27,103.84,102.55,101.34,97.94,99.83,97.41,95.41,94.83,93.54,96.08,99.69,99.82
174.61,176.86,181.14,176.24,167.35,166.03,164.23,169.91,162.6,162.83,159.28,160.22,150.94,157.97,161.82,183.62,207.8,11.93,11.32,189.8,189.8,197.8,197.8,178.23,164.67,176.99,217.8,216.8,201.07,207.53,190.52,205.55,217.25,241.3,249.55,273.96,272.88,273.42,265.31,290.71,298.37,311.25,322.37,301.31,319.5,302.34,301.13,273.27,294.6,279.01,297.37,291.7,284.76,269.45,264.7,274.17,267.37,279.2,281.9,296.08
102.84,96.31,104.69,109.05,116.65,117.21,122.03,111.77,103.79,114.56,126.53,118.89,128.41,114.57,117.27,113.22,97.02,11.93,11.32,189.8,122.22,197.8,98.84,140.76,138.09,136.5,143.82,134.24,135.47,138.68,141.08,161.28,173.56,179.14,180.56,168.72,161.35,154.04,155.59,157.05,170.76,161.56,176.61,168.42,176.63,169.53,164.62,177.24,180.5,177.01,167.09,144.83,141.06,137.21,134.21,135.03,144.5,154.44,281.9,296.08
37.45,38.04,37.9,33.6,36.42,35.18,36.75,34.1,31.14,34.03,35.7,36.94,37.76,37.81,37.87,40.5,44.2,11.93,11.32,42.25,42.25,47.5,38.9,46.96,44.86,46.33,59.9,41.27,48.57,50.28,47.27,49.02,48.94,48.83,47.82,46.42,46.15,46.42,46.72,46.68,44.79,50.89,56.49,57.34,55.44,53.32,61.63,65.05,70.99,70.65,69.35,67.29,71.78,72.9,69.33,70.94,70.21,70.6,66.28,65.9
29.93,27.2,26.9,26.92,29.02,29.14,33.64,28.92,29.08,27.24,30.58,29.07,30.53,28.39,27.81,34.5,34.5,11.93,11.32,29.9,35.9,29.9,31.0,32.63,33.48,32.99,37.9,36.25,35.1,37.56,37.34,35.95,36.24,37.63,35.84,36.47,36.3,36.18,40.14,49.37,56.34,54.18,57.36,54.22,51.48,52.95,56.21,54.08,55.84,55.61,55.97,55.33,51.18,44.82,41.52,45.98,41.21,40.22,42.8,39.4
138.52,227.63,225.25,190.68,174.33,137.03,133.38,122.28,112.43,120.14,144.23,180.68,162.36,152.9,150.5,196.92,205.2,11.93,11.32,239.7,179.7,197.7,197.7,181.23,194.25,194.65,206.7,212.7,193.2,192.08,188.23,187.58,186.83,180.94,176.05,158.26,163.5,177.14,199.87,202.19,217.9,236.17,237.34,221.1,209.53,196.48,194.71,221.76,230.98,226.73,235.02,247.23,248.5,217.62,183.45,184.04,157.99,146.15,150.99,162.68
161.67,229.3,231.92,220.79,192.4,160.16,149.04,152.31,147.56,140.51,148.07,156.54,155.39,152.5,153.32,157.84,202.5,11.93,11.32,224.7,209.7,217.5,245.7,204.41,216.43,224.57,227.7,230.6,226.35,230.09,219.21,213.38,213.88,202.99,203.58,190.08,187.3,210.48,214.59,227.87,229.2,218.54,207.16,197.93,197.07,194.95,200.43,206.75,219.98,225.66,229.74,241.55,234.57,215.54,216.53,216.4,214.76,202.32,205.72,247.28
36.37,38.67,39.2,38.63,38.86,35.94,36.73,36.4,36.0,35.32,38.17,37.05,38.49,37.8,40.43,48.0,202.5,11.93,11.32,54.0,44.7,41.7,50.1,47.18,42.3,52.95,56.7,59.4,55.65,54.83,60.56,64.77,62.37,65.62,64.84,62.87,64.22,63.81,62.02,74.99,75.38,83.68,76.03,92.57,86.65,81.2,69.42,73.3,76.47,80.38,76.17,98.73,78.44,87.56,79.43,216.4,214.76,202.32,205.72,247.28
36.37,38.67,39.2,38.63,38.86,35.94,36.73,36.4,36.0,35.32,38.17,37.15,38.49,37.8,40.43,48.0,202.5,11.93,11.32,54.0,44.7,41.7,50.1,47.18,42.3,52.95,56.7,59.4,55.65,54.83,60.56,64.77,62.37,65.62,64.93,62.87,64.2,63.81,62.02,74.99,75.78,83.68,76.03,92.57,86.65,81.2,69.42,73.3,75.61,80.0,76.17,98.73,78.44,87.56,76.0,68.23,93.51,70.22,65.97,68.43
