01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
65.0,65.0,67.86,68.0,63.22,80.0,80.0,80.0,78.0,80.0,80.0,80.0,77.57,76.0,76.0,78.55,87.14,90.0,90.0,89.5,102.82,110.93,112.75,112.41,112.36,111.25,113.35,115.82,118.38,118.91,118.09,116.0,115.0,112.62,110.0,110.0,113.06,107.51,109.78,108.31,106.13,109.18,107.56,108.7,107.05,105.25,105.72,107.5,127.19,128.23,139.13,147.5,150.0,140.82,139.2,133.67,129.99,131.24,135.88,139.92
52.5,57.9,61.64,69.0,66.13,65.7,65.7,59.15,86.4,86.4,86.4,80.0,77.57,76.0,76.5,77.26,78.46,83.22,80.5,79.98,75.86,79.31,82.37,81.57,82.21,85.42,89.02,91.7,90.98,97.31,96.79,97.5,111.07,114.17,120.07,129.3,133.58,133.99,132.0,129.86,127.5,130.91,136.43,136.5,134.32,133.5,128.73,127.05,131.11,129.15,126.37,125.58,124.89,133.82,129.71,130.34,132.7,134.85,135.16,133.1
162.61,156.0,156.0,166.0,160.43,154.0,150.63,158.8,159.6,143.87,134.47,140.0,149.3,154.0,163.0,154.73,145.71,132.69,131.95,138.0,134.36,129.82,130.45,143.18,140.36,145.8,144.6,141.61,154.7,173.09,179.55,186.77,196.83,199.7,209.0,223.23,210.75,219.84,274.93,274.4,276.95,280.81,277.95,276.25,279.05,283.15,276.29,273.96,293.7,280.93,276.97,270.7,270.0,278.73,274.0,239.82,237.14,245.38,246.86,263.33
284.63,284.63,284.63,284.63,292.88,292.88,297.18,298.38,298.38,298.38,304.27,306.63,342.8,317.63,310.75,316.38,337.6,345.13,352.0,393.25,415.75,445.75,514.25,536.25,495.0,495.0,508.75,508.75,508.75,508.75,508.75,508.75,514.38,522.5,522.5,522.5,522.5,576.78,591.25,591.25,591.25,591.25,591.25,591.25,591.25,591.25,591.25,591.25,529.38,529.38,529.38,529.38,537.5,548.98,488.1,467.15,465.5,245.38,246.86,263.33
106.0,106.0,114.57,127.0,130.48,131.0,130.5,125.5,119.69,117.4,119.69,128.05,140.57,149.8,129.0,129.18,124.19,117.68,120.48,121.4,133.29,144.35,151.3,159.76,160.57,160.6,159.1,159.44,156.7,151.12,157.64,176.54,204.77,212.97,206.5,195.24,188.48,177.41,171.72,177.03,181.73,187.39,196.6,216.62,228.26,227.95,222.39,215.44,218.37,210.71,202.63,184.55,179.92,155.45,154.75,139.78,135.23,245.38,246.86,263.33
65.0,65.0,60.24,60.0,70.87,80.0,86.3,105.23,92.5,88.26,58.33,53.75,45.65,47.5,57.5,80.45,105.48,123.13,107.28,77.5,65.0,58.18,62.5,60.87,56.67,68.75,75.0,69.59,64.75,63.64,56.93,53.83,53.64,47.62,55.63,64.13,69.38,75.0,79.13,81.19,103.75,109.55,95.83,103.48,114.55,121.25,158.33,171.74,156.25,105.83,92.32,89.38,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
4.93,4.8,4.8,4.8,4.8,4.2,4.2,4.2,3.8,3.8,3.8,3.8,4.4,4.4,4.4,4.4,5.54,6.3,6.4,6.4,6.07,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.82,5.8,5.8,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.98,6.0,6.0,6.0,6.0,6.0,10.0,10.0,10.65,11.75,12.0,12.0,12.25,10.15,10.47,11.87,11.58,12.0
4.93,4.8,2.5,1.98,1.98,4.2,4.2,4.2,3.8,3.8,2.0,1.57,2.23,2.7,4.4,2.3,2.07,2.28,2.7,6.4,2.61,2.63,2.07,1.98,2.24,2.69,3.14,3.47,3.29,2.9,3.24,3.19,3.18,3.57,4.0,4.08,4.23,4.38,4.0,4.0,3.99,3.93,4.95,5.0,5.15,5.28,5.04,4.64,3.98,3.98,4.12,3.68,3.52,3.16,3.32,10.15,10.47,11.87,11.58,12.0
4.93,4.8,2.5,1.98,1.98,4.2,4.2,4.2,3.8,3.8,2.0,1.61,2.23,2.7,4.4,2.3,2.07,2.28,2.7,6.4,2.61,2.63,2.06,1.98,2.24,2.69,3.14,3.47,3.27,2.9,3.24,3.18,3.18,3.57,4.0,4.08,4.23,4.36,4.0,4.0,3.98,3.93,4.95,5.0,5.15,5.28,5.04,4.64,3.98,3.98,4.12,3.68,3.52,3.16,3.34,3.14,2.99,2.87,2.49,2.49
41.32,43.8,44.25,45.6,1.98,4.2,48.0,48.0,48.46,46.85,46.8,47.45,48.52,51.9,58.77,59.4,60.64,2.28,2.7,64.8,65.12,70.0,66.0,67.04,69.0,2.69,3.14,3.47,3.27,2.9,3.24,3.18,3.18,3.57,4.0,4.08,4.23,4.36,4.0,4.0,3.98,3.93,4.95,5.0,5.15,5.28,5.04,4.64,3.98,3.98,4.12,3.68,3.52,3.16,3.34,3.14,2.99,2.87,2.49,2.49
