01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
4.44,4.23,44.25,45.6,1.98,4.2,48.0,48.0,48.46,46.85,46.8,47.45,48.52,51.9,58.77,59.4,60.64,2.28,2.7,64.8,65.12,70.0,66.0,67.04,69.0,2.69,3.14,3.47,3.27,2.9,3.24,3.18,3.18,3.57,4.0,4.08,4.23,4.36,4.0,4.0,3.98,3.93,4.95,5.0,5.15,5.28,5.04,4.64,3.98,3.98,4.12,3.68,3.52,3.16,3.34,3.14,2.99,2.87,2.49,2.49
8.5,8.5,44.25,45.6,1.98,4.2,48.0,48.0,48.46,46.85,46.8,47.45,48.52,51.9,58.77,59.4,60.64,2.28,2.7,64.8,65.12,70.0,66.0,67.04,69.0,2.69,3.14,3.47,3.27,2.9,3.24,3.18,3.18,3.57,4.0,4.08,4.23,4.36,4.0,4.0,3.98,3.93,4.95,5.0,5.15,5.28,5.04,4.64,3.98,3.98,4.12,3.68,3.52,3.16,3.34,3.14,2.99,2.87,2.49,2.49
75.87,76.77,73.29,70.05,73.1,78.6,76.15,69.57,75.98,77.93,75.93,74.7,76.2,75.0,81.15,87.0,90.33,94.5,98.41,98.7,124.23,141.9,141.9,152.56,150.51,153.68,155.74,150.27,145.88,134.78,128.78,128.18,129.49,129.43,118.76,117.67,116.35,108.81,118.65,121.5,120.9,120.38,118.65,119.45,121.34,111.6,111.11,122.45,123.6,120.98,131.17,125.7,129.0,126.68,129.06,153.75,162.64,155.43,153.28,170.24
57.13,55.9,56.27,55.35,55.5,59.18,60.07,59.45,60.98,60.72,60.41,61.2,61.7,59.4,60.75,67.8,67.8,67.8,67.02,66.6,66.6,66.6,68.1,78.26,82.69,84.6,84.73,85.69,87.83,88.5,95.05,97.5,103.54,107.83,118.01,120.6,122.03,120.9,120.67,117.17,118.58,114.48,122.27,119.41,120.95,116.05,116.57,115.88,115.8,116.76,117.14,117.3,118.5,118.84,119.35,124.76,123.24,123.66,124.98,129.24
1.25,1.25,56.27,55.35,55.5,59.18,60.07,59.45,60.98,60.72,60.41,61.2,61.7,59.4,60.75,67.8,67.8,67.8,67.02,66.6,66.6,66.6,68.1,78.26,82.69,84.6,84.73,85.69,87.83,88.5,95.05,97.5,103.54,107.83,118.01,120.6,122.03,120.9,120.67,117.17,118.58,114.48,122.27,119.41,120.95,116.05,116.57,115.88,115.8,116.76,117.14,117.3,118.5,118.84,119.35,124.76,123.24,123.66,124.98,129.24
1.75,1.75,56.27,55.35,55.5,59.18,60.07,59.45,60.98,60.72,60.41,61.2,61.7,59.4,60.75,67.8,67.8,67.8,67.02,66.6,66.6,66.6,68.1,78.26,82.69,84.6,84.73,85.69,87.83,88.5,95.05,97.5,103.54,107.83,118.01,120.6,122.03,120.9,120.67,117.17,118.58,114.48,122.27,119.41,120.95,116.05,116.57,115.88,115.8,116.76,117.14,117.3,118.5,118.84,119.35,124.76,123.24,123.66,124.98,129.24
1.78,1.79,56.27,55.35,55.5,59.18,60.07,59.45,60.98,60.72,60.41,61.2,61.7,59.4,60.75,67.8,67.8,67.8,67.02,66.6,66.6,66.6,68.1,78.26,82.69,84.6,84.73,85.69,87.83,88.5,95.05,97.5,103.54,107.83,118.01,120.6,122.03,120.9,120.67,117.17,118.58,114.48,122.27,119.41,120.95,116.05,116.57,115.88,115.8,116.76,117.14,117.3,118.5,118.84,119.35,124.76,123.24,123.66,124.98,129.24
1.91,2.0,56.27,55.35,55.5,59.18,60.07,59.45,60.98,60.72,60.41,61.2,61.7,59.4,60.75,67.8,67.8,67.8,67.02,66.6,66.6,66.6,68.1,78.26,82.69,84.6,84.73,85.69,87.83,88.5,95.05,97.5,103.54,107.83,118.01,120.6,122.03,120.9,120.67,117.17,118.58,114.48,122.27,119.41,120.95,116.05,116.57,115.88,115.8,116.76,117.14,117.3,118.5,118.84,119.35,124.76,123.24,123.66,124.98,129.24
13.34,12.3,12.5,12.58,12.58,12.58,15.33,16.0,14.15,13.53,12.74,11.79,11.79,17.15,17.15,19.84,19.84,19.84,17.5,19.7,20.0,20.07,19.16,20.05,21.4,23.36,25.25,25.68,29.64,31.73,31.9,32.76,33.41,33.78,32.74,32.43,32.44,31.43,32.61,34.09,35.58,34.74,35.45,36.59,36.45,36.0,35.79,36.92,37.04,32.76,29.84,28.9,24.45,23.78,23.74,23.17,22.45,21.71,21.37,19.9
9.57,9.95,10.67,10.96,10.96,10.96,14.26,15.18,13.61,13.09,13.94,14.96,14.96,17.15,18.32,21.29,21.29,21.29,18.71,18.32,20.86,21.43,24.62,29.68,30.75,30.11,24.84,23.51,22.55,28.5,29.9,30.92,32.99,33.02,32.56,33.43,33.95,34.3,30.17,30.9,33.6,34.38,35.26,37.77,37.5,40.16,32.4,29.79,29.7,31.11,30.28,29.15,30.19,28.41,24.15,36.1,33.52,30.21,31.79,33.9
