01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
4.81,4.49,46.37,46.75,46.51,46.81,47.83,48.93,50.6,43.32,41.26,44.62,46.01,50.77,53.05,56.01,60.87,64.26,69.68,71.77,71.55,75.78,82.72,75.3,80.16,85.41,86.03,86.59,90.54,86.92,86.63,88.95,89.22,88.65,89.45,93.73,92.19,96.94,108.58,110.03,119.88,124.75,124.36,111.64,103.15,106.08,98.94,93.31,87.78,87.47,87.33,85.38,77.61,75.8,76.69,76.89,69.11,59.72,67.99,71.88
8.45,9.0,46.37,46.75,46.51,46.81,47.83,48.93,50.6,43.32,41.26,44.62,46.01,50.77,53.05,56.01,60.87,64.26,69.68,71.77,71.55,75.78,82.72,75.3,80.16,85.41,86.03,86.59,90.54,86.92,86.63,88.95,89.22,88.65,89.45,93.73,92.19,96.94,108.58,110.03,119.88,124.75,124.36,111.64,103.15,106.08,98.94,93.31,87.78,87.47,87.33,85.38,77.61,75.8,76.69,76.89,69.11,59.72,67.99,71.88
2.28,2.28,2.22,2.21,2.36,2.33,2.45,2.34,2.41,2.44,2.42,2.52,2.44,2.54,2.54,2.69,60.87,64.26,69.68,71.77,71.55,4.69,4.83,4.66,4.7,4.71,4.59,4.28,4.63,4.05,4.07,4.16,4.1,4.61,3.84,3.67,3.93,3.94,3.67,3.8,3.63,3.8,3.65,3.7,3.7,3.91,3.7,4.27,4.39,4.41,4.3,4.39,4.36,4.01,4.24,4.21,4.38,4.78,4.93,5.38
1.89,1.88,1.81,1.75,1.85,1.84,1.85,1.91,1.96,1.97,1.96,1.94,1.95,1.92,1.9,2.11,2.06,64.26,69.68,71.77,71.55,2.22,2.32,2.75,2.59,2.58,2.49,2.66,2.69,2.84,3.71,3.67,3.62,3.94,3.94,4.05,4.16,4.11,3.72,3.8,3.89,3.63,3.68,3.54,3.56,3.62,3.45,3.4,3.43,3.68,3.81,3.57,3.7,3.8,4.02,3.84,3.85,3.75,3.88,3.84
1.17,1.17,1.81,1.75,1.85,1.84,1.85,1.91,1.96,1.97,1.96,1.94,1.95,1.92,1.9,2.11,2.06,64.26,69.68,71.77,71.55,2.22,2.32,2.75,2.59,2.58,2.49,2.66,2.69,2.84,3.71,3.67,3.62,3.94,3.94,4.05,4.16,4.11,3.72,3.8,3.89,3.63,3.68,3.54,3.56,3.62,3.45,3.4,3.43,3.68,3.81,3.57,3.7,3.8,4.02,3.84,3.85,3.75,3.88,3.84
1.53,1.68,1.81,1.75,1.85,1.84,1.85,1.91,1.96,1.97,1.96,1.94,1.95,1.92,1.9,2.11,2.06,64.26,69.68,71.77,71.55,2.22,2.32,2.75,2.59,2.58,2.49,2.66,2.69,2.84,3.71,3.67,3.62,3.94,3.94,4.05,4.16,4.11,3.72,3.8,3.89,3.63,3.68,3.54,3.56,3.62,3.45,3.4,3.43,3.68,3.81,3.57,3.7,3.8,4.02,3.84,3.85,3.75,3.88,3.84
1.44,1.78,1.81,1.75,1.85,1.84,1.85,1.91,1.96,1.97,1.96,1.94,1.95,1.92,1.9,2.11,2.06,64.26,69.68,71.77,71.55,2.22,2.32,2.75,2.59,2.58,2.49,2.66,2.69,2.84,3.71,3.67,3.62,3.94,3.94,4.05,4.16,4.11,3.72,3.8,3.89,3.63,3.68,3.54,3.56,3.62,3.45,3.4,3.43,3.68,3.81,3.57,3.7,3.8,4.02,3.84,3.85,3.75,3.88,3.84
1.3,1.17,1.81,1.75,1.85,1.84,1.85,1.91,1.96,1.97,1.96,1.94,1.95,1.92,1.9,2.11,2.06,64.26,69.68,71.77,71.55,2.22,2.32,2.75,2.59,2.58,2.49,2.66,2.69,2.84,3.71,3.67,3.62,3.94,3.94,4.05,4.16,4.11,3.72,3.8,3.89,3.63,3.68,3.54,3.56,3.62,3.45,3.4,3.43,3.68,3.81,3.57,3.7,3.8,4.02,3.84,3.85,3.75,3.88,3.84
155.5,147.83,150.41,145.79,144.37,146.62,143.63,145.06,141.61,145.22,143.69,139.71,145.81,137.42,136.72,151.25,157.3,64.26,69.68,71.77,71.55,159.96,153.97,158.57,156.04,161.07,154.9,164.23,176.62,161.93,185.89,225.39,239.44,253.56,273.0,289.72,301.03,301.45,303.43,309.82,325.01,320.7,312.27,314.12,304.45,313.96,304.84,292.85,305.04,303.36,301.85,285.9,283.85,278.15,265.55,250.07,251.17,252.7,256.96,265.62
6.17,6.23,6.54,6.54,6.92,7.15,7.15,7.27,7.92,8.16,8.13,7.87,7.37,7.37,136.72,6.8,7.34,7.34,7.54,7.54,8.56,10.25,9.9,9.7,9.7,9.7,9.73,9.94,10.77,10.77,11.18,11.18,13.18,12.68,12.68,289.72,11.56,10.95,13.17,11.97,9.9,9.98,9.98,9.98,10.89,11.3,7.48,11.98,9.98,10.9,15.98,9.98,10.85,7.98,13.45,12.5,11.4,12.45,13.55,14.25
