01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
26.74,26.47,26.32,25.45,25.53,26.73,26.98,26.02,26.08,25.9,25.72,25.86,26.17,26.28,28.81,28.97,30.34,32.61,33.43,34.81,46.27,46.43,47.04,47.17,45.57,44.94,44.43,45.23,43.97,43.0,42.4,41.6,41.79,42.25,42.08,40.48,40.34,39.71,43.01,41.75,39.66,41.29,41.92,39.9,41.58,40.73,40.72,43.59,45.26,46.46,45.61,46.78,45.97,47.33,46.82,48.02,48.56,50.09,53.14,54.61
23.56,24.03,24.05,23.4,23.71,24.49,24.36,23.83,24.41,24.34,24.62,24.75,24.32,24.99,25.54,26.62,28.44,31.05,31.68,33.51,44.53,43.73,46.01,45.86,44.15,42.63,41.65,40.25,39.88,39.97,37.61,37.94,37.14,38.02,37.73,37.83,37.49,36.69,38.6,38.92,38.3,39.98,39.42,37.27,37.14,37.47,38.32,40.93,42.65,43.38,43.58,43.41,43.35,44.17,42.49,42.31,44.94,45.44,48.25,51.75
56.22,58.76,58.76,57.99,58.89,58.21,58.16,57.13,59.43,55.99,56.22,56.93,59.52,62.7,63.81,67.04,67.25,67.31,66.47,69.16,72.52,75.41,76.48,79.83,80.66,81.79,84.62,85.69,89.4,96.76,98.61,102.29,105.71,108.79,111.19,115.63,118.05,117.11,118.5,118.45,118.75,118.73,120.02,118.41,117.75,114.27,111.5,110.11,112.01,109.8,108.27,107.12,120.8,122.81,121.37,118.42,118.21,120.49,117.65,120.07
78.58,76.76,76.08,76.27,77.56,75.89,75.64,74.66,75.41,74.62,74.4,74.07,73.72,73.2,75.74,73.49,73.69,72.92,73.05,72.62,73.12,73.34,75.18,76.24,76.46,76.03,78.67,77.04,79.12,81.52,89.94,96.51,108.95,113.49,115.72,128.75,135.58,137.51,137.25,141.96,153.16,149.91,151.41,149.89,146.72,148.75,148.13,148.91,143.11,148.99,144.69,145.15,142.63,142.32,140.9,137.93,140.69,138.6,135.52,136.86
6.28,6.07,6.13,6.23,6.83,7.1,7.09,6.75,6.76,6.68,6.54,6.99,7.36,7.4,6.87,7.28,6.92,6.89,6.78,7.27,7.53,7.69,8.2,8.4,8.94,8.71,8.65,8.55,8.84,9.09,9.14,9.83,10.6,10.55,10.8,10.97,10.68,11.0,10.91,10.77,11.16,11.1,11.08,10.91,10.84,11.07,10.92,10.92,11.63,11.04,10.82,10.66,10.68,10.23,9.95,8.99,9.43,9.34,135.52,136.86
27.6,27.41,26.87,25.87,25.19,26.29,27.04,24.45,24.89,24.66,23.85,24.57,26.43,27.97,29.23,28.55,29.5,29.53,28.82,29.28,28.8,30.09,32.33,32.73,33.06,32.46,33.27,34.14,32.64,32.01,34.49,32.76,33.83,34.14,35.27,38.58,42.31,42.15,44.4,46.09,45.29,44.55,45.01,48.06,51.28,52.32,53.89,61.01,63.26,63.47,67.47,69.89,67.64,67.88,67.66,67.11,63.7,65.3,63.42,64.08
26.52,37.98,41.65,39.22,36.36,36.59,33.16,31.78,31.47,34.31,37.51,40.83,44.6,46.64,47.32,59.08,61.13,62.95,61.69,59.83,56.73,57.05,59.8,60.32,61.58,62.1,65.45,67.35,71.95,74.4,73.4,70.82,68.28,68.74,69.96,76.35,70.2,67.19,67.41,67.39,67.2,65.29,64.78,66.17,62.42,61.59,60.23,59.57,60.03,58.83,59.77,61.53,60.82,62.3,62.82,62.31,61.78,62.54,61.03,62.08
49.76,74.84,79.84,71.01,52.19,46.56,39.79,38.78,37.62,38.76,49.44,55.4,51.26,46.82,49.4,65.58,69.45,71.34,60.68,56.27,60.14,59.08,59.33,62.44,61.54,62.77,62.1,62.53,62.47,61.66,63.33,64.23,64.91,65.75,63.51,63.0,66.04,67.42,73.05,76.15,85.93,89.38,88.74,82.84,80.75,79.05,75.89,80.87,85.0,85.42,87.42,94.15,91.15,84.74,73.5,65.71,63.97,61.4,60.06,69.07
49.76,56.32,68.93,59.65,50.54,44.25,39.79,38.78,37.62,38.76,49.44,55.4,51.26,46.82,49.4,65.58,69.45,71.34,60.68,56.27,60.14,59.08,59.33,62.44,61.54,62.77,62.1,62.53,62.47,61.66,63.33,64.23,64.91,65.75,63.51,63.0,66.04,67.42,73.05,76.15,85.93,89.38,88.74,82.84,80.75,79.05,75.89,80.87,85.0,85.42,87.42,94.15,91.15,84.74,73.5,65.71,63.97,61.4,60.06,69.07
44.6,61.0,69.6,62.43,57.9,49.46,48.57,46.89,46.24,46.71,45.3,46.34,45.42,43.49,46.39,52.53,62.19,65.18,65.07,65.14,65.89,65.8,67.29,69.11,74.16,73.84,76.56,79.71,78.99,77.24,76.9,74.47,74.42,73.81,73.65,74.19,70.57,71.5,81.95,82.29,78.98,76.52,72.19,67.02,65.43,65.42,65.16,66.57,71.41,72.65,76.81,77.57,76.51,75.27,72.64,74.03,74.57,74.32,74.88,78.42
29.8,61.0,69.6,62.43,57.9,49.46,48.57,46.89,46.24,46.71,45.3,46.34,45.42,43.49,46.39,52.53,62.19,65.18,65.07,65.14,65.89,65.8,67.29,69.11,74.16,73.84,76.56,79.71,78.99,77.24,76.9,74.47,74.42,73.81,73.65,74.19,70.57,71.5,81.95,82.29,78.98,76.52,72.19,67.02,65.43,65.42,65.16,66.57,71.41,72.65,76.81,77.57,76.51,75.27,72.64,74.03,74.57,74.32,74.88,78.42
29.8,19.3,19.35,19.21,19.4,20.18,19.45,19.1,18.93,18.46,18.86,18.73,19.24,18.76,20.16,19.07,19.37,19.55,20.1,20.07,20.36,19.7,21.89,23.17,21.98,21.78,21.9,22.67,25.04,27.75,27.44,28.55,29.81,30.18,30.59,31.32,31.08,31.02,30.99,32.08,32.95,34.67,33.68,31.25,33.38,31.25,31.78,31.89,31.24,30.38,30.65,32.07,31.81,33.2,33.35,32.09,33.33,31.78,32.21,31.6
8.45,7.89,7.8,7.92,7.85,7.78,7.76,7.76,7.91,7.76,7.92,8.06,8.06,8.14,8.17,9.11,9.35,9.65,9.43,9.82,10.28,10.7,10.9,10.74,10.72,10.62,10.36,10.64,10.6,11.31,11.3,11.2,11.26,11.44,11.52,11.38,11.28,11.03,11.41,11.56,12.71,13.31,13.33,15.26,15.67,14.96,14.71,13.19,14.28,14.48,13.99,14.28,13.96,14.27,13.83,13.13,13.2,12.64,12.44,12.25
61.64,62.48,62.24,64.56,63.17,65.19,63.67,62.54,63.12,63.05,62.62,61.65,65.71,65.27,66.84,66.87,69.1,65.26,64.78,63.09,67.14,68.49,65.11,65.48,63.51,63.32,66.89,69.82,74.32,70.68,71.82,70.4,68.07,72.08,72.83,72.27,76.51,79.46,76.16,79.12,81.62,86.1,89.36,96.55,97.5,95.16,98.3,98.09,94.19,92.51,91.54,93.01,96.43,97.91,94.31,95.41,95.52,93.86,95.62,95.19
43.65,43.5,44.95,47.25,47.24,43.0,42.12,41.74,41.65,41.2,40.9,45.63,52.78,53.38,51.06,54.11,54.95,53.07,51.09,57.24,61.55,59.27,67.25,65.7,73.5,73.25,75.48,88.82,93.0,90.05,94.95,98.5,104.86,87.62,84.73,85.57,88.86,91.0,95.65,94.67,93.05,88.14,94.24,93.87,92.55,86.75,80.18,80.68,84.77,83.5,87.61,90.0,84.3,68.45,69.76,72.39,71.19,68.41,70.14,80.91
65.14,65.17,63.8,63.78,63.87,62.57,61.89,63.5,69.03,73.75,73.61,74.77,78.84,79.61,80.18,83.81,83.97,84.3,83.95,102.13,128.44,145.07,153.18,154.14,144.62,128.65,141.34,147.97,151.0,154.48,149.91,153.31,156.75,158.01,164.87,166.21,164.96,167.86,199.21,208.56,210.31,201.49,176.83,154.11,150.72,158.48,163.43,170.28,169.1,153.56,153.45,148.42,125.65,113.36,116.05,121.82,123.5,121.58,119.63,126.88
