01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
5.41,6.21,63.8,63.78,63.87,62.57,61.89,63.5,69.03,73.75,73.61,74.77,78.84,79.61,80.18,83.81,83.97,84.3,83.95,102.13,128.44,145.07,153.18,154.14,144.62,128.65,141.34,147.97,151.0,154.48,149.91,153.31,156.75,158.01,164.87,166.21,164.96,167.86,199.21,208.56,210.31,201.49,176.83,154.11,150.72,158.48,163.43,170.28,169.1,153.56,153.45,148.42,125.65,113.36,116.05,121.82,123.5,121.58,119.63,126.88
13.19,13.52,63.8,63.78,63.87,62.57,61.89,63.5,69.03,73.75,73.61,74.77,78.84,79.61,80.18,83.81,83.97,84.3,83.95,102.13,128.44,145.07,153.18,154.14,144.62,128.65,141.34,147.97,151.0,154.48,149.91,153.31,156.75,158.01,164.87,166.21,164.96,167.86,199.21,208.56,210.31,201.49,176.83,154.11,150.72,158.48,163.43,170.28,169.1,153.56,153.45,148.42,125.65,113.36,116.05,121.82,123.5,121.58,119.63,126.88
89.06,82.98,79.68,80.31,81.72,86.82,86.82,81.78,85.86,78.76,74.02,81.38,78.84,86.22,90.0,81.67,90.45,106.3,100.25,109.92,116.67,165.45,161.67,142.49,145.33,137.7,138.33,143.78,138.78,127.52,128.57,129.18,131.24,129.97,122.84,116.57,116.34,117.93,120.47,121.53,121.1,122.25,122.21,125.33,123.62,123.85,125.42,134.35,130.45,132.97,135.3,138.4,133.78,136.87,136.7,141.29,150.91,153.55,154.6,166.87
82.74,82.74,81.88,82.12,88.66,92.46,95.82,83.94,89.72,81.97,81.32,85.56,89.06,90.24,95.34,97.28,111.56,108.52,108.28,118.72,133.7,170.4,163.96,140.72,133.53,131.79,127.77,127.39,129.61,129.43,122.14,118.78,116.98,118.07,109.91,109.73,105.65,103.04,112.03,110.93,113.6,112.0,114.05,113.93,111.4,114.94,116.61,127.07,130.1,129.53,128.55,130.13,125.02,128.16,127.04,136.41,140.77,144.13,147.92,165.14
50.94,49.5,51.42,50.82,51.84,52.32,52.5,52.58,50.46,52.34,51.66,53.49,53.31,54.99,55.62,57.24,61.16,64.88,67.1,67.34,65.94,64.14,66.54,79.78,79.0,78.99,80.48,81.89,91.25,93.53,94.37,93.77,97.15,104.77,111.11,115.46,116.13,127.17,120.41,114.19,113.02,122.14,121.67,122.2,123.31,116.83,110.86,115.5,110.35,113.02,113.75,114.23,111.92,113.29,114.82,116.22,111.02,115.57,115.11,117.3
68.89,68.12,67.38,68.35,68.96,62.31,59.67,60.19,61.04,64.92,65.43,70.29,74.37,78.57,78.5,77.34,74.72,76.27,77.39,81.01,86.58,93.25,105.59,110.23,79.0,78.99,80.48,81.89,91.25,93.53,94.37,93.77,97.15,104.77,111.11,115.46,116.13,127.17,120.41,114.19,113.02,122.14,121.67,122.2,123.31,116.83,110.86,115.5,110.35,113.02,113.75,114.23,111.92,113.29,114.82,116.22,111.02,115.57,115.11,117.3
1.52,1.42,67.38,68.35,68.96,62.31,59.67,60.19,61.04,64.92,65.43,70.29,74.37,78.57,78.5,77.34,74.72,76.27,77.39,81.01,86.58,93.25,105.59,110.23,79.0,78.99,80.48,81.89,91.25,93.53,94.37,93.77,97.15,104.77,111.11,115.46,116.13,127.17,120.41,114.19,113.02,122.14,121.67,122.2,123.31,116.83,110.86,115.5,110.35,113.02,113.75,114.23,111.92,113.29,114.82,116.22,111.02,115.57,115.11,117.3
2.21,2.2,67.38,68.35,68.96,62.31,59.67,60.19,61.04,64.92,65.43,70.29,74.37,78.57,78.5,77.34,74.72,76.27,77.39,81.01,86.58,93.25,105.59,110.23,79.0,78.99,80.48,81.89,91.25,93.53,94.37,93.77,97.15,104.77,111.11,115.46,116.13,127.17,120.41,114.19,113.02,122.14,121.67,122.2,123.31,116.83,110.86,115.5,110.35,113.02,113.75,114.23,111.92,113.29,114.82,116.22,111.02,115.57,115.11,117.3
2.19,3.17,67.38,68.35,68.96,62.31,59.67,60.19,61.04,64.92,65.43,70.29,74.37,78.57,78.5,77.34,74.72,76.27,77.39,81.01,86.58,93.25,105.59,110.23,79.0,78.99,80.48,81.89,91.25,93.53,94.37,93.77,97.15,104.77,111.11,115.46,116.13,127.17,120.41,114.19,113.02,122.14,121.67,122.2,123.31,116.83,110.86,115.5,110.35,113.02,113.75,114.23,111.92,113.29,114.82,116.22,111.02,115.57,115.11,117.3
1.8,1.91,67.38,68.35,68.96,62.31,59.67,60.19,61.04,64.92,65.43,70.29,74.37,78.57,78.5,77.34,74.72,76.27,77.39,81.01,86.58,93.25,105.59,110.23,79.0,78.99,80.48,81.89,91.25,93.53,94.37,93.77,97.15,104.77,111.11,115.46,116.13,127.17,120.41,114.19,113.02,122.14,121.67,122.2,123.31,116.83,110.86,115.5,110.35,113.02,113.75,114.23,111.92,113.29,114.82,116.22,111.02,115.57,115.11,117.3
