01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.5,2.5,103.45,104.95,101.12,108.88,95.02,104.37,97.25,95.55,98.95,101.96,106.1,113.47,113.38,115.9,124.2,125.77,126.82,111.29,92.8,107.48,114.99,120.16,114.7,127.68,143.88,159.64,159.41,133.49,139.48,153.84,157.77,157.46,143.87,148.12,129.79,145.53,167.25,172.81,171.77,170.47,177.41,179.85,179.94,181.94,178.35,174.15,166.4,183.94,201.17,208.2,214.69,217.46,210.94,174.02,167.83,172.43,168.42,170.2
80.79,81.89,81.32,81.67,82.96,81.17,76.4,78.42,81.49,83.81,81.93,87.09,87.71,85.2,85.57,90.6,124.2,99.2,98.51,105.52,136.11,148.75,155.01,158.23,151.81,152.02,139.94,134.28,138.75,131.32,128.45,126.39,128.0,128.89,129.0,117.89,116.51,118.3,127.46,126.08,130.34,129.61,128.53,130.05,132.56,130.89,141.14,144.07,147.24,155.85,151.09,152.5,163.93,163.07,158.33,162.83,166.0,176.63,181.07,194.26
58.84,59.69,60.28,59.48,59.41,58.75,58.92,61.2,64.68,64.49,67.16,67.18,63.62,61.27,62.03,71.95,124.2,64.63,69.83,66.19,68.36,70.87,74.08,77.52,80.48,81.8,82.91,84.58,88.6,93.35,94.53,100.34,104.77,110.92,111.64,116.27,116.22,120.41,122.89,121.6,123.51,121.8,121.72,119.75,113.62,107.68,112.86,116.41,117.25,116.06,116.38,118.73,122.11,119.71,116.06,109.78,108.83,111.72,117.79,129.15
1.94,2.02,60.28,59.48,59.41,58.75,58.92,61.2,64.68,64.49,67.16,67.18,63.62,61.27,62.03,71.95,124.2,64.63,69.83,66.19,68.36,70.87,74.08,77.52,80.48,81.8,82.91,84.58,88.6,93.35,94.53,100.34,104.77,110.92,111.64,116.27,116.22,120.41,122.89,121.6,123.51,121.8,121.72,119.75,113.62,107.68,112.86,116.41,117.25,116.06,116.38,118.73,122.11,119.71,116.06,109.78,108.83,111.72,117.79,129.15
76.43,77.3,76.5,77.47,74.92,73.84,71.66,69.23,73.88,71.1,71.8,66.84,69.31,69.67,70.25,68.42,124.2,72.4,74.13,74.44,72.47,74.3,74.28,72.2,70.19,75.34,77.52,75.64,78.92,83.3,89.39,93.6,98.67,97.93,95.85,102.1,104.22,96.96,81.94,79.84,81.39,80.15,77.76,82.28,81.0,78.93,80.23,79.14,78.9,81.01,81.03,79.9,75.6,76.14,78.48,77.56,77.98,72.53,114.92,140.26
7.93,7.73,8.0,9.05,9.05,9.0,9.0,9.0,9.0,9.0,10.55,14.0,14.0,14.75,15.0,68.42,124.2,12.9,13.0,13.0,13.0,13.0,14.8,15.0,15.0,15.0,15.0,15.0,15.5,17.47,17.8,17.8,17.83,18.08,18.45,19.99,19.76,18.45,17.52,17.62,17.83,17.5,17.29,16.83,16.5,16.5,16.5,16.5,16.52,16.5,16.5,17.0,16.26,15.5,15.55,15.38,14.69,12.5,114.92,140.26
34.75,36.56,40.09,38.42,34.77,32.35,31.5,30.47,29.99,27.0,26.63,27.06,28.32,29.72,30.4,30.25,124.2,29.85,29.45,29.05,30.58,30.76,30.61,32.03,32.11,31.85,33.24,33.26,36.41,36.02,36.66,36.64,36.43,35.3,34.96,37.55,37.63,40.08,42.1,43.88,44.38,50.39,54.36,54.0,56.45,54.67,60.93,61.32,60.9,69.86,71.64,73.65,73.23,70.51,68.9,68.27,68.57,63.52,63.41,65.24
31.27,31.56,30.84,31.61,30.57,31.28,31.93,32.65,29.71,28.19,29.28,31.43,31.91,33.09,34.22,33.42,124.2,35.13,36.36,39.08,37.73,38.15,38.53,37.4,37.96,38.01,39.94,40.92,43.16,42.06,41.64,41.44,41.62,44.76,45.99,45.06,42.53,44.57,49.45,50.87,51.51,53.51,54.56,59.4,60.5,60.15,61.29,60.31,59.87,58.92,59.37,59.65,58.1,55.73,57.1,56.0,55.9,62.59,57.25,53.38
85.25,88.07,86.78,88.91,99.81,100.45,95.97,94.81,93.6,94.53,95.55,116.36,116.72,129.18,137.15,167.95,124.2,175.8,171.29,179.7,37.73,168.67,170.36,175.38,178.84,181.13,181.48,183.78,199.93,204.07,196.13,194.44,196.35,196.41,196.46,196.52,196.48,188.66,179.46,180.4,189.19,200.57,202.2,191.44,192.33,196.24,197.29,199.2,200.23,214.95,227.11,232.2,253.25,254.95,252.75,211.95,205.1,205.15,205.15,205.15
140.27,207.85,203.87,192.18,184.49,171.74,139.76,137.26,139.25,135.75,141.67,162.75,155.89,147.8,148.13,170.62,124.2,218.47,181.8,166.18,177.84,191.36,189.84,190.61,189.62,188.99,192.45,199.16,193.03,193.09,190.88,196.61,197.59,205.09,207.49,196.4,195.35,200.81,201.05,203.9,240.9,258.75,260.64,240.91,233.8,235.39,229.23,224.72,226.35,233.8,248.25,262.93,269.59,259.21,251.1,225.74,214.72,212.03,201.17,206.12
