01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.56,2.16,1.68,1.65,1.5,1.45,1.52,1.55,1.62,1.79,1.65,1.59,1.35,1.13,1.11,0.96,0.55,32.0,32.0,32.0,1.3,1.35,1.34,1.2,1.74,1.35,0.9,32.0,32.0,1.3,1.32,1.84,1.69,1.75,1.7,1.96,2.12,2.58,1.97,40.0,40.0,40.0,40.0,40.7,2.08,1.74,1.89,1.87,1.9,2.16,43.5,43.5,2.4,2.81,2.66,2.89,2.74,3.15,3.27,3.59
37.29,34.28,38.75,40.1,41.52,1.45,44.79,43.75,46.87,47.5,46.35,45.83,43.04,42.71,43.37,45.65,45.83,32.0,32.0,32.0,83.33,81.44,76.04,71.82,62.5,64.06,70.99,32.0,32.0,1.3,72.91,1.84,69.84,63.79,65.71,60.8,48.9,50.79,59.54,72.91,69.46,66.0,40.0,40.7,2.08,1.74,77.08,77.86,78.48,78.49,77.26,76.68,69.79,2.81,2.66,2.89,93.5,95.77,105.44,104.75
296.09,286.25,275.0,270.63,429.62,471.88,505.44,525.0,493.75,544.57,545.24,568.75,530.71,496.88,478.98,490.34,500.0,525.0,684.78,620.24,690.91,665.91,600.0,683.7,604.76,506.25,449.0,401.14,382.92,472.5,551.14,516.88,525.0,514.58,478.13,468.48,465.63,450.0,478.34,513.69,553.13,643.19,711.91,737.5,750.0,800.0,860.53,828.41,758.34,775.0,796.74,837.5,982.61,1137.5,1131.25,1250.0,1202.38,1050.0,977.27,986.91
55.91,69.46,87.34,88.44,92.92,98.44,101.42,86.59,91.25,80.0,69.35,60.0,64.77,71.88,74.43,124.72,134.35,135.63,143.81,137.38,134.32,113.52,66.88,53.48,72.14,82.82,119.89,121.25,112.5,111.59,119.55,106.88,107.28,112.09,105.0,97.6,98.75,88.81,85.0,95.11,99.17,111.93,159.53,172.5,155.42,150.0,164.65,159.16,166.11,172.22,132.9,145.42,183.19,212.27,205.42,188.12,180.0,172.5,181.52,192.7
1.35,1.64,1.52,1.33,1.49,1.49,1.7,1.25,1.07,0.88,0.93,0.96,0.99,1.0,1.58,1.81,2.15,2.39,2.08,1.43,1.05,0.79,0.76,1.16,1.14,1.11,1.13,1.08,1.83,2.1,2.8,2.16,1.93,1.83,1.76,1.97,2.12,2.15,2.12,2.24,1.94,1.83,2.72,2.73,2.36,2.94,3.11,2.65,2.54,2.81,3.12,3.09,2.79,2.49,2.38,2.44,2.36,2.28,2.14,2.01
166.71,167.29,165.96,167.37,168.15,169.11,168.53,167.4,163.88,166.44,169.05,198.99,196.96,186.91,196.78,207.89,202.73,225.33,238.58,251.91,254.73,261.67,282.06,311.88,302.45,306.46,291.98,295.95,301.68,309.04,302.07,300.0,298.33,287.43,283.43,289.87,302.14,299.88,299.36,298.52,297.81,299.53,300.81,297.72,294.22,294.65,290.75,289.38,282.46,281.77,282.81,286.91,280.92,263.54,250.89,2.44,2.36,2.28,2.14,2.01
71.85,70.64,75.25,81.49,83.33,81.1,81.1,81.1,81.19,81.19,81.19,76.36,79.13,82.29,85.04,93.7,93.54,100.96,94.73,100.52,100.63,105.73,105.46,110.47,113.02,117.18,119.69,129.91,128.62,138.03,135.71,136.04,133.49,145.53,153.66,157.35,156.78,143.11,134.91,144.22,157.52,146.15,148.58,146.64,131.11,141.65,141.71,141.71,148.36,154.39,149.03,155.24,161.16,159.53,167.74,159.46,155.03,157.66,155.9,157.0
14.95,14.5,16.32,14.94,15.15,14.38,16.0,15.66,16.38,16.2,15.53,16.51,15.79,15.5,15.78,15.83,15.88,16.38,17.63,19.5,20.39,20.55,21.0,21.83,21.0,117.18,21.0,21.02,21.17,21.39,21.96,21.34,21.89,22.22,21.82,23.91,22.82,22.95,23.63,23.89,23.88,23.55,23.62,24.64,25.0,24.42,24.27,25.0,25.25,27.0,25.72,25.75,25.48,23.82,22.5,24.24,25.03,24.0,26.19,25.53
3.12,3.5,16.32,14.94,15.15,14.38,3.3,15.66,16.38,16.2,15.53,16.51,15.79,15.5,15.78,15.83,15.88,16.38,17.63,19.5,20.39,20.55,4.16,3.63,3.27,117.18,21.0,21.02,21.17,21.39,21.96,21.34,21.89,22.22,21.82,4.0,4.25,4.32,23.63,23.89,23.88,23.55,23.62,24.64,25.0,24.42,24.27,25.0,25.25,27.0,25.72,25.75,25.48,23.82,5.13,5.74,25.03,24.0,26.19,25.53
0.86,0.77,0.82,0.78,0.62,0.54,0.63,0.6,0.58,0.63,0.75,0.68,0.69,1.0,1.06,1.01,1.15,1.1,1.14,1.2,1.28,1.46,1.43,1.43,1.35,1.3,1.2,1.07,0.99,1.0,1.07,1.1,1.12,1.08,1.1,1.33,1.18,1.13,0.96,1.1,1.25,1.35,1.45,1.32,1.0,1.2,1.48,1.48,1.53,1.68,1.6,1.62,1.45,1.24,0.96,1.0,1.13,1.3,26.19,25.53
0.9,0.93,1.0,0.95,0.95,0.84,0.7,0.52,0.5,0.55,0.75,0.63,0.7,0.73,0.7,0.61,0.4,0.42,0.55,0.61,0.68,0.78,0.8,0.8,1.35,0.73,0.79,0.87,0.87,0.78,0.65,0.6,0.69,0.72,0.7,0.75,0.93,0.8,0.86,1.25,1.2,1.2,1.15,1.31,1.5,1.2,1.4,1.38,1.47,1.58,1.57,1.43,1.24,1.05,0.86,0.8,0.82,0.8,26.19,25.53
75.0,75.63,80.66,86.88,80.98,73.75,74.13,75.4,73.75,73.04,68.63,73.75,77.72,80.63,69.43,81.33,81.97,80.23,88.48,97.98,89.09,94.66,92.5,83.37,88.64,99.07,98.26,126.73,140.0,140.68,120.12,112.5,120.79,127.03,128.75,151.22,144.38,138.49,177.45,185.24,170.63,169.09,177.38,169.03,154.32,178.13,174.85,169.38,183.33,219.44,243.04,227.5,230.44,214.21,191.88,207.39,196.19,183.75,184.32,192.38
75.0,75.63,80.66,86.88,80.98,73.75,74.13,75.4,73.75,156.23,160.97,162.87,77.72,80.63,69.43,81.33,81.97,80.23,88.48,342.73,303.64,300.0,300.0,83.37,88.64,99.07,98.26,126.73,140.0,140.68,120.12,250.0,250.0,127.03,128.75,340.0,346.5,330.0,337.5,185.24,170.63,169.09,177.38,475.0,497.73,450.0,174.85,169.38,183.33,219.44,243.04,227.5,230.44,214.21,191.88,207.39,265.36,287.88,298.7,192.38
3.92,3.83,4.09,4.63,4.45,4.19,4.07,3.41,3.64,4.2,4.15,4.62,4.65,4.23,4.57,4.16,4.56,4.4,4.64,5.24,5.56,5.46,5.48,5.49,5.5,4.56,5.03,5.59,5.78,6.77,7.25,7.61,7.29,6.58,6.33,6.43,346.5,4.93,5.78,7.09,7.1,6.98,7.35,7.71,7.47,7.7,7.58,6.98,6.25,6.02,6.45,6.05,6.54,6.77,6.95,207.39,265.36,287.88,298.7,192.38
238.73,258.5,250.18,285.0,266.61,284.2,293.93,262.42,240.0,213.33,215.81,242.67,280.82,305.0,260.0,275.56,324.69,353.62,342.84,266.03,224.4,220.0,232.5,246.52,249.05,259.6,276.86,255.52,256.31,278.87,288.48,283.15,248.3,193.9,237.12,211.74,217.05,247.89,242.46,236.56,244.25,258.82,272.69,254.71,236.88,264.8,286.94,281.33,303.31,347.28,475.23,476.04,457.6,487.52,444.95,356.9,352.89,378.14,389.97,413.28
238.73,258.5,250.18,152.5,143.11,121.98,123.7,117.27,127.5,155.55,153.28,175.0,200.0,200.0,190.0,188.38,164.53,150.0,166.96,151.37,135.23,114.66,104.38,126.63,255.72,230.0,210.0,185.0,156.88,140.91,140.0,141.25,122.33,120.0,127.5,151.93,217.5,295.71,270.54,151.25,101.67,113.07,120.6,143.75,160.63,173.75,194.21,209.36,246.11,350.93,285.44,260.0,248.4,264.55,255.0,232.61,301.11,342.92,397.04,462.54
1.02,0.9,1.1,1.23,1.24,1.23,123.7,1.3,1.23,1.2,1.25,1.28,1.17,1.08,1.12,1.1,0.96,1.05,1.36,1.67,1.9,1.99,2.0,1.97,1.85,1.85,1.81,1.92,1.91,1.97,1.9,1.9,1.99,2.24,2.17,2.06,1.94,1.63,1.87,1.99,2.0,2.09,2.48,2.64,2.53,2.46,2.5,2.44,2.53,2.67,2.5,2.39,2.41,2.28,2.2,2.14,2.14,2.32,2.25,2.23
2.06,1.9,1.92,1.83,1.73,1.56,1.48,1.47,1.69,2.03,1.87,1.92,2.07,2.5,2.56,2.29,1.37,1.12,1.61,1.84,1.96,1.94,1.96,2.06,2.65,2.34,2.35,2.26,2.12,1.98,2.09,1.9,1.68,1.83,1.88,2.28,2.34,2.81,2.28,2.46,2.55,2.68,2.59,2.73,3.21,3.42,3.72,3.52,3.69,3.85,3.9,4.13,4.17,4.03,4.15,4.29,4.15,4.01,4.28,4.47
9.5,10.08,12.0,12.0,1.73,10.0,10.0,10.0,10.0,10.92,10.92,8.25,7.25,7.57,8.06,8.0,9.0,9.0,9.0,9.0,9.13,10.48,10.57,10.55,10.73,12.25,13.43,13.0,2.12,1.98,2.09,15.0,15.0,15.5,15.69,17.16,17.5,17.5,16.44,2.46,2.55,2.68,2.59,2.73,3.21,15.55,15.88,15.04,15.07,15.52,15.57,4.13,4.17,4.03,4.15,4.29,4.15,11.94,13.46,15.76
9.5,10.08,12.0,12.0,1.73,10.0,10.0,10.0,10.0,40.0,40.25,43.75,7.25,7.57,8.06,8.0,9.0,9.0,9.0,9.0,60.0,60.0,62.5,65.0,10.73,12.25,13.43,13.0,2.12,1.98,2.09,15.0,15.0,15.5,75.0,76.09,84.63,86.89,90.87,93.87,2.55,2.68,2.59,2.73,3.21,72.94,75.48,77.39,81.75,89.32,15.57,4.13,4.17,4.03,4.15,4.29,4.15,57.25,65.86,77.14
87.57,99.75,113.25,115.36,114.0,102.5,97.13,103.0,105.0,103.26,100.0,107.32,104.96,104.25,125.0,132.89,137.14,122.5,120.0,110.0,107.05,108.41,106.67,114.13,120.0,125.0,136.39,132.73,126.67,131.39,133.41,132.5,140.0,138.64,130.24,112.0,119.17,139.29,145.0,165.0,150.0,150.0,150.0,2.73,173.75,176.25,171.58,163.88,152.5,163.89,183.7,186.25,203.26,184.09,181.25,179.13,166.43,157.5,146.59,144.17
3.0,3.3,3.85,115.36,114.0,2.67,2.67,103.0,105.0,103.26,100.0,107.32,104.96,104.25,125.0,132.89,137.14,122.5,120.0,110.0,107.05,108.41,106.67,114.13,1.26,1.8,2.07,2.25,126.67,131.39,133.41,132.5,4.76,4.71,4.8,112.0,119.17,1.53,145.0,165.0,150.0,150.0,150.0,2.73,173.75,176.25,171.58,163.88,152.5,163.89,183.7,186.25,203.26,184.09,181.25,179.13,166.43,157.5,146.59,144.17
187.39,187.0,194.76,215.45,247.17,240.0,207.83,181.59,190.0,133.91,125.24,215.91,231.52,212.5,177.05,229.44,233.33,240.0,197.5,182.5,205.0,368.64,331.25,333.48,337.5,272.5,292.39,350.0,373.33,405.45,418.18,400.0,414.74,420.0,412.5,411.11,426.56,436.84,740.87,550.0,463.64,500.0,541.67,519.57,584.09,687.5,800.0,777.27,787.5,966.67,1000.0,875.0,800.0,777.27,670.0,728.26,819.05,693.75,740.91,741.67
187.39,8.0,8.25,8.0,5.96,5.02,5.4,5.65,5.87,5.83,6.0,6.18,6.45,7.06,7.04,7.02,7.0,7.0,7.37,8.29,8.59,8.96,9.33,10.01,11.03,11.2,10.78,9.63,9.33,9.33,8.48,8.63,9.33,9.33,9.45,8.94,8.4,8.4,8.4,7.9,7.7,7.74,8.24,8.4,8.4,8.7,9.29,9.95,10.11,10.42,10.34,10.26,9.8,10.01,10.03,9.81,9.53,10.26,740.91,741.67
