01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.79,1.66,1.89,1.89,1.89,1.94,1.6,1.53,1.53,1.64,1.8,1.92,2.27,2.26,2.21,2.08,1.77,1.69,1.65,1.69,1.67,1.7,1.85,1.76,1.79,1.8,1.9,1.86,1.88,1.8,2.39,2.76,2.8,2.55,2.5,2.71,2.7,2.7,2.7,2.72,2.5,2.6,2.86,2.9,3.07,3.53,3.78,3.83,3.81,3.75,3.75,3.9,4.0,4.25,4.02,3.94,4.27,4.25,4.51,4.23
1.79,1.3,1.3,1.25,2.0,2.0,2.15,1.53,1.53,1.64,1.8,1.92,2.27,2.26,2.21,2.08,1.77,1.5,1.0,1.0,1.0,1.7,1.85,1.76,1.79,1.8,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.55,1.55,2.7,1.55,1.62,1.62,1.6,1.6,1.6,3.07,3.53,3.78,3.83,1.5,1.25,1.25,1.19,1.12,1.06,1.04,1.02,4.27,4.25,4.51,1.5
4.09,5.17,4.5,5.19,5.69,5.88,5.81,6.0,6.0,5.88,5.5,5.98,5.73,6.13,6.08,6.31,6.5,6.5,5.5,5.5,1.0,1.7,1.85,1.76,1.79,1.8,1.75,1.75,8.0,8.0,8.0,7.5,7.5,7.5,1.75,10.0,10.0,2.7,9.13,8.9,8.84,8.84,8.84,8.84,9.54,9.38,9.38,9.71,9.21,8.88,8.67,8.67,8.33,8.25,8.0,7.96,10.0,4.25,4.51,6.0
2.11,1.83,1.47,1.45,1.29,1.2,1.29,6.0,6.0,5.88,5.5,5.98,2.36,2.04,1.39,1.12,1.1,1.25,1.0,5.5,1.0,1.7,1.85,1.76,1.79,3.23,3.23,3.49,3.51,3.5,3.5,7.5,7.5,7.5,1.75,2.53,2.5,2.42,2.27,2.09,2.09,2.09,2.05,8.84,9.54,9.38,9.38,5.0,3.43,2.86,2.38,2.2,2.15,2.08,2.08,2.08,2.85,3.44,3.47,3.22
2.6,1.83,1.47,2.8,1.91,1.76,1.67,1.83,2.13,2.44,2.67,3.08,3.26,2.96,2.54,2.6,2.65,2.51,2.72,3.02,2.7,2.55,2.61,2.81,2.79,2.85,2.9,2.9,2.9,3.48,3.54,7.5,7.5,7.5,1.75,3.51,3.54,3.55,3.55,3.92,5.0,4.95,4.85,4.85,4.58,4.18,3.9,4.51,4.5,4.93,5.0,5.0,4.82,4.9,4.95,5.0,5.19,5.0,5.0,4.29
2.4,2.5,2.5,2.5,2.5,2.4,1.67,1.83,2.13,2.44,2.55,2.4,2.6,2.6,2.6,2.6,2.35,2.23,2.3,3.02,2.7,2.55,2.61,2.26,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.6,2.6,2.6,2.6,2.6,2.6,3.55,2.6,2.6,2.75,2.6,2.5,2.3,2.3,2.3,2.3,2.5,1.0,1.0,1.2,1.5,1.2,1.2,1.5,1.55,2.5,4.0,4.0,3.8
2.31,2.31,2.22,2.22,2.48,2.48,2.3,2.3,2.22,2.3,2.34,2.45,2.38,2.3,2.6,2.6,2.35,2.23,2.3,3.02,2.7,2.55,2.61,2.5,2.5,2.5,2.5,2.3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.81,4.02,3.55,4.02,3.97,2.4,2.6,2.5,2.3,11.71,11.71,12.02,12.02,10.9,10.9,10.9,10.9,10.9,10.85,10.85,14.5,14.5,14.5,14.5,14.36
2.31,0.5,0.5,0.45,0.41,0.53,0.49,0.46,0.45,2.3,2.34,0.4,0.6,0.4,0.4,0.4,0.44,0.45,0.45,0.45,2.7,2.55,2.61,2.5,2.5,1.25,1.3,1.3,1.3,1.3,0.85,0.5,0.5,2.5,2.5,0.5,0.5,1.53,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,12.02,12.02,10.9,10.9,10.9,1.2,1.17,1.0,1.0,1.0,1.48,1.5,1.5,5.75
300.0,0.5,0.5,0.45,202.5,200.0,207.83,235.0,222.38,220.0,2.34,0.4,262.33,261.75,0.4,0.4,0.44,220.0,237.17,260.0,2.7,2.55,2.61,2.5,2.5,1.25,1.3,1.3,1.3,330.0,330.0,330.0,435.0,470.0,470.0,470.0,470.0,470.0,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,12.02,700.0,700.0,700.0,700.0,700.0,703.26,724.33,730.25,735.0,741.33,747.05,749.32,714.29
300.0,0.5,0.5,0.45,2.6,2.05,1.37,0.98,1.0,1.23,1.44,1.5,1.56,261.75,0.4,0.4,0.44,220.0,237.17,1.0,1.05,1.49,1.68,2.05,2.32,2.4,1.3,1.3,1.3,330.0,1.58,1.6,1.22,1.0,1.0,1.0,470.0,470.0,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,12.02,700.0,700.0,700.0,700.0,700.0,703.26,724.33,730.25,735.0,1.85,2.55,3.17,3.01
125.43,195.98,273.23,295.89,315.62,2.05,1.37,0.98,1.0,1.23,1.44,200.0,163.97,165.64,137.48,106.32,109.49,100.0,237.17,1.0,1.05,1.49,111.67,136.58,139.4,139.4,139.4,139.4,1.3,330.0,1.58,1.6,1.22,1.0,1.0,300.0,310.8,319.32,320.19,316.62,317.28,317.28,1.6,1.6,1.6,1.6,12.02,171.59,180.72,180.72,180.72,174.58,174.35,173.55,173.55,172.53,172.72,173.21,173.52,187.21
2.88,3.28,3.94,3.19,2.59,2.48,2.94,3.0,2.62,2.21,2.4,2.67,2.44,3.19,3.5,3.57,3.52,3.88,3.85,3.69,3.26,3.03,2.94,3.03,3.53,3.56,3.64,139.4,1.3,3.98,4.31,3.65,2.89,2.66,4.88,5.72,5.63,3.48,4.67,4.8,4.6,4.16,4.93,5.08,4.5,3.95,3.83,2.74,3.24,4.9,4.38,4.75,4.58,3.6,3.26,3.0,3.72,5.89,5.96,5.42
105.22,107.0,110.0,110.0,101.3,100.0,98.96,90.18,90.0,97.72,97.86,90.0,93.47,100.0,100.0,100.0,100.0,100.0,134.78,140.0,148.18,150.0,145.0,148.26,150.95,154.5,156.74,150.91,157.5,180.0,180.0,180.0,180.0,182.38,185.0,185.0,185.0,185.0,185.0,185.0,185.0,188.41,182.86,170.0,160.91,3.95,3.83,2.74,3.24,4.9,4.38,4.75,4.58,3.6,3.26,3.0,3.72,5.89,5.96,200.0
176.32,182.2,184.57,185.5,191.09,215.0,214.24,196.14,193.0,192.37,203.57,199.67,149.67,140.25,175.23,190.23,204.76,240.5,282.39,273.75,273.41,282.73,281.25,283.48,270.48,271.25,265.0,250.0,245.0,230.0,216.36,220.0,250.0,247.62,243.33,250.0,235.0,190.0,190.0,204.29,220.0,220.0,203.33,190.0,190.0,193.75,241.14,368.18,392.5,400.0,406.96,400.0,412.78,423.0,426.0,428.3,428.74,431.64,437.35,349.43
20.0,20.0,184.57,185.5,191.09,215.0,214.24,196.14,193.0,22.0,21.24,21.13,21.59,21.5,175.23,190.23,204.76,240.5,282.39,273.75,273.41,282.73,19.0,19.0,19.0,19.0,19.0,250.0,245.0,230.0,216.36,220.0,250.0,247.62,20.0,22.5,22.5,22.5,22.5,204.29,220.0,220.0,203.33,190.0,190.0,193.75,38.0,38.0,38.0,38.0,38.0,38.5,39.22,41.5,42.5,43.61,43.53,44.14,45.5,45.5
3.55,3.77,3.54,2.86,2.31,2.02,2.44,2.72,2.62,2.34,2.57,2.75,2.44,3.07,3.23,3.39,2.58,2.49,2.78,2.01,2.32,3.39,4.14,4.44,4.66,4.88,3.97,4.63,4.33,3.2,3.92,3.17,3.1,2.13,5.12,5.94,5.0,2.6,3.76,4.35,4.61,5.02,5.6,5.28,4.63,4.53,4.74,2.86,3.58,4.5,4.23,4.45,4.33,3.66,2.5,2.59,5.97,6.87,6.79,6.37
2.9,2.6,2.6,2.68,2.75,2.75,2.75,2.72,2.62,2.34,2.57,2.75,2.4,2.85,2.91,2.98,2.98,3.01,3.03,2.01,2.32,3.39,4.14,4.44,4.66,4.88,3.0,3.0,3.08,3.1,3.1,3.1,2.9,2.13,5.12,5.94,3.45,3.45,3.45,3.57,3.71,3.71,5.6,3.71,3.7,3.7,3.7,4.2,4.79,4.75,4.9,4.9,4.9,4.9,4.9,2.59,5.97,6.87,6.79,5.8
1.4,1.31,1.3,1.3,1.37,1.4,1.4,1.4,1.48,1.5,1.5,1.5,1.39,1.4,1.4,1.4,1.4,1.4,1.49,1.59,1.95,2.0,2.0,2.0,2.0,2.2,2.04,2.0,2.0,2.0,2.0,2.1,2.3,2.62,4.0,4.0,4.0,4.0,3.8,3.5,3.53,3.6,3.7,3.85,3.78,4.05,4.0,4.0,3.6,3.5,3.5,3.5,3.57,4.0,4.95,4.81,4.8,4.8,4.8,4.94
1.4,1.31,0.92,0.91,0.69,0.73,0.75,0.8,0.8,0.85,0.6,0.6,0.64,0.6,0.8,2.3,2.3,2.28,2.27,2.29,2.29,0.58,2.0,2.0,2.0,2.2,2.04,2.0,2.0,2.0,2.0,2.1,2.3,2.62,4.0,4.0,4.0,4.0,3.8,3.5,3.53,3.6,3.7,0.8,0.8,0.8,0.8,0.8,3.6,3.5,3.5,1.52,1.46,1.37,1.31,1.23,1.28,1.38,1.38,1.41
104.74,104.5,108.86,116.27,122.52,126.0,118.98,110.29,116.18,120.37,123.94,118.44,115.32,111.0,114.25,145.35,159.62,148.8,147.91,164.97,162.49,164.13,157.5,157.62,159.64,160.75,146.52,136.36,135.75,143.27,147.23,155.5,162.14,164.19,166.33,168.63,166.76,168.32,177.7,194.24,206.18,207.45,207.14,211.74,212.27,205.0,225.0,221.14,210.63,213.5,221.09,230.0,232.66,235.0,230.61,231.65,234.48,236.36,238.86,237.33
104.74,104.5,4.73,3.81,3.24,3.11,3.92,3.95,3.3,2.75,2.95,118.44,115.32,111.0,3.18,5.1,5.43,5.58,6.8,4.31,4.14,4.84,5.43,157.62,159.64,160.75,146.52,136.36,135.75,7.8,9.26,8.88,4.06,2.82,4.75,168.63,166.76,168.32,177.7,8.51,7.96,7.31,7.54,7.28,6.38,5.45,6.77,221.14,210.63,213.5,10.89,13.01,12.85,8.53,5.38,5.42,8.27,11.38,11.64,237.33
2.25,3.17,3.2,3.25,2.66,2.63,2.76,2.44,2.28,2.4,2.38,2.4,1.96,2.4,2.46,2.28,2.0,2.1,2.3,2.35,2.56,2.51,2.41,2.4,2.4,2.4,2.4,2.47,2.5,2.5,2.5,2.5,2.5,2.57,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.88,3.5,3.51,3.55,4.1,4.1,4.08,4.05,3.3,3.3,3.3,3.3,3.3,5.42,8.27,11.38,11.64,237.33
1.94,2.42,2.42,2.45,2.26,2.13,2.33,1.75,1.58,1.8,1.76,1.8,1.82,1.8,2.01,1.76,1.7,1.79,2.0,2.05,2.32,1.99,1.8,1.8,1.81,1.85,1.85,1.88,2.13,2.2,2.2,2.2,2.2,2.45,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,3.5,3.51,3.55,4.1,4.1,4.08,4.05,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.21
1.7,2.53,2.6,2.55,2.2,2.29,2.52,1.77,1.45,1.22,1.32,1.27,1.44,1.2,1.69,1.58,1.5,1.65,1.65,1.73,1.86,1.7,1.53,1.52,1.5,1.5,1.5,1.57,2.03,2.25,2.25,2.25,2.25,2.25,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.58,2.6,2.6,2.6,4.1,4.1,4.08,4.05,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,3.21
