01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
58.96,54.0,54.0,67.04,1175.0,1075.0,1156.52,1109.09,1080.95,1221.74,1200.0,1200.0,1200.0,55.5,66.0,66.0,42.99,42.99,47.0,1500.0,1027.27,1131.82,925.0,900.0,81.6,70.0,70.0,320.67,2.32,1240.91,1700.0,1925.0,2200.0,1997.62,1933.33,35.0,85.0,85.0,85.0,85.0,85.0,1531.58,1471.43,1491.3,1713.64,1575.0,1518.18,1541.67,83.13,85.0,85.0,85.0,2000.0,1977.27,2050.0,2204.35,2295.24,2325.0,2300.0,73.13
97.96,93.51,94.79,97.28,100.19,89.25,86.36,83.05,80.05,84.87,90.65,91.18,88.93,96.06,97.73,100.61,97.57,96.36,94.82,100.4,107.86,111.21,123.86,129.75,146.32,161.54,169.32,167.79,173.4,169.11,169.79,172.19,171.65,174.97,186.8,194.64,200.88,207.71,211.06,219.5,227.06,212.93,175.43,186.54,183.49,156.19,139.09,156.2,166.05,157.5,157.5,157.5,157.5,157.5,134.76,132.5,132.25,130.18,130.43,130.28
7.73,7.93,8.86,9.25,11.06,12.67,12.36,12.84,11.75,12.24,13.0,13.5,13.02,13.0,97.73,100.61,97.57,96.36,94.82,14.25,14.5,14.7,15.0,13.95,14.95,16.25,17.0,167.79,173.4,169.11,169.79,11.5,11.5,12.69,13.5,13.61,14.15,14.5,15.39,16.0,227.06,212.93,175.43,13.0,13.45,14.0,14.07,14.61,15.05,15.56,15.0,15.0,157.5,157.5,134.76,14.41,14.94,14.6,14.32,14.45
146.67,140.65,140.1,156.0,157.43,153.75,151.26,148.45,158.5,162.48,171.19,170.25,175.91,197.4,193.94,200.76,175.7,150.38,146.47,173.25,197.14,200.55,211.0,218.48,235.21,236.36,248.77,226.02,206.44,186.89,184.11,200.5,209.43,218.45,213.5,210.7,214.13,205.92,193.74,177.33,174.5,172.07,179.1,174.78,175.8,177.25,190.77,191.14,198.0,200.83,213.52,213.25,211.15,217.81,227.46,248.26,268.68,271.67,291.59,305.48
45.0,140.65,140.1,156.0,157.43,153.75,151.26,148.45,158.5,162.48,171.19,170.25,175.91,197.4,193.94,200.76,175.7,150.38,146.47,173.25,197.14,200.55,211.0,218.48,235.21,236.36,248.77,226.02,206.44,186.89,184.11,200.5,209.43,218.45,213.5,210.7,214.13,205.92,193.74,177.33,174.5,172.07,179.1,174.78,175.8,177.25,190.77,191.14,198.0,200.83,213.52,213.25,211.15,217.81,227.46,248.26,268.68,271.67,291.59,305.48
35.89,35.81,38.32,37.31,38.33,33.31,25.74,29.81,32.06,30.15,25.33,38.0,45.58,47.74,49.4,42.65,30.29,28.16,25.89,23.25,28.73,24.41,36.5,46.38,52.46,56.28,46.43,45.6,32.5,26.0,21.91,33.5,39.5,40.57,40.55,54.7,64.5,61.0,49.96,43.81,37.0,37.18,46.14,50.91,68.82,66.25,77.0,79.73,64.13,72.0,59.91,54.5,52.0,55.18,61.5,64.52,57.33,56.53,70.73,81.1
116.07,154.0,205.0,163.33,131.94,158.75,116.92,125.23,88.75,91.5,63.24,67.5,98.33,82.5,113.18,160.0,172.14,165.0,93.26,85.0,79.32,127.27,166.44,148.79,178.33,125.0,98.04,83.86,90.48,59.55,62.05,115.0,112.06,125.0,125.68,113.06,127.5,225.71,227.14,210.0,185.0,126.84,122.14,100.0,145.45,157.5,140.45,158.18,191.25,140.83,147.39,170.0,115.0,180.0,152.5,121.74,91.43,140.0,151.82,202.62
0.75,0.82,1.35,1.25,1.57,1.68,1.74,1.66,1.18,0.76,0.53,67.5,0.38,0.38,0.38,0.93,1.01,0.97,1.47,1.53,1.25,1.11,1.74,1.36,0.65,0.66,1.07,1.55,1.66,1.46,1.24,1.11,1.66,1.94,1.92,1.91,1.79,2.79,2.86,2.72,2.91,3.19,3.05,3.41,3.08,3.11,3.2,3.11,3.23,3.44,4.11,4.0,4.0,3.89,3.83,4.05,4.32,3.48,3.66,3.28
156.23,153.09,152.59,158.73,158.41,152.54,154.98,156.86,160.82,164.4,176.83,196.7,191.62,192.15,194.25,190.49,193.24,203.22,220.97,240.82,265.87,254.42,271.71,262.62,269.37,283.75,286.34,289.55,294.84,298.75,299.73,298.3,296.83,282.65,287.65,315.19,317.34,306.58,301.21,294.03,282.02,276.48,282.66,279.13,275.81,275.03,275.64,283.63,280.43,260.99,256.08,258.69,239.54,221.97,217.22,209.52,203.85,217.43,216.72,214.39
2.1,2.11,2.16,2.36,2.3,2.43,2.6,2.51,2.5,2.39,2.41,2.42,2.3,2.55,2.61,2.29,2.2,2.2,2.13,2.1,2.35,2.18,2.2,2.2,2.8,3.26,3.26,3.84,3.9,3.9,3.88,3.86,3.9,3.84,3.81,4.16,4.44,4.18,4.43,4.12,4.1,4.1,4.1,4.13,4.18,3.97,3.9,3.5,3.43,3.32,3.29,3.3,3.3,3.16,3.15,2.94,2.94,2.91,2.93,3.01
