01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2139.13,2750.0,3.7,3.43,2.73,3.18,3.88,3.99,1733.33,1800.0,1878.13,2500.0,2500.0,4.18,4.22,3.99,3.69,3.75,4.01,4.2,4.24,5.0,5.08,5.0,5.0,5.03,4.48,3.43,2.93,3.15,3.0,3.52,3.79,3.95,4.0,4.0,4.58,5.42,5.62,6.31,4.93,3.68,4.0,4.51,6.42,6.81,6.45,5.27,5.63,6.0,6.89,6.5,5.15,4.61,5.25,5.5,5.86,6.38,6.84,6.62
2139.13,2750.0,3.7,3.43,2.73,3.18,3.88,3.99,1733.33,1800.0,1878.13,3.0,3.0,4.18,4.22,3.99,3.69,3.75,4.01,4.2,3.17,3.41,3.88,3.5,3.26,3.0,4.48,3.43,2.93,3.15,3.0,3.52,3.2,3.2,3.24,3.1,3.0,5.42,5.62,6.31,4.93,3.68,4.0,4.51,5.0,5.0,5.0,5.0,5.0,6.0,6.89,6.5,5.15,4.61,5.25,5.5,5.86,6.38,5.0,5.0
2139.13,2750.0,3.7,3.43,2.73,3.18,32.93,32.06,1733.33,1800.0,1878.13,3.0,3.0,4.18,4.22,3.99,3.69,3.75,32.0,32.0,32.0,3.41,3.88,3.5,3.26,3.0,4.48,3.43,2.93,3.15,45.0,45.0,45.0,3.2,3.24,3.1,3.0,5.42,5.62,6.31,4.93,3.68,4.0,60.0,60.0,60.13,60.5,5.0,5.0,6.0,6.89,6.5,5.15,4.61,5.25,46.89,47.93,6.38,5.0,5.0
58.5,2750.0,3.7,3.43,57.0,54.0,54.78,55.91,57.0,1800.0,1878.13,3.0,60.75,4.18,4.22,3.99,3.69,3.75,76.5,75.2,89.67,115.64,108.0,93.16,88.57,84.0,90.0,3.43,2.93,3.15,90.0,88.34,91.2,86.0,82.36,73.5,69.0,66.0,75.33,6.31,4.93,3.68,87.0,85.3,84.0,84.0,84.0,84.0,5.0,6.0,6.89,6.5,5.15,4.61,96.0,98.35,104.14,105.0,5.0,5.0
22.5,23.38,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.25,23.25,23.25,24.0,24.0,24.0,23.75,24.19,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.3,25.5,25.5,25.26,25.0,25.0,25.0,25.0,25.0,25.24,26.0,26.0,26.0,26.0,26.0,26.0,26.0,28.28,28.5,28.5,30.68,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.82,28.5,28.5,28.5,40.0,40.0,40.0,28.5,28.5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,36.67,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.96,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.55,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
13.57,18.8,19.71,20.0,21.74,22.25,21.43,18.05,16.75,15.74,14.29,13.25,14.0,14.75,15.77,16.0,16.0,17.75,18.65,19.5,19.0,17.55,16.0,14.79,18.43,20.0,20.0,21.82,22.0,22.0,21.32,19.75,18.36,17.76,17.0,17.22,18.0,19.0,19.83,20.0,20.75,23.09,22.05,22.22,22.91,24.67,24.0,24.68,25.0,25.56,26.22,26.0,25.26,29.73,29.25,27.17,27.95,29.5,26.82,25.0
11.5,14.06,16.21,20.14,20.43,20.02,19.21,16.96,14.99,13.54,12.72,12.22,12.55,13.63,14.69,15.41,15.72,17.33,17.9,18.98,18.1,16.89,16.35,17.6,19.14,19.34,20.19,20.6,20.61,20.65,20.38,19.46,19.04,18.78,18.16,17.77,17.26,17.73,19.58,20.71,21.12,22.25,21.83,22.25,23.07,23.94,24.01,23.47,23.67,24.35,25.16,25.04,25.25,28.8,28.49,26.13,26.75,27.42,26.87,25.67
5.03,5.07,4.73,4.95,4.96,5.03,5.02,5.13,5.31,5.43,5.9,6.09,6.05,6.02,6.23,6.29,6.47,6.41,6.51,6.94,7.63,8.8,8.91,8.96,8.68,8.57,8.97,8.76,9.31,9.31,9.31,9.18,9.23,9.41,8.99,8.92,9.25,9.33,9.11,8.87,9.04,8.9,9.06,9.43,9.18,9.22,9.02,9.07,9.22,9.16,8.82,8.79,8.55,7.99,7.74,26.13,26.75,27.42,26.87,25.67
5.03,5.07,4.73,4.95,4.96,5.03,5.02,400.0,400.0,419.57,450.0,418.86,410.87,400.0,6.23,6.29,6.47,6.41,6.51,6.94,378.72,386.4,402.5,388.89,8.68,8.57,8.97,8.76,9.31,531.95,611.27,713.77,761.93,9.41,8.99,8.92,9.25,9.33,9.11,8.87,9.04,8.9,1236.43,1270.0,1426.82,1350.0,9.02,9.07,9.22,9.16,8.82,8.79,8.55,7.99,800.0,800.0,801.19,785.0,852.37,910.57
