01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
18.65,12.46,11.76,11.39,11.12,11.92,14.15,14.43,13.87,19.2,15.79,15.6,16.36,15.77,16.12,18.21,16.58,16.34,17.41,16.34,16.61,20.56,18.2,20.77,23.4,24.7,27.95,26.0,18.42,14.88,16.31,14.33,17.29,16.8,25.1,27.87,30.96,28.6,29.05,27.47,21.45,24.69,24.43,20.8,20.8,18.2,25.07,21.15,21.8,20.14,23.45,26.65,34.82,36.87,25.47,27.36,28.48,31.92,25.05,25.75
80.7,89.25,85.48,91.25,101.96,116.25,120.0,124.55,120.0,126.96,132.62,127.5,135.0,145.5,150.45,173.18,180.95,196.25,210.87,187.5,164.09,154.55,159.25,151.96,145.0,132.5,71.75,134.55,140.0,140.0,132.05,132.5,140.0,140.0,135.0,130.0,137.5,130.26,141.74,144.76,144.5,141.36,135.24,133.48,138.86,132.5,137.89,135.45,140.0,134.44,130.0,130.0,134.57,130.91,135.0,142.17,135.24,140.0,141.82,145.71
52.45,48.16,51.87,52.73,52.62,53.13,31.84,36.33,41.79,42.0,38.0,39.9,50.11,54.21,53.2,53.2,48.34,53.75,60.7,53.2,54.24,53.25,53.2,62.94,67.9,68.4,72.2,59.44,63.96,40.53,41.4,46.16,51.73,59.3,44.63,77.05,83.61,91.78,77.32,72.38,58.9,43.15,52.1,66.75,68.33,77.89,64.87,71.53,68.23,78.46,80.08,77.9,86.9,85.33,88.15,72.31,72.99,75.3,90.15,87.03
1.83,2.78,2.82,3.09,2.78,2.71,2.53,2.03,1.47,1.44,1.2,1.44,1.67,1.8,1.47,2.38,2.74,2.75,1.77,1.64,1.2,1.74,2.84,3.18,3.16,2.24,2.33,2.36,2.35,1.7,1.34,2.06,2.2,2.72,2.89,2.92,3.09,4.46,3.99,4.39,3.83,1.93,2.47,1.25,1.31,1.56,1.84,1.61,1.77,2.51,1.78,2.24,2.07,2.13,2.0,1.53,1.05,1.67,2.11,2.46
22.55,20.1,19.6,31.08,31.44,24.36,24.91,21.91,33.55,20.95,20.95,22.29,26.91,32.82,34.64,40.32,29.47,30.37,23.84,27.43,25.72,30.98,43.43,43.59,44.88,33.52,44.66,37.18,46.15,35.96,36.8,52.38,56.62,60.41,74.86,55.51,58.62,66.16,66.15,53.2,48.64,34.89,49.92,54.19,54.24,61.1,49.01,49.94,40.1,30.3,54.05,76.91,76.1,74.12,77.32,55.46,60.58,60.27,83.22,82.28
142.96,142.8,144.67,144.77,146.74,142.75,147.65,143.36,147.67,154.09,174.76,194.55,184.57,186.25,188.64,187.59,189.43,193.64,206.52,213.57,226.95,242.14,263.81,253.7,258.1,285.0,287.83,290.91,298.38,304.55,305.45,307.05,294.86,271.33,266.59,301.09,307.12,297.05,293.91,300.24,285.68,271.68,292.05,280.0,280.0,272.38,271.36,277.27,280.5,280.2,251.3,244.0,237.17,217.73,210.0,55.46,60.58,60.27,83.22,82.28
400.61,405.0,386.9,382.5,371.3,386.75,410.0,406.59,415.0,423.65,439.1,508.64,537.39,484.5,520.45,566.36,585.0,550.0,507.61,505.71,562.73,511.36,513.75,534.13,556.67,600.0,743.04,732.27,742.86,818.64,815.45,1000.23,1066.59,1130.0,1210.0,1183.91,1417.62,1467.89,1364.13,1244.52,1183.18,1242.64,1361.17,1292.17,1285.45,1227.5,1017.11,927.27,1042.5,1119.33,1117.96,1087.0,1047.08,947.95,834.17,824.04,811.56,868.67,888.57,955.37
26.39,25.05,25.0,24.0,24.0,24.5,25.02,24.32,24.75,24.43,23.0,22.5,24.52,24.25,25.0,25.0,25.95,27.0,25.0,25.0,25.0,25.0,26.5,26.78,26.1,26.5,27.0,27.0,27.08,29.36,29.09,29.0,29.0,29.0,29.0,29.0,29.58,25.0,26.65,27.0,27.0,27.0,27.48,28.0,28.0,28.0,28.71,29.3,29.58,30.0,30.0,31.25,35.0,35.0,35.0,35.0,35.0,31.0,35.0,27.38
27.0,25.1,25.0,24.0,24.0,24.5,25.03,24.77,24.75,24.43,23.0,22.5,24.52,24.25,25.0,25.0,26.43,27.25,25.0,25.0,25.0,25.0,26.85,26.78,26.1,26.5,27.0,27.0,27.0,29.36,29.09,29.0,29.0,29.0,29.0,29.0,29.5,25.0,26.65,27.0,27.0,27.0,27.48,28.0,28.0,28.0,28.71,29.23,29.5,30.0,30.0,31.25,35.0,35.0,35.0,35.0,35.0,31.5,35.0,27.38
38.7,41.87,47.95,43.15,43.78,43.5,37.71,35.94,35.5,35.65,42.16,58.5,86.96,85.75,64.0,64.0,50.67,48.0,40.61,40.0,46.12,60.54,72.0,68.7,71.81,67.25,79.0,59.09,46.42,40.0,40.83,42.33,40.18,41.9,40.25,45.51,60.0,80.89,74.78,68.19,56.31,50.4,43.29,49.52,51.64,64.0,66.86,158.82,147.13,120.0,105.38,100.0,102.43,87.18,80.0,74.14,81.52,80.15,91.03,108.0
1.76,1.66,1.81,1.92,1.98,1.84,2.46,2.87,2.5,1.66,1.59,1.35,1.31,1.08,1.41,2.13,3.22,3.28,2.48,2.33,1.79,1.33,1.63,1.42,1.86,2.36,2.06,2.3,1.98,1.32,1.29,1.04,1.43,1.18,1.51,2.16,2.73,2.19,2.87,2.96,3.38,2.23,2.62,2.71,3.35,4.05,4.02,4.25,3.59,2.76,2.46,2.88,3.09,2.78,2.62,2.39,1.92,2.75,3.56,4.19
151.0,153.9,155.31,165.72,176.77,166.3,224.03,186.92,170.4,178.73,171.27,155.2,155.84,175.0,146.49,164.27,150.9,165.65,161.51,128.29,124.01,131.92,137.13,140.83,146.19,137.71,142.13,141.36,134.34,156.27,129.3,134.5,164.8,173.46,179.64,150.02,151.25,171.19,191.23,202.6,164.25,170.34,209.76,229.22,244.0,244.38,232.71,251.02,295.75,297.0,275.37,390.13,282.54,294.41,294.0,289.61,292.6,261.23,271.32,218.57
210.77,335.25,283.33,210.0,172.39,155.38,150.87,147.73,143.75,161.43,219.41,248.18,186.09,165.0,180.91,297.73,330.95,332.5,271.74,198.57,244.55,250.0,245.0,267.83,264.52,270.0,293.48,277.27,300.52,295.45,304.09,305.0,285.23,268.1,232.5,226.74,260.33,285.26,299.13,308.1,382.5,414.91,321.08,265.22,275.0,290.0,340.0,355.05,346.8,371.67,395.22,380.0,356.52,286.59,244.25,240.87,196.19,186.25,212.05,301.43
24.78,24.3,24.0,26.5,27.0,27.0,27.0,27.91,27.13,27.0,27.0,27.0,27.87,29.5,31.27,24.0,28.29,28.0,28.0,27.75,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,25.05,23.36,24.0,24.0,24.68,24.71,25.0,25.0,25.13,25.0,25.0,25.0,25.0,27.09,27.62,28.0,28.0,28.0,28.0,27.89,28.48,30.0,30.0,30.0,30.0,30.0,30.0,240.87,196.19,186.25,212.05,301.43
62.75,59.18,49.46,47.0,45.65,43.5,43.09,50.42,56.0,65.0,78.98,77.1,74.43,69.75,59.21,56.12,51.95,54.98,43.78,46.75,63.64,79.95,84.0,84.18,73.55,66.58,64.0,58.55,60.03,48.0,46.94,48.33,45.45,59.24,81.0,86.65,81.67,75.74,70.09,70.1,64.0,61.87,81.82,62.26,71.27,82.0,141.2,153.18,149.83,100.0,81.09,98.0,109.22,98.55,88.0,96.93,88.76,81.36,74.59,111.03
42.44,54.21,57.23,59.97,48.26,39.72,39.15,36.69,35.36,39.52,39.64,39.4,41.34,40.88,41.34,46.91,45.54,44.53,46.1,42.75,48.66,53.57,54.46,56.98,55.11,57.09,59.96,59.72,58.08,50.82,57.86,57.09,62.56,69.75,69.9,61.99,64.8,73.87,76.99,73.34,76.01,58.16,64.16,65.59,73.1,72.88,70.72,78.87,54.73,69.06,71.29,85.0,93.9,92.02,92.53,86.49,83.15,82.92,96.44,97.74
1.25,1.33,1.17,1.4,1.46,1.44,1.38,1.25,1.3,1.33,1.25,1.25,1.25,1.3,1.32,1.4,1.48,1.6,1.72,1.78,1.76,1.7,1.75,1.9,1.84,1.7,1.86,1.9,1.91,2.1,2.12,2.23,2.36,2.44,2.37,2.27,2.28,2.19,2.23,2.42,2.5,2.48,3.09,3.2,2.79,2.53,2.34,2.23,2.28,2.36,2.62,2.54,2.53,2.4,2.38,2.38,2.33,2.27,2.04,1.99
13.41,18.24,20.69,14.67,13.18,16.28,17.46,15.55,14.48,14.45,14.4,14.2,14.4,11.53,12.73,11.65,16.0,18.78,19.27,19.35,16.8,10.41,13.7,10.97,11.43,16.83,19.08,26.89,13.2,12.44,16.2,11.44,14.83,18.37,16.36,17.11,17.12,17.64,19.68,19.69,21.61,24.35,28.45,28.22,27.09,27.2,27.2,27.24,16.9,15.2,15.16,21.0,36.73,27.05,26.4,25.88,24.24,24.97,19.14,19.2
31.49,23.42,31.33,53.63,50.83,47.6,58.09,39.41,34.18,36.79,48.45,49.5,52.17,46.75,47.0,49.91,45.05,45.96,38.13,34.9,37.11,47.64,46.1,77.0,54.55,65.25,76.74,66.36,51.0,52.82,47.68,47.0,60.22,69.62,60.0,90.35,80.8,70.42,65.48,73.29,60.6,72.49,72.75,77.26,78.36,87.0,87.47,79.39,84.85,75.33,62.17,66.0,78.43,70.73,84.0,79.3,75.43,71.65,113.95,117.62
30.96,32.37,33.5,31.35,27.69,28.75,29.37,28.47,29.27,31.02,36.11,39.47,45.87,44.29,46.26,45.82,40.5,38.47,37.34,42.12,49.46,53.38,69.29,66.03,70.27,72.22,73.69,78.97,87.2,83.72,82.72,88.75,85.29,79.99,78.38,77.81,83.06,82.72,86.22,86.06,84.75,76.46,74.19,70.12,70.88,74.72,72.08,71.79,73.79,73.77,71.21,71.43,56.6,45.77,43.51,41.96,42.55,45.05,45.91,56.83
143.91,148.5,147.14,144.75,147.83,143.0,147.65,142.0,147.25,154.09,175.48,194.55,182.39,175.0,196.82,190.0,190.0,192.33,210.0,231.25,234.77,247.95,264.5,252.83,259.05,286.25,296.09,300.68,317.93,301.82,297.27,310.0,300.91,280.48,272.0,320.87,317.54,303.16,303.26,307.38,295.0,290.77,318.05,296.52,290.0,290.0,264.55,273.41,278.75,277.0,257.83,223.5,246.52,216.59,206.67,41.96,42.55,45.05,45.91,56.83
75.21,82.87,84.19,89.14,84.23,81.4,83.05,84.23,85.08,85.02,83.78,89.87,82.85,95.6,100.62,108.4,100.2,96.0,96.58,92.09,89.85,91.2,94.47,106.14,101.37,111.6,122.26,121.27,126.68,115.13,118.85,125.93,122.55,125.33,120.2,116.8,116.84,121.81,139.64,153.21,146.2,144.36,145.52,148.99,149.05,149.0,146.23,148.78,145.65,155.85,166.25,195.1,201.95,192.78,182.65,164.07,150.86,146.9,144.58,139.19
68.43,66.85,68.0,66.86,66.7,71.0,72.41,75.77,78.0,75.43,80.9,83.5,76.63,75.75,79.32,90.41,98.38,91.38,100.43,115.48,130.01,141.6,174.88,147.61,146.9,154.0,160.39,160.05,170.03,159.77,159.55,166.25,165.68,166.1,159.5,152.78,165.08,178.95,187.39,170.95,176.75,177.51,170.32,169.57,169.09,170.0,162.73,163.36,161.98,157.83,150.17,135.5,121.91,114.82,121.0,127.17,128.33,126.5,125.0,125.43
68.43,66.85,68.0,24.81,21.53,22.56,22.65,21.84,22.45,25.59,27.82,29.3,31.95,34.75,35.45,33.5,31.33,30.5,27.78,33.33,39.09,42.05,53.38,51.7,59.38,60.5,61.52,63.27,62.5,60.0,65.45,73.23,79.09,74.71,60.75,62.09,63.54,61.5,68.3,63.29,59.5,60.54,60.01,60.52,59.45,59.5,60.55,60.68,54.45,60.0,60.83,56.75,51.3,35.68,38.0,28.04,31.55,35.5,40.86,47.14
4.75,4.29,4.18,4.04,4.29,5.13,5.28,4.32,4.5,5.01,5.4,6.04,6.13,5.65,5.68,5.07,4.22,4.93,5.83,6.93,7.71,8.23,9.35,7.05,6.75,7.01,6.71,6.27,7.12,6.84,6.86,7.14,6.91,7.37,7.01,6.97,6.05,5.78,6.16,6.28,6.9,7.05,7.2,7.69,6.96,7.43,7.4,7.49,7.35,7.8,7.8,6.55,6.82,6.3,6.97,28.04,31.55,35.5,40.86,47.14
57.77,56.32,48.05,43.0,34.7,33.25,41.44,48.91,54.5,56.7,67.14,67.0,70.91,89.0,66.36,47.14,49.25,52.0,53.13,53.5,61.52,110.23,85.5,107.48,117.9,111.0,94.3,52.32,49.5,54.27,60.55,56.95,70.73,77.67,72.0,76.09,67.5,92.11,88.09,129.52,86.75,64.4,65.15,96.78,110.64,98.0,88.63,73.93,84.83,128.0,100.26,83.0,88.78,99.45,91.5,94.0,106.86,102.6,110.86,91.24
57.52,53.92,52.86,71.22,58.77,63.45,40.27,22.17,16.17,34.03,43.81,50.0,64.93,77.75,82.88,78.64,59.69,35.0,39.35,48.75,76.36,88.18,96.25,87.65,94.92,92.5,75.0,65.45,65.5,55.38,83.94,70.0,99.17,135.56,137.5,145.22,137.5,164.21,150.0,173.57,110.0,96.76,93.86,75.43,70.0,121.19,114.74,141.82,115.62,149.44,130.22,152.5,166.96,136.06,152.5,165.94,150.48,139.08,160.91,168.61
51.65,53.95,53.76,53.75,54.0,54.5,58.87,55.95,57.0,56.87,57.24,57.0,57.65,58.0,58.0,56.68,59.62,60.5,57.65,60.0,65.45,75.0,75.41,71.65,73.67,73.5,81.25,95.45,92.5,90.45,90.0,89.75,96.91,106.81,97.25,104.57,116.5,102.8,119.13,116.9,117.5,121.5,123.29,120.0,117.5,112.5,110.0,110.5,113.0,116.83,123.04,122.0,118.74,93.36,110.0,79.7,74.67,71.25,76.09,78.48
134.87,131.15,132.48,134.09,137.39,133.75,133.74,134.09,133.0,140.83,160.0,177.5,178.04,181.25,175.0,172.5,177.38,186.25,186.52,202.5,218.86,228.41,245.75,228.04,239.52,262.5,271.3,281.14,280.05,281.14,282.27,281.25,279.77,260.71,255.75,284.57,292.55,282.42,283.26,283.81,260.25,261.31,279.1,260.0,260.0,257.5,260.91,267.31,277.75,267.0,240.65,225.5,223.0,197.09,188.33,79.7,74.67,71.25,76.09,78.48
