01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.13,2.2,2.02,1.85,1.88,1.85,1.9,1.88,1.85,1.82,1.88,1.75,1.75,2.03,1.99,2.02,2.04,2.2,2.05,1.98,1.85,1.71,1.38,2.18,2.71,2.93,3.07,2.71,2.35,2.38,2.34,2.4,2.27,2.16,2.03,2.45,2.48,2.48,2.62,2.52,2.38,2.38,2.56,2.61,2.61,2.65,2.51,2.32,2.3,2.56,3.04,3.35,3.36,3.27,3.13,3.11,3.1,3.03,3.0,3.06
588.7,582.0,578.1,615.0,635.22,616.25,594.35,574.09,620.0,647.48,652.29,680.64,682.87,767.5,749.09,765.0,660.48,560.0,553.48,653.33,721.82,789.09,827.5,849.13,906.67,934.5,974.78,899.09,817.5,754.09,730.0,800.0,837.37,875.71,847.0,816.96,847.5,825.26,746.52,680.95,695.0,674.09,702.38,680.0,680.0,690.0,720.0,753.64,750.0,777.78,789.13,800.0,803.65,843.0,835.0,950.55,985.78,975.0,1093.18,1171.43
1.12,1.0,1.0,1.23,1.46,1.85,2.12,2.28,2.29,2.25,2.25,2.36,2.01,1.4,2.05,1.56,0.86,0.84,1.83,1.51,1.46,1.64,1.54,1.17,1.1,0.69,0.88,0.75,0.8,1.04,1.72,2.34,1.97,2.0,1.42,1.1,1.0,0.85,1.19,0.95,1.14,1.55,2.25,2.3,3.02,2.7,1.81,2.12,3.07,2.92,2.57,2.5,3.43,3.63,3.63,2.4,2.5,2.64,1.81,2.03
0.66,0.73,0.94,1.05,1.13,0.92,0.73,0.76,0.83,0.78,0.69,0.78,1.11,1.03,1.14,1.02,0.83,0.75,0.62,0.55,0.56,0.77,0.77,1.03,1.39,1.39,1.23,0.98,0.93,0.81,0.74,0.81,1.16,0.98,0.81,1.21,1.5,1.24,1.2,1.09,1.1,1.13,1.19,1.53,1.97,2.11,2.06,2.09,2.22,2.51,2.3,2.02,2.01,1.82,1.8,1.58,1.52,1.2,1.09,1.3
83.04,111.25,120.0,1.05,1.13,0.92,96.94,93.18,76.25,73.61,69.62,76.36,88.26,86.5,99.32,114.32,113.1,106.25,77.39,80.0,72.05,96.59,130.0,149.61,126.62,113.75,91.52,87.05,77.5,58.18,58.41,76.25,75.26,99.76,96.25,77.39,130.0,137.37,140.33,151.9,134.25,136.91,106.57,95.22,129.09,142.5,134.55,154.09,190.0,141.39,126.74,143.75,118.3,136.77,137.38,111.52,97.38,117.0,124.77,129.05
83.04,111.25,120.0,1.05,1.13,0.92,96.94,93.18,76.25,73.61,69.62,1.75,1.51,1.76,1.58,1.47,1.36,1.41,1.35,1.18,1.16,1.24,1.44,2.39,2.21,2.5,1.9,1.59,1.5,1.41,1.43,1.39,1.69,2.6,2.11,1.73,1.55,1.97,1.71,1.33,1.65,1.46,2.1,2.27,2.61,2.28,2.24,2.12,2.31,2.36,2.14,2.1,2.39,2.55,2.35,2.24,2.85,2.85,2.36,2.05
148.8,146.49,144.48,146.36,146.89,145.17,145.42,146.53,147.81,151.71,161.63,176.06,188.39,177.76,174.53,181.2,181.55,185.64,199.71,219.85,232.68,240.93,263.21,259.2,246.0,266.12,268.48,280.03,283.04,286.64,288.81,290.31,289.29,280.73,268.51,283.49,287.05,286.36,282.48,278.54,271.51,271.29,275.92,274.64,275.45,275.43,273.14,277.59,280.66,259.36,260.69,256.12,254.86,242.2,243.0,2.24,2.85,2.85,2.36,2.05
2.48,2.48,2.52,2.63,2.68,2.69,2.69,2.69,2.84,2.91,2.8,2.82,2.88,2.88,3.0,3.13,3.13,3.13,3.03,2.98,2.98,3.22,3.5,3.5,3.5,3.5,4.3,4.3,4.3,4.3,4.75,4.8,4.8,4.8,4.9,4.93,4.7,4.7,4.7,5.34,5.43,5.43,5.43,5.43,5.43,4.41,4.13,4.13,4.13,259.36,260.69,256.12,254.86,242.2,243.0,2.24,2.85,2.85,2.36,2.05
379.13,382.5,364.52,357.5,348.91,387.5,385.87,367.05,376.25,379.13,375.0,398.86,439.13,425.0,476.36,505.45,500.0,425.0,456.52,483.33,455.23,450.0,487.5,501.3,550.95,573.75,631.74,667.95,737.5,788.64,833.64,930.0,1023.68,1123.81,1230.0,1364.78,1385.0,1394.74,1189.57,1219.05,1185.0,1230.45,1249.05,1191.74,1221.14,1085.0,884.09,947.73,955.0,1021.0,1007.83,1027.5,976.96,869.55,770.0,816.52,774.29,772.5,828.18,901.9
326.83,338.78,328.61,307.32,303.64,323.2,315.85,294.38,288.68,298.26,305.72,316.45,348.88,339.67,370.44,374.06,394.07,347.44,363.34,373.52,364.76,365.34,379.48,378.31,407.58,431.44,463.69,490.7,562.47,603.42,652.48,791.42,974.54,1054.41,1164.19,1285.66,1323.57,1328.4,1164.62,1099.45,1064.47,1067.92,1073.93,1027.27,1034.58,913.64,796.83,913.2,894.21,957.92,931.67,923.32,906.09,822.94,690.76,723.11,717.63,707.82,725.76,764.99
285.45,284.6,282.07,272.13,261.53,274.89,261.55,263.64,270.09,270.97,284.67,289.5,287.9,291.0,296.67,307.84,329.97,320.99,330.92,361.38,374.87,377.34,387.35,381.32,392.46,406.67,424.55,426.2,438.17,455.06,517.99,601.25,750.68,760.64,766.48,794.18,798.1,791.94,732.25,783.02,737.28,670.76,688.84,708.82,719.72,638.01,539.49,634.93,654.41,667.28,614.4,635.23,651.99,684.6,633.97,629.61,622.0,613.78,628.26,686.03
68.35,69.32,72.28,73.71,69.74,70.34,69.53,72.35,70.54,73.12,73.97,74.2,77.61,79.12,71.77,62.49,63.74,68.31,68.17,71.19,72.25,76.36,78.08,77.96,78.61,83.97,92.15,90.14,97.93,96.84,97.57,101.29,104.28,108.24,113.6,106.18,104.44,95.71,95.82,113.99,104.72,99.85,97.12,93.31,77.57,638.01,539.49,634.93,654.41,667.28,614.4,635.23,118.96,118.96,110.65,101.37,111.01,150.17,150.17,150.17
209.13,373.25,351.9,257.5,191.96,180.25,165.0,168.41,171.25,190.87,190.0,204.32,226.3,225.0,260.0,310.68,350.95,336.25,255.0,235.94,290.68,279.77,290.0,293.91,272.14,307.5,301.3,289.55,291.25,285.0,285.0,290.0,280.0,280.0,265.0,252.17,255.0,300.0,297.83,340.48,450.0,435.0,344.29,300.0,320.45,307.5,336.36,406.82,397.5,366.67,360.0,412.5,357.39,290.0,237.5,223.91,227.62,240.0,250.0,321.43
162.22,182.0,234.22,233.75,214.13,160.0,152.39,144.09,141.25,137.79,144.86,143.41,165.44,169.38,182.82,168.41,205.24,248.75,325.97,265.4,329.16,357.26,332.68,361.72,336.67,355.0,300.0,302.05,300.0,300.0,303.41,318.75,325.0,328.57,325.0,269.7,240.0,300.0,300.0,300.0,300.0,345.0,342.65,332.5,332.5,292.5,301.36,320.46,327.28,344.25,378.26,322.5,296.09,270.0,315.5,305.18,309.19,300.0,262.42,258.27
3.23,3.31,3.34,3.59,3.63,3.57,3.55,3.54,3.38,3.46,3.36,3.62,3.8,3.7,3.63,3.66,3.54,3.73,3.74,3.85,4.03,4.33,4.65,4.88,4.82,4.7,4.78,4.93,5.13,5.34,5.5,5.92,6.07,6.1,6.08,5.74,5.44,5.23,5.7,6.47,6.5,6.33,6.4,6.48,6.5,6.33,6.44,6.02,5.84,5.65,5.6,5.55,5.5,5.36,5.23,5.24,5.3,5.32,5.49,5.72
1.5,1.65,1.64,1.3,1.43,1.76,1.93,1.95,2.26,2.53,2.18,2.11,2.0,1.61,1.57,1.44,1.05,1.26,1.41,1.38,2.0,2.44,2.61,2.09,1.8,1.85,1.43,1.23,1.05,1.07,1.04,1.1,1.18,1.31,1.63,1.19,1.6,1.72,1.87,1.71,1.48,1.55,1.96,2.13,2.85,4.06,5.89,7.64,7.25,5.31,4.46,2.5,2.28,2.23,3.13,2.78,2.96,2.38,2.25,1.73
1.29,1.24,1.24,1.24,1.33,1.35,1.35,1.3,1.28,1.29,1.3,1.3,1.21,1.26,1.29,1.33,1.33,1.43,1.54,1.61,1.61,1.75,2.06,1.87,1.85,1.85,1.96,1.96,1.83,1.83,1.95,2.28,2.28,2.28,2.28,1.19,2.17,1.72,2.06,2.06,2.46,2.55,2.79,3.28,3.58,3.29,2.89,2.75,2.55,2.51,2.61,2.68,2.76,2.73,2.59,2.4,2.34,2.21,2.06,2.23
3.5,2.55,2.62,2.55,1.7,1.5,1.3,1.22,1.28,1.85,2.47,2.5,4.0,2.6,2.11,1.83,1.46,0.93,1.5,1.61,1.61,2.5,2.63,3.0,2.33,2.38,1.85,1.62,1.99,1.92,1.09,1.0,2.28,3.0,3.13,3.0,3.0,2.8,2.96,3.36,3.13,2.57,2.5,3.28,3.58,3.29,2.89,4.0,4.5,6.22,4.98,5.25,4.83,4.16,3.0,4.05,4.37,4.63,4.64,5.6
43.52,43.44,44.71,45.03,42.82,42.26,42.76,42.62,43.49,44.49,44.05,52.38,54.01,60.0,58.53,58.09,55.48,58.22,59.11,60.57,61.61,68.69,76.4,78.33,78.95,81.1,80.95,82.39,76.85,89.71,90.81,94.04,93.44,98.49,98.87,95.77,90.99,99.63,96.37,87.56,82.43,82.41,83.61,81.46,83.27,85.36,90.08,92.01,93.66,92.44,86.44,82.98,68.08,65.85,73.83,69.34,68.44,70.13,71.68,72.56
252.65,249.34,255.57,257.85,256.88,254.38,260.02,252.37,252.51,255.01,261.67,278.97,300.0,333.34,383.3,383.29,371.43,366.67,366.67,366.67,384.76,416.61,579.17,633.33,633.33,633.33,633.33,655.76,666.67,666.67,666.67,666.67,666.66,654.76,650.0,650.0,650.0,583.16,583.33,583.06,82.43,82.41,83.61,81.46,83.27,85.36,90.08,92.01,93.66,466.56,441.74,438.0,420.65,387.5,375.83,69.34,68.44,70.13,71.68,72.56
61.17,80.55,86.14,87.89,78.98,82.13,79.96,79.23,75.36,76.67,75.81,79.77,80.22,104.25,108.95,110.86,104.71,105.0,86.66,90.04,83.44,88.01,101.25,102.26,94.19,117.0,119.61,119.11,120.38,119.18,121.23,128.25,120.02,123.22,120.75,114.39,106.95,136.34,146.41,161.0,150.15,154.23,150.64,160.37,161.86,156.53,155.09,152.77,138.0,169.52,189.53,193.73,213.91,208.23,189.0,174.72,147.07,150.0,144.9,148.61
5.43,5.56,6.1,6.97,6.65,6.61,6.2,5.97,6.03,6.05,5.83,5.82,5.99,6.01,6.47,7.17,8.57,9.89,10.23,10.0,10.3,10.78,11.64,11.26,11.6,12.01,15.49,16.62,15.89,17.27,17.21,17.16,15.97,17.91,17.64,17.07,16.91,16.99,16.33,14.78,15.36,13.9,11.52,11.95,11.43,9.94,9.53,10.01,10.6,12.01,12.6,12.29,13.8,13.27,12.08,13.59,13.12,13.13,12.8,14.41
1.69,1.81,1.95,2.34,2.18,2.35,1.8,1.37,1.7,2.16,1.89,2.25,1.22,2.54,3.87,3.05,3.67,2.52,1.78,1.68,1.87,2.11,1.83,1.39,1.41,1.74,2.82,2.26,2.23,2.04,3.11,4.26,3.29,4.18,2.7,3.27,3.85,3.66,4.04,2.95,3.11,2.31,2.7,2.94,3.95,3.98,3.72,2.58,3.94,4.86,2.94,3.44,3.61,3.84,3.22,2.84,4.07,3.7,3.53,3.5
149.0,165.44,191.97,167.2,143.55,131.13,117.05,117.58,112.83,106.46,114.03,123.27,167.48,163.28,168.67,174.71,183.94,180.96,204.83,224.94,215.69,249.13,280.09,308.7,284.0,306.7,299.8,296.73,297.04,314.1,321.25,319.05,340.42,352.38,380.72,405.66,410.15,414.23,432.28,489.47,503.6,562.97,556.71,590.71,621.17,649.88,686.84,711.26,725.29,762.68,788.11,766.6,682.31,609.86,585.15,602.26,601.09,581.81,594.89,598.64
149.0,165.44,191.97,3.02,1.82,0.8,0.96,1.25,1.6,106.46,114.03,2.25,2.15,2.2,2.38,1.41,0.65,0.56,0.72,0.66,0.6,249.13,280.09,308.7,284.0,306.7,299.8,296.73,0.79,0.81,0.78,0.6,340.42,352.38,380.72,405.66,410.15,414.23,432.28,0.9,0.9,0.75,0.89,0.9,621.17,649.88,686.84,711.26,725.29,762.68,788.11,766.6,1.39,0.94,1.0,0.86,1.56,581.81,594.89,598.64
2.12,2.21,3.21,4.57,3.26,4.52,3.05,1.54,1.36,1.31,1.07,1.17,1.89,2.88,5.14,3.66,2.93,1.81,1.21,2.58,2.75,3.86,3.61,2.66,2.97,3.28,1.91,2.15,1.88,2.33,3.52,3.69,3.34,4.89,4.81,4.53,4.5,4.36,5.7,6.98,3.19,3.53,2.04,1.78,2.24,2.94,3.07,3.89,4.63,3.41,3.96,4.56,5.0,5.34,3.94,4.88,4.55,3.88,3.72,2.54
