01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1780.56,1599.26,1674.06,1608.87,1649.12,1609.21,1460.89,1671.01,1666.06,1704.3,1712.32,1679.37,1.89,2.88,5.14,3.66,2.93,1.81,1.21,2.58,2.75,3.86,3.61,2.66,2.97,3.28,1.91,2.15,1.88,2.33,3.52,3.69,3.34,4.89,4.81,4.53,4.5,4.36,5.7,6.98,3.19,3.53,2.04,1.78,2.24,2.94,3.07,3.89,4.63,3.41,3.96,4.56,5.0,5.34,3.94,4.88,4.55,3.88,3.72,2.54
1780.56,1599.26,1674.06,1608.87,1649.12,1609.21,1460.89,1671.01,1666.06,1704.3,1712.32,2.34,2.37,2.59,2.57,1.95,2.37,1.89,1.97,2.11,1.96,2.21,2.15,2.24,2.33,2.3,2.21,2.19,2.23,2.12,2.07,2.04,2.03,2.06,2.03,2.28,2.47,2.33,2.27,2.31,2.28,2.53,2.58,2.33,2.28,2.66,2.6,2.55,3.05,3.42,3.08,3.48,3.67,3.46,3.25,3.17,2.91,3.03,2.82,3.63
96.75,96.1,96.04,97.5,96.21,93.86,89.31,84.46,83.21,82.87,84.33,86.09,87.96,92.32,95.3,91.71,92.54,93.16,94.64,99.59,106.84,117.9,133.48,131.86,140.8,158.58,164.73,165.46,169.52,165.12,165.24,171.3,180.56,198.94,205.27,210.85,219.66,228.4,226.63,242.07,256.5,255.4,209.33,208.87,208.45,187.49,177.03,177.0,181.09,177.45,169.4,156.5,139.55,137.81,132.33,135.22,136.33,139.56,135.23,131.5
40.0,40.0,40.0,41.25,47.17,50.0,30.0,34.55,35.0,30.54,30.0,37.5,40.0,50.0,53.18,111.82,120.0,120.0,100.43,82.5,80.0,77.73,75.0,80.0,82.38,78.75,85.0,102.94,108.75,102.86,85.0,82.5,85.0,77.86,85.0,87.83,85.0,99.17,107.5,101.55,96.25,104.55,98.1,91.52,92.95,108.75,110.0,108.86,93.75,71.0,65.0,67.5,139.55,70.0,76.25,81.96,88.57,81.25,80.0,80.0
70.0,70.0,70.0,71.25,77.17,80.0,103.7,113.18,115.0,109.13,110.0,117.73,120.0,130.0,133.18,183.18,190.0,190.0,144.35,112.5,110.0,107.73,105.0,110.0,114.76,122.5,123.7,140.0,138.75,132.86,115.0,112.5,115.0,107.86,115.0,117.83,115.0,129.17,137.09,131.52,126.25,134.55,128.1,121.52,118.41,132.5,135.0,133.86,118.75,96.0,90.0,92.5,139.55,70.0,136.25,136.96,143.57,136.25,135.0,135.0
50.0,50.0,50.0,51.25,57.17,60.0,37.17,53.18,65.0,59.13,60.0,67.5,70.0,80.0,83.18,150.45,160.0,160.0,114.35,82.5,80.0,77.73,75.0,80.0,82.38,87.5,91.25,110.0,106.25,102.86,85.0,82.5,85.0,77.86,85.0,87.83,85.0,99.17,107.5,101.55,96.25,104.55,98.1,91.52,92.95,108.75,110.0,108.86,93.75,71.0,65.0,67.5,139.55,70.0,136.25,136.96,143.57,136.25,135.0,135.0
60.0,60.0,60.0,61.25,77.17,80.0,57.17,64.09,65.0,59.13,64.76,72.5,70.0,110.0,113.18,171.82,180.0,180.0,134.35,102.5,100.0,97.73,95.0,100.0,102.38,107.5,111.25,130.0,128.75,122.86,105.0,102.5,105.0,97.86,107.0,112.83,105.0,119.17,127.5,121.55,116.25,124.55,118.1,112.83,118.41,132.5,135.0,133.86,118.75,96.0,90.0,92.5,139.55,70.0,136.25,136.96,143.57,136.25,135.0,135.0
60.0,60.0,60.0,61.25,77.17,80.0,57.17,32.25,34.67,35.0,35.0,72.5,70.0,110.0,113.18,171.82,180.0,180.0,134.35,102.5,100.0,27.0,27.0,100.0,102.38,107.5,111.25,130.0,128.75,122.86,105.0,102.5,28.0,29.43,30.0,30.0,33.0,33.0,127.5,121.55,116.25,124.55,118.1,112.83,37.13,37.5,35.0,34.0,35.0,35.0,90.0,92.5,139.55,70.0,136.25,136.96,37.5,35.0,35.0,35.0
57.79,60.0,59.04,58.18,56.75,62.09,60.54,60.71,62.81,62.71,63.82,64.19,67.54,71.02,67.77,67.88,72.7,68.86,77.07,101.01,114.27,129.27,129.53,120.35,124.73,117.37,112.94,114.56,115.09,106.02,97.0,105.83,104.87,104.37,86.93,88.38,90.45,95.67,109.11,102.54,101.79,102.98,107.9,107.27,107.02,107.02,109.31,114.33,114.79,114.8,114.2,111.66,106.05,106.46,106.07,121.69,130.0,139.82,156.76,148.62
21.07,22.2,23.05,23.35,24.23,20.52,19.05,18.07,21.69,21.41,22.53,26.63,27.21,28.13,28.73,26.62,20.29,21.15,21.03,19.29,19.38,20.53,19.06,29.49,41.28,37.88,33.59,30.0,29.85,29.21,21.32,22.07,29.43,30.16,27.65,39.38,50.23,44.75,37.17,29.36,27.25,24.2,27.39,28.14,37.26,37.66,47.67,51.9,56.94,53.04,40.43,36.57,32.88,32.75,37.39,38.51,33.67,33.57,44.44,61.54
