01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
98.6,97.22,96.81,97.97,95.63,92.36,87.93,81.75,81.11,82.21,86.07,86.76,89.56,93.66,97.8,92.37,93.76,89.92,90.87,100.54,105.1,118.9,120.0,120.0,145.0,145.0,281.23,285.79,143.0,150.03,151.29,293.5,281.18,257.79,255.38,291.9,302.38,213.0,213.0,272.94,266.06,200.0,198.95,270.48,258.5,249.06,246.27,259.19,252.94,240.07,228.99,232.5,203.34,190.54,121.5,126.64,127.35,125.61,119.55,121.45
69.95,67.51,67.61,66.5,62.02,61.28,63.29,61.61,65.13,67.68,68.8,64.86,68.15,72.17,74.13,65.0,69.06,70.07,73.64,77.84,84.41,91.54,99.17,139.16,140.63,145.0,281.23,285.79,107.77,94.63,93.54,107.83,108.71,114.11,117.52,114.95,114.65,115.83,118.29,106.75,96.36,95.14,102.36,104.43,103.44,111.73,115.21,115.54,115.05,127.63,128.39,128.5,125.75,121.03,116.41,117.49,127.35,125.61,119.55,121.45
14.0,15.0,15.0,12.0,13.0,14.0,12.0,11.0,12.0,13.0,14.0,14.0,14.5,15.0,15.0,15.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,15.5,16.0,17.0,17.0,17.75,25.0,23.0,18.0,15.0,16.0,20.0,15.0,14.0,20.0,20.0,20.0,20.0,23.0,22.5,20.0,23.0,20.0,111.73,20.0,20.0,20.0,20.0,22.0,23.0,25.0,25.0,25.0,25.0,25.0,23.0,25.0,25.0
3.23,3.33,3.25,3.5,3.47,3.57,3.0,3.03,3.33,3.33,4.0,4.0,3.5,3.77,3.77,3.63,3.75,3.5,3.5,3.25,3.4,2.93,3.45,3.75,2.5,2.5,17.0,2.85,25.0,23.0,4.18,3.59,3.33,3.21,3.1,3.57,3.21,3.33,4.05,3.21,23.0,22.5,3.57,3.57,3.57,2.91,3.15,3.5,4.0,4.25,4.25,4.25,4.25,4.25,25.0,25.0,2.85,3.19,3.8,4.82
2.5,2.55,2.0,2.0,2.2,2.2,2.0,2.1,2.15,2.2,2.0,2.0,2.05,2.2,3.77,3.63,3.75,3.5,3.5,3.25,3.4,2.93,2.5,2.8,3.0,3.0,3.0,3.0,3.2,3.0,3.0,3.0,2.9,3.3,3.2,3.57,4.0,4.0,3.8,3.3,3.3,3.0,3.0,3.0,2.9,2.7,2.4,2.3,2.2,2.2,2.2,4.25,4.25,4.25,25.0,25.0,2.85,3.19,3.8,4.82
54.5,56.5,55.0,50.0,49.0,47.5,45.0,42.5,44.5,45.5,45.5,45.5,45.5,49.5,49.75,52.5,55.0,55.0,57.5,57.5,60.5,62.5,62.5,63.5,66.5,70.0,77.5,75.0,72.5,77.5,80.0,85.0,85.0,72.5,62.5,3.57,63.75,67.5,68.75,65.0,67.5,55.0,57.5,60.0,60.0,2.7,72.5,75.0,77.5,80.0,82.5,82.5,82.5,85.0,85.0,72.5,75.0,77.5,65.0,65.0
54.5,56.5,55.0,50.0,49.0,47.5,45.0,78.38,78.38,87.1,88.61,88.61,84.21,84.21,49.75,52.5,55.0,55.0,72.05,75.0,75.0,62.5,84.21,80.37,88.91,70.0,77.5,75.0,72.5,88.91,80.0,88.81,153.59,152.78,152.78,152.78,152.78,152.78,152.78,152.78,152.78,162.0,57.5,160.42,158.76,158.76,156.67,156.67,77.5,80.0,82.5,82.5,82.5,85.0,139.58,133.53,131.07,132.88,133.38,65.0
370.22,391.75,523.81,511.36,482.61,435.0,428.26,445.45,415.0,403.91,469.38,485.0,591.3,712.5,560.0,524.77,600.0,605.0,624.35,625.0,628.86,630.0,975.0,1200.0,880.0,900.0,77.5,75.0,72.5,1800.0,1834.09,88.81,1800.0,1657.14,1563.64,1450.0,152.78,1700.0,1700.0,152.78,152.78,1767.86,1609.38,1600.0,158.76,158.76,156.67,156.67,77.5,80.0,82.5,82.5,82.5,85.0,139.58,950.0,1075.0,1000.0,1009.09,1168.75
1.96,1.96,2.05,1.8,1.65,1.5,1.55,1.46,1.48,1.48,1.51,1.51,1.46,1.31,1.31,1.43,1.28,1.31,1.43,1.54,1.55,1.7,1.8,2.13,2.17,2.13,2.15,2.2,2.4,2.35,2.73,2.76,2.74,3.01,2.72,2.97,2.9,3.25,3.19,2.87,2.74,3.28,2.72,2.79,2.86,2.78,3.36,2.76,2.74,2.53,2.51,2.51,2.67,2.62,2.77,2.78,2.65,2.75,2.72,2.76
2.91,3.0,3.16,3.5,3.5,3.5,3.5,3.39,2.24,2.08,2.53,3.0,3.22,3.25,3.5,1.43,1.28,1.31,1.43,1.54,2.2,2.29,2.4,2.67,3.94,5.0,5.0,5.0,5.0,5.0,2.73,4.5,4.5,4.21,5.0,5.22,5.75,6.63,7.0,6.64,6.75,7.0,7.0,7.0,6.32,6.0,6.59,7.0,7.13,7.0,7.33,7.75,8.0,8.0,7.13,7.55,8.21,6.0,6.7,7.24
