01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
14.0,14.5,14.0,13.0,8.0,1.4,1.49,1.66,1.6,1.77,1.67,1.7,1.84,1.48,5.8,4.0,1.69,1.95,1.94,1.35,1.88,1.79,1.85,1.64,1.77,1.98,2.02,2.0,1.95,1.91,1.86,1.98,1.86,1.88,1.91,2.0,2.5,2.37,2.11,2.12,1.98,2.25,2.1,2.18,2.42,2.35,2.51,2.16,1.93,2.68,2.6,3.45,3.43,2.81,2.85,3.44,3.52,3.6,3.69,3.2
105.95,104.03,101.23,97.45,8.0,1.4,92.13,88.71,89.83,87.36,90.7,93.53,94.33,99.97,100.73,95.71,94.06,95.6,96.34,104.39,108.95,107.03,125.81,130.99,124.07,151.59,176.66,171.06,180.88,1.91,178.87,175.97,175.57,186.28,194.05,205.74,200.06,236.91,236.91,254.95,1.98,2.25,2.1,200.42,210.5,184.82,175.38,187.99,185.07,181.31,172.09,156.82,154.69,2.81,131.42,140.05,139.49,141.17,138.09,137.41
60.87,76.75,84.76,92.5,100.0,100.0,90.0,94.55,100.0,99.46,98.41,108.34,110.0,125.0,100.73,95.71,94.06,95.6,96.34,112.5,113.41,103.52,97.81,104.23,99.29,114.94,138.7,140.8,131.25,121.59,113.18,103.44,109.55,110.48,102.5,108.91,109.79,110.88,126.38,254.95,135.0,136.82,112.62,101.3,100.91,113.33,120.0,118.18,113.0,110.0,103.48,110.0,105.65,112.27,120.0,132.17,137.62,132.5,126.14,124.76
76.96,87.25,94.76,102.5,110.0,110.0,115.0,117.27,125.0,118.84,117.8,124.62,125.0,143.75,100.73,95.71,94.06,95.6,96.34,124.79,124.4,115.49,112.5,120.53,120.36,136.88,153.7,151.82,161.75,149.09,120.91,118.75,128.18,132.86,122.5,131.09,120.21,125.96,141.09,150.0,160.0,148.41,131.33,123.26,118.86,131.25,136.14,136.14,132.5,130.0,123.48,125.0,131.3,142.27,147.5,146.09,154.76,145.0,145.68,140.24
86.96,97.25,104.76,115.0,130.0,130.0,135.0,137.27,137.5,135.11,134.29,142.92,145.0,158.75,100.73,95.71,94.06,95.6,96.34,139.79,140.61,129.2,122.81,131.4,134.05,148.63,164.35,165.23,173.75,160.91,130.91,128.75,138.18,140.48,130.0,141.09,130.83,134.65,152.68,150.0,170.0,163.18,143.4,137.83,134.32,143.33,147.05,147.27,142.5,140.0,140.0,147.5,155.65,166.82,160.0,166.09,172.38,166.25,161.36,160.0
99.13,111.75,124.76,132.5,140.0,140.0,150.0,150.0,152.5,149.06,143.51,161.67,160.0,170.0,100.73,95.71,94.06,95.6,96.34,154.79,157.5,139.96,135.31,142.47,147.86,161.0,178.7,179.32,188.75,177.73,146.36,138.75,148.18,148.1,137.5,147.83,140.83,147.28,165.94,150.0,180.0,175.45,154.19,147.83,145.45,153.33,160.0,157.73,152.5,150.0,150.0,167.5,177.83,193.64,190.0,186.09,190.0,185.0,181.36,180.0
25.0,111.75,124.76,25.0,25.0,25.0,27.5,27.5,27.5,30.92,32.05,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.67,27.76,30.0,30.01,30.0,32.82,32.18,28.87,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.75,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,32.25,30.73,30.0,30.0,30.0,29.79,30.0,30.0,33.41,32.88,35.81,36.5,32.25,30.0,30.0
64.33,68.05,69.57,70.5,73.09,73.13,67.92,65.55,65.0,47.5,45.12,46.25,53.48,50.75,52.73,55.55,58.95,64.25,65.0,72.0,86.47,85.45,84.5,85.0,87.0,86.0,85.87,84.77,85.0,92.06,98.64,86.5,85.64,86.0,87.0,87.57,88.0,90.0,90.65,88.44,87.67,86.23,86.95,87.57,84.36,85.25,88.77,90.0,92.5,100.0,103.48,97.5,98.75,33.41,90.0,89.0,89.0,32.25,30.0,115.0
1.75,2.12,2.51,2.55,2.41,2.15,1.93,2.21,1.99,1.66,1.25,1.91,2.19,2.47,2.4,2.19,1.82,1.62,1.47,1.35,1.52,1.3,1.74,2.35,2.85,2.78,2.25,2.34,1.79,1.71,1.75,2.02,2.71,2.44,2.27,3.33,3.88,3.93,3.58,3.16,2.94,2.66,2.93,3.22,4.0,4.0,3.99,4.19,4.64,4.57,3.55,2.62,3.07,3.27,3.81,3.93,3.72,3.64,3.88,4.71
0.42,2.12,2.51,0.5,0.5,0.5,1.93,2.21,1.99,0.43,0.49,0.46,0.45,0.48,0.5,0.5,0.5,1.62,1.47,1.35,0.5,0.55,0.6,0.6,0.6,0.63,0.65,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.62,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.51,0.59,0.55,0.59,0.6,0.72,0.53,0.5
