01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
96.35,95.05,90.24,90.0,90.91,91.0,88.91,80.45,76.25,81.22,84.05,87.5,85.87,91.25,91.75,90.14,88.81,85.0,85.87,91.25,101.64,111.14,125.33,127.0,130.57,151.0,163.04,156.36,167.0,164.68,152.73,164.25,171.55,172.76,191.32,202.0,217.0,229.31,225.96,234.57,245.0,253.95,210.94,207.66,202.15,175.22,174.84,175.22,175.8,173.78,166.48,150.25,132.09,133.27,125.75,133.22,134.48,133.5,130.23,130.79
58.92,65.0,65.0,53.75,42.5,42.5,42.5,43.64,52.5,57.5,57.72,57.56,57.5,65.0,64.78,62.5,62.5,62.5,61.42,47.25,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.87,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,42.08,50.0,50.0,50.0,50.0,50.0,50.0,50.0
53.48,55.28,54.36,54.29,55.79,55.81,53.87,51.98,53.43,54.88,58.65,59.79,59.79,60.56,59.08,67.54,67.65,71.88,73.16,84.06,98.7,117.95,120.0,113.91,100.48,93.96,95.38,109.29,100.14,100.94,97.4,102.68,102.0,92.88,83.86,74.96,73.35,85.55,98.8,96.69,90.22,91.63,94.8,93.57,92.67,94.93,98.48,95.69,93.67,97.5,97.75,97.75,107.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
25.96,24.0,23.52,22.0,22.0,20.0,20.43,20.91,22.0,23.17,24.29,24.0,24.0,24.0,24.75,27.98,29.0,29.75,30.0,29.0,27.09,31.27,35.0,33.78,33.0,33.0,95.38,109.29,100.14,100.94,97.4,102.68,60.0,60.0,60.0,60.43,73.35,85.55,98.8,96.69,90.22,91.63,94.8,48.92,62.0,68.5,73.27,74.32,75.0,60.83,49.09,44.75,38.87,50.0,50.0,50.0,50.0,50.0,50.0,50.0
20.7,19.24,29.65,29.22,25.65,19.02,21.8,28.51,32.07,31.84,30.67,25.7,26.2,25.66,24.16,27.63,37.93,32.61,45.84,48.85,32.0,40.0,40.0,43.48,40.0,42.5,40.0,45.91,42.25,49.09,50.0,56.75,52.2,47.81,54.25,61.09,55.0,53.16,62.61,53.33,52.5,52.73,60.24,65.26,92.18,102.84,100.0,90.08,73.07,69.89,71.39,84.38,73.26,74.09,72.0,70.0,70.0,70.0,70.0,71.19
21.92,19.02,18.74,18.75,16.61,19.84,18.75,18.3,18.97,19.32,20.36,20.77,19.14,18.19,17.72,17.96,23.27,22.0,31.13,34.0,29.0,31.8,39.33,42.28,58.67,55.55,60.26,48.0,44.08,46.69,44.0,42.9,55.3,54.48,65.25,64.57,63.25,90.32,57.39,44.0,42.0,47.25,52.07,60.36,78.81,57.4,64.29,50.73,44.5,44.0,47.48,61.38,65.0,69.55,66.75,57.22,70.0,70.0,70.0,71.19
142.72,142.39,143.54,145.0,144.17,141.03,144.18,145.29,148.83,156.5,186.74,188.87,178.86,187.6,188.78,182.53,177.68,189.13,202.05,215.6,238.11,251.61,268.18,240.7,266.03,283.23,287.43,300.55,296.59,306.04,311.87,313.5,296.96,271.78,288.0,309.86,314.19,309.54,308.31,296.18,289.23,289.34,290.68,284.3,273.26,264.38,257.43,258.97,253.22,256.26,263.97,265.01,240.02,227.87,241.47,214.7,212.8,230.57,225.74,229.35
141.96,140.65,142.71,143.75,144.0,141.5,145.57,146.91,149.5,154.04,186.67,183.5,177.83,186.0,187.86,181.73,179.0,189.5,203.96,217.0,242.0,254.73,273.25,244.13,269.19,284.5,288.3,299.27,297.0,309.73,312.68,314.5,302.18,271.52,289.5,312.22,316.25,315.68,311.13,299.74,295.75,294.95,291.05,280.26,273.82,265.5,260.32,262.23,257.0,258.5,266.61,268.0,249.78,236.59,247.0,214.7,212.8,230.57,225.74,229.35
2.01,2.05,2.15,2.25,2.39,2.49,2.58,2.47,2.45,154.04,2.55,2.6,2.6,2.9,2.92,2.34,2.3,2.4,2.56,2.68,2.7,2.7,2.7,2.7,269.19,284.5,288.3,299.27,297.0,309.73,312.68,314.5,302.18,271.52,289.5,312.22,316.25,315.68,311.13,299.74,295.75,294.95,291.05,280.26,273.82,265.5,260.32,262.23,257.0,258.5,266.61,268.0,249.78,236.59,247.0,214.7,212.8,230.57,225.74,229.35
2.04,2.08,2.21,2.3,2.45,2.7,2.77,2.57,2.55,154.04,2.54,2.58,2.58,2.92,2.98,2.41,2.32,2.45,2.56,2.75,2.83,3.06,3.32,4.22,4.34,4.35,4.44,4.89,4.95,4.99,4.91,4.57,4.52,4.38,4.62,5.12,5.56,5.44,5.95,5.86,5.52,5.24,5.2,5.1,4.93,4.92,4.92,4.37,4.07,3.49,3.38,3.04,2.81,2.53,2.55,2.51,2.44,2.48,2.51,2.58
457.83,450.0,450.0,450.0,423.91,420.0,420.0,426.82,432.5,441.22,440.14,432.61,439.57,450.5,453.64,475.45,450.0,450.0,432.61,448.1,463.64,470.0,470.0,469.57,489.52,540.0,589.13,604.55,642.86,700.0,745.45,877.27,920.45,1021.43,1143.18,1260.87,1330.95,1463.16,1460.87,1400.0,1400.0,1400.0,1411.9,1481.3,1478.64,1350.0,1368.18,1240.91,1200.0,1200.0,1200.0,1200.0,1143.48,1077.27,1100.0,1000.0,2.44,2.48,2.51,2.58
560.0,560.0,450.0,550.0,504.35,475.0,502.83,530.0,505.0,487.83,503.81,565.0,550.0,537.5,600.0,609.09,635.71,627.5,650.0,717.5,922.5,965.0,470.0,469.57,489.52,540.0,589.13,604.55,642.86,700.0,745.45,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1892.86,1843.48,1800.0,1800.0,1772.73,1600.0,1600.0,1600.0,1600.0,1620.0,1600.0,1600.0,1200.0,1017.39,900.0,900.0,900.0,900.0
243.47,382.87,313.51,220.41,124.74,126.37,124.16,124.53,146.92,168.07,225.89,223.63,175.4,199.4,265.23,329.04,338.57,256.9,191.31,203.14,267.16,256.36,275.08,273.48,255.39,285.68,288.92,277.79,285.9,274.13,264.23,259.32,247.62,238.86,223.52,221.71,279.92,296.48,302.39,321.29,340.46,319.25,250.27,291.44,275.65,251.06,295.87,322.93,324.71,328.69,408.07,430.99,299.51,243.69,199.75,204.74,181.91,181.13,225.73,278.23
