01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
91.43,90.66,90.2,90.23,88.41,83.3,81.01,75.2,75.9,77.77,78.69,82.98,85.4,88.17,91.01,87.35,82.71,85.14,85.93,97.0,99.96,114.37,125.22,122.49,136.93,152.18,161.28,157.37,165.86,156.96,158.92,168.05,170.33,189.04,196.31,205.7,218.6,225.96,226.72,232.9,256.97,243.63,196.98,204.42,198.3,169.95,166.78,170.48,170.05,166.9,155.6,138.08,122.99,126.13,117.78,127.42,126.32,125.98,120.89,123.15
25.0,28.5,30.0,26.25,25.0,25.0,25.0,23.18,23.0,23.78,25.0,25.0,23.0,20.0,22.09,23.0,23.0,23.0,23.0,23.25,24.0,24.0,27.0,30.0,30.0,30.0,30.0,157.37,165.86,156.96,29.0,29.0,29.0,29.0,30.0,30.0,30.0,225.96,226.72,232.9,256.97,243.63,196.98,22.0,22.0,28.0,32.0,32.0,32.0,166.9,155.6,138.08,122.99,126.13,35.0,35.0,35.0,35.0,35.55,38.0
43.17,44.04,45.94,54.11,58.38,60.93,60.29,60.29,62.67,65.51,67.45,68.66,68.36,70.79,67.56,65.31,65.38,66.4,71.53,93.84,111.84,114.97,121.11,128.65,120.62,103.05,95.86,95.3,86.29,77.66,75.34,79.03,88.75,86.55,80.2,74.87,77.15,84.65,94.39,90.96,77.0,72.38,76.54,79.57,83.83,86.0,89.23,99.95,113.0,117.12,113.91,111.07,112.61,110.0,113.0,133.43,140.1,149.06,150.0,161.9
46.95,41.5,40.25,40.0,58.38,60.93,60.29,60.29,44.0,43.22,41.05,40.0,41.75,43.5,40.32,34.91,33.93,36.0,35.5,44.41,50.95,57.45,64.75,64.75,64.75,54.75,48.04,46.82,34.0,30.59,32.27,37.0,43.5,41.62,39.38,39.72,45.25,44.47,44.7,44.67,37.0,33.95,41.0,51.41,50.0,51.33,56.82,50.27,47.67,46.67,45.65,43.0,40.22,41.82,46.25,51.3,52.62,47.25,47.27,50.48
46.95,1.3,1.3,40.0,58.38,60.93,60.29,60.29,1.9,1.65,1.43,1.5,1.41,1.35,1.31,1.49,1.27,1.05,1.0,0.96,1.09,1.16,1.3,1.3,1.35,1.5,1.93,1.89,1.39,1.06,1.09,1.01,1.34,1.8,1.93,1.7,1.81,1.68,1.46,1.25,1.05,0.95,1.19,1.14,1.33,1.45,1.51,1.51,1.83,1.89,1.9,1.95,2.05,1.98,1.81,1.99,2.0,1.93,1.93,2.26
136.41,136.78,134.54,138.98,139.81,135.35,138.24,139.78,141.72,146.47,173.16,181.7,176.07,182.17,179.38,175.78,173.44,173.71,185.82,199.82,223.65,240.14,258.07,245.09,259.06,283.36,289.34,299.27,294.8,300.88,302.17,301.44,288.38,259.07,273.43,292.83,301.02,300.75,306.88,292.8,280.67,275.72,289.09,273.44,261.42,253.41,243.17,253.97,248.35,242.79,240.59,248.17,230.39,209.94,217.31,199.3,182.86,204.92,205.85,206.05
1.68,1.57,2.04,2.17,2.25,2.55,2.5,2.51,2.53,2.2,2.35,2.36,2.2,2.16,2.32,2.33,2.33,2.33,2.28,2.14,2.1,2.13,2.57,2.89,2.93,2.93,3.71,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,5.15,5.49,5.35,5.14,5.02,4.38,3.88,3.73,3.7,3.19,3.42,3.14,2.62,2.9,2.64,2.5,2.24,2.2,2.1,2.1,2.1,2.38,2.58
2.14,2.13,2.15,2.28,2.32,2.56,2.56,2.52,2.5,2.51,2.52,2.52,2.37,2.52,2.57,2.57,2.57,2.57,2.51,2.45,2.43,2.47,2.9,3.29,3.37,3.37,4.07,4.27,4.27,4.27,4.27,4.27,4.32,4.35,4.3,4.3,4.32,5.24,5.47,5.35,5.15,5.02,4.9,4.9,4.9,4.88,3.8,3.5,3.19,2.62,2.9,2.64,2.5,2.23,2.2,2.1,2.1,2.1,2.18,2.3
200.0,198.33,198.01,205.0,219.49,221.67,221.67,224.7,225.0,179.55,157.98,153.33,164.58,163.33,153.33,149.01,148.33,155.0,155.0,153.33,153.33,186.51,224.58,228.7,230.0,245.0,262.83,265.0,265.0,265.0,260.45,260.0,269.32,270.0,270.0,270.0,272.5,302.63,320.0,283.1,230.0,212.95,210.0,217.83,220.0,248.75,246.67,220.0,221.67,230.0,289.09,292.5,250.0,250.0,250.0,250.0,250.0,250.0,191.14,158.1
59.24,110.9,99.66,85.58,69.67,72.75,82.99,91.13,103.28,121.02,122.49,126.0,148.9,165.84,199.96,211.59,192.66,166.86,154.13,173.0,198.61,230.9,251.37,252.94,250.96,244.35,248.13,270.63,233.56,194.42,184.45,207.18,222.18,211.6,197.18,157.62,151.14,172.83,190.57,209.89,196.69,156.81,140.95,141.14,131.69,130.0,143.03,173.86,180.0,169.5,160.29,176.38,179.53,145.28,160.58,177.81,181.31,172.44,203.62,229.43
