01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.57,1.51,1.08,0.81,1.0,0.95,1.02,1.08,1.03,0.95,0.95,168.78,167.58,0.78,0.76,0.89,0.99,0.87,0.92,1.0,1.12,1.0,1.02,1.32,1.74,2.09,1.84,1.53,1.33,1.04,0.81,287.67,0.76,0.8,0.85,1.28,1.75,1.35,1.04,1.2,1.4,1.0,0.95,0.95,1.0,1.0,1.29,1.67,2.14,2.5,2.5,2.33,1.63,1.2,1.23,0.87,0.8,0.8,1.09,2.86
0.93,0.97,1.01,1.07,1.13,1.13,1.12,0.75,1.03,0.95,0.95,168.78,0.75,0.66,0.6,0.6,0.6,0.6,0.6,1.0,1.12,1.0,0.65,0.65,0.65,0.69,0.75,0.75,0.79,0.8,0.81,287.67,0.75,0.71,0.7,1.28,0.75,0.75,0.71,0.75,0.77,0.8,0.8,0.95,1.0,1.0,1.4,1.54,1.75,1.53,1.22,1.22,1.6,1.86,1.86,0.87,0.8,0.8,1.09,1.0
8.43,8.88,8.92,8.93,9.17,9.43,9.37,9.16,9.33,9.79,10.04,10.65,10.8,12.08,12.08,12.34,11.18,9.28,9.06,9.5,11.91,12.93,13.1,13.81,14.29,15.08,16.39,15.84,13.88,12.65,12.25,12.3,12.96,14.32,14.13,13.95,14.13,14.11,12.14,11.47,10.91,10.84,11.56,11.3,11.1,11.0,11.69,12.61,13.33,13.08,14.02,14.05,14.0,14.34,15.3,15.93,16.74,17.8,18.63,20.63
49.04,50.76,52.59,51.82,54.04,53.71,53.27,50.77,49.62,53.0,54.94,55.7,56.35,56.41,57.78,61.86,65.13,73.34,75.23,74.42,83.83,94.43,100.38,101.74,105.0,115.0,118.26,117.06,125.45,123.68,117.6,108.24,106.43,103.55,95.45,99.47,100.0,106.22,108.15,108.15,105.1,104.91,107.33,99.07,103.2,102.68,110.2,114.04,129.48,128.4,119.99,119.19,117.74,119.46,127.26,118.59,128.74,130.6,130.07,148.55
2.58,3.04,3.54,4.08,4.22,4.32,3.71,2.52,1.88,1.92,2.21,2.38,2.76,3.33,3.87,3.81,4.16,3.76,2.15,1.61,2.01,2.5,2.98,2.97,4.1,4.23,3.93,4.22,4.53,4.12,3.12,2.42,1.75,1.62,2.18,2.61,3.4,3.75,4.74,6.19,6.1,5.19,3.5,2.68,3.08,3.0,2.58,2.3,2.82,3.38,5.07,6.42,5.01,4.64,4.14,2.98,2.5,2.91,2.94,3.42
135.81,135.44,138.37,143.36,143.6,143.08,144.0,145.6,148.03,153.2,174.04,185.45,174.78,182.87,187.21,185.13,188.58,194.68,204.67,219.91,241.82,256.9,266.69,255.52,265.26,275.86,278.4,290.97,291.19,292.27,290.92,292.55,286.82,267.36,267.44,283.12,291.36,285.17,287.92,286.32,281.1,277.28,280.74,279.32,266.24,259.58,254.0,256.86,248.76,238.85,237.68,240.76,224.24,202.55,204.02,199.51,192.7,219.86,221.34,221.25
2.15,2.02,2.02,2.02,2.15,2.2,2.2,2.21,2.13,2.12,2.25,2.27,2.4,2.4,2.25,2.01,2.07,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.15,2.69,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,279.32,266.24,2.9,2.87,2.44,2.4,2.4,2.4,240.76,224.24,202.55,204.02,199.51,192.7,219.86,221.34,221.25
2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.44,2.4,2.4,2.4,2.01,2.07,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.15,2.69,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,279.32,266.24,2.9,2.87,2.44,2.4,2.4,2.4,240.76,224.24,202.55,204.02,199.51,192.7,219.86,221.34,221.25
1.02,1.1,1.09,1.07,1.08,1.08,1.08,2.4,2.4,2.4,2.4,2.44,1.45,1.4,1.35,1.35,1.39,1.4,2.1,2.1,2.1,2.1,2.1,0.75,0.7,0.78,1.0,1.0,1.23,1.26,1.28,2.1,2.1,2.15,2.69,2.75,3.0,3.0,3.0,3.0,1.5,1.5,1.41,279.32,266.24,1.1,1.23,1.17,1.14,1.2,2.34,2.15,224.24,202.55,204.02,199.51,192.7,219.86,3.0,1.08
3.3,3.5,3.5,3.5,3.5,3.5,3.5,4.23,4.3,4.5,4.5,4.5,4.5,4.5,1.35,1.35,1.39,1.4,2.1,2.1,2.1,2.1,2.1,0.75,0.7,0.78,1.0,1.0,1.23,1.26,1.28,2.1,2.1,2.15,2.69,2.75,3.0,3.0,3.0,3.0,1.5,1.5,1.41,279.32,266.24,1.1,1.23,1.17,1.14,1.2,2.34,6.0,6.0,6.0,6.0,6.0,6.36,6.5,6.24,6.36
