01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1021.46,1127.96,1221.43,1130.32,1156.09,1112.5,1150.0,1150.0,1150.0,1150.0,1033.49,1105.53,1151.43,38.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,259.2,271.81,273.18,281.68,33.7,33.7,33.56,33.5,33.5,33.5,33.5,33.5,33.5,280.98,282.18,280.8,276.81,272.98,67.2,270.49,257.76,67.2,67.2,67.2,67.2,67.2,228.25,231.88,218.56,193.38,189.92,126.02,128.79,132.75,52.5,140.51
1021.46,1127.96,1221.43,1130.32,1156.09,1112.5,1150.0,1150.0,1150.0,1150.0,1033.49,1.49,1.49,1.53,1.76,1.86,2.03,2.03,2.02,2.06,2.17,2.0,1.88,1.82,1.85,1.88,1.79,1.76,1.76,1.77,1.77,1.67,1.61,1.8,1.72,1.75,1.9,1.92,2.22,2.22,2.02,1.98,1.99,2.02,1.98,1.96,2.06,2.35,2.36,2.36,2.53,2.53,2.53,2.53,2.53,2.53,2.37,2.5,2.5,2.57
76.3,89.63,90.0,90.0,90.0,90.0,80.65,80.0,81.88,87.5,87.5,91.81,100.0,100.0,1.76,1.86,2.03,2.03,2.02,125.0,125.0,136.36,145.0,145.0,164.05,173.25,174.5,174.5,1.76,1.77,1.77,154.75,157.39,177.98,203.97,210.34,210.0,1.92,2.22,2.22,2.02,1.98,189.0,180.46,155.0,155.0,155.0,155.0,155.0,155.0,156.93,2.53,2.53,2.53,162.5,161.78,155.07,155.0,161.77,166.0
80.87,85.0,85.0,85.0,85.0,85.0,85.65,90.0,90.0,90.0,90.0,92.33,95.0,95.0,1.76,1.86,100.0,100.0,90.0,89.25,87.0,91.09,92.5,93.0,98.71,103.0,105.0,105.0,103.75,119.09,109.32,99.25,113.68,131.95,151.75,153.61,150.0,131.84,121.74,132.62,153.75,165.0,160.43,142.02,145.44,147.5,150.0,150.0,150.0,150.0,150.0,2.53,2.53,200.0,210.0,236.09,250.0,250.0,250.0,250.0
74.0,84.25,111.73,151.25,218.7,214.5,164.63,116.16,105.0,103.17,48.79,66.25,75.0,86.63,112.73,121.36,148.21,150.0,146.74,135.0,130.0,125.91,120.75,118.7,118.75,118.25,110.91,109.0,108.0,103.16,109.68,126.69,145.66,116.61,111.83,113.25,156.0,199.53,197.5,192.15,190.0,166.18,147.62,149.57,169.09,170.0,170.0,170.0,170.0,170.0,184.13,200.0,192.17,192.61,218.13,208.92,200.48,210.0,210.0,205.24
2.0,2.0,2.0,2.05,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.25,2.41,2.8,3.0,3.0,2.95,2.8,2.68,2.59,2.55,2.88,2.95,3.02,3.1,3.05,2.62,2.33,2.73,2.96,3.2,4.13,4.39,4.01,4.27,4.5,4.31,4.19,4.0,4.0,149.57,169.09,170.0,170.0,170.0,170.0,170.0,184.13,200.0,192.17,192.61,218.13,208.92,200.48,210.0,210.0,205.24
1.5,1.5,1.54,1.56,1.63,1.75,1.77,1.78,1.78,1.81,1.87,1.85,1.85,1.85,2.01,2.27,2.54,2.25,2.12,2.18,2.1,2.08,2.04,1.99,2.16,2.23,2.28,2.34,2.4,2.35,2.43,2.79,2.57,2.98,3.06,2.56,2.74,2.8,2.75,2.61,2.26,2.49,2.5,2.53,2.55,2.4,2.46,2.49,2.5,2.42,2.27,2.3,2.41,2.5,2.41,2.41,2.41,2.5,2.66,2.67
164.13,160.0,160.0,160.0,162.61,172.0,172.0,172.0,172.0,172.0,175.1,192.73,193.91,190.0,183.41,180.91,185.0,188.41,215.0,210.0,211.36,220.57,225.07,250.65,291.48,307.5,307.65,307.0,310.1,312.41,319.77,318.5,314.82,298.67,291.82,301.67,311.9,313.75,315.0,312.62,310.0,310.0,310.0,303.91,292.5,285.0,285.0,281.59,272.27,264.75,255.0,255.0,250.83,237.58,230.0,2.41,2.41,2.5,2.66,2.67
83.49,83.69,91.0,94.1,95.15,95.15,95.53,94.77,93.55,92.81,89.03,86.49,90.19,101.63,104.0,103.59,99.53,95.56,100.85,103.83,109.0,109.21,109.86,119.09,120.0,124.34,133.78,142.67,143.99,145.86,160.33,163.03,163.54,163.54,168.43,168.43,176.01,171.06,167.39,167.3,176.33,181.98,181.95,183.77,168.3,158.32,154.64,161.49,165.81,165.71,166.29,170.24,179.83,185.58,184.01,175.26,170.58,176.78,176.68,176.62
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.59,11.0,11.0,11.0,11.0,11.08,11.55,109.86,119.09,19.24,19.19,19.27,19.38,21.0,21.0,21.23,20.75,20.75,20.45,20.45,20.5,20.5,20.5,21.09,22.48,22.5,23.0,23.0,23.0,23.45,25.0,25.0,25.0,25.0,25.0,24.35,24.0,24.0,24.0,24.38,24.5,24.5,24.5,24.5,24.74
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.59,11.0,11.0,11.0,11.0,11.08,11.55,109.86,119.09,19.24,19.19,19.27,19.38,21.0,21.0,21.23,20.75,20.75,20.45,20.45,20.5,20.5,20.5,21.09,22.48,22.5,23.0,23.0,23.0,23.45,25.0,25.0,25.0,25.0,25.0,24.35,24.0,24.0,24.0,24.38,24.5,24.5,24.5,24.5,24.74
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.59,11.0,11.0,11.0,11.0,11.08,11.55,109.86,119.09,19.24,19.19,19.27,19.38,21.0,21.0,21.23,20.75,20.75,20.45,20.45,20.5,20.5,20.5,21.09,22.48,22.5,23.0,23.0,23.0,23.45,25.0,25.0,25.0,25.0,25.0,24.35,24.0,24.0,24.0,24.38,24.5,24.5,24.5,24.5,24.74
2.5,2.5,2.55,2.63,2.7,2.51,2.25,2.11,2.05,2.1,2.2,2.2,2.2,2.2,2.4,2.73,3.1,3.35,3.5,3.41,3.18,3.32,3.23,3.35,3.5,3.66,3.67,3.68,3.68,3.68,3.7,3.7,3.61,3.75,3.9,3.82,3.96,3.91,3.98,4.0,4.0,4.0,4.0,4.0,3.86,3.6,3.6,3.6,3.6,3.93,4.8,4.9,5.0,5.0,5.0,5.0,5.0,4.75,4.8,5.02
2.23,2.27,2.22,2.2,2.22,2.3,2.29,2.39,2.4,2.4,2.2,2.25,2.34,2.56,2.6,2.5,2.63,2.68,2.73,3.41,3.18,3.24,3.07,3.0,3.34,3.31,3.31,3.31,3.68,3.62,3.69,4.24,3.61,3.75,3.9,5.53,5.69,3.91,3.98,4.0,4.0,4.0,4.0,4.0,3.86,3.6,4.76,5.04,4.99,4.92,5.63,5.63,5.6,5.0,5.0,5.0,5.0,4.75,2.5,2.54
148.04,144.4,139.14,138.0,125.07,110.63,89.59,76.27,75.0,75.0,75.0,75.0,73.7,73.0,75.0,78.5,93.68,100.0,100.0,97.5,90.68,93.87,91.88,89.0,89.36,89.5,88.22,88.36,90.0,90.36,90.09,82.63,79.55,92.78,112.57,115.39,117.5,108.68,114.3,123.26,125.0,133.24,135.0,135.0,135.0,135.0,148.55,177.36,175.0,175.0,181.09,182.0,183.39,191.83,200.0,212.17,224.76,227.5,238.64,255.0
6.19,5.76,6.25,6.5,6.61,7.13,7.5,7.5,7.5,7.5,6.07,6.24,7.11,7.15,7.14,7.47,8.0,8.38,8.5,8.63,9.5,9.84,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.65,12.0,12.0,12.82,13.0,13.0,13.0,13.0,12.84,12.22,12.69,12.75,12.97,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.3,12.36
122.19,5.76,6.25,6.5,6.61,7.13,7.5,120.0,120.0,121.96,125.0,125.0,125.0,7.15,7.14,7.47,137.0,162.5,204.78,181.88,182.13,185.66,186.98,10.0,10.0,10.0,10.0,10.0,10.0,202.92,255.08,271.85,293.29,301.09,303.68,306.31,305.04,10.0,11.65,12.0,12.0,300.0,300.0,296.52,290.0,290.0,290.0,290.0,280.0,12.75,12.97,13.0,13.0,360.0,13.0,270.0,270.0,270.0,13.3,12.36
122.19,5.76,6.25,6.5,6.61,7.13,7.5,210.0,210.0,210.0,210.0,210.0,210.0,7.15,7.14,7.47,230.0,255.75,306.0,315.71,256.92,261.27,238.51,10.0,10.0,10.0,10.0,10.0,10.0,309.38,302.63,300.0,312.57,348.33,348.17,349.59,305.04,10.0,11.65,12.0,12.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,381.0,12.75,12.97,13.0,13.0,420.0,13.0,270.0,270.0,270.0,13.3,12.36
4.02,3.9,4.08,4.3,4.43,4.6,4.79,4.84,4.9,4.77,4.14,4.53,5.35,5.3,5.17,4.87,4.32,4.2,3.79,4.74,5.23,5.38,5.4,5.25,5.18,4.66,4.4,4.8,4.96,5.02,6.87,6.54,5.84,5.79,5.48,5.32,5.48,5.49,5.71,6.11,6.43,7.05,7.05,7.05,7.34,7.0,7.05,6.88,6.9,6.72,6.04,6.0,5.72,5.01,4.95,270.0,270.0,270.0,13.3,12.36
4.02,4.0,4.12,4.23,4.42,4.67,4.2,4.06,4.0,4.0,4.0,4.0,4.0,4.0,4.38,4.64,4.37,4.78,5.08,4.88,4.55,4.88,4.85,4.9,4.98,5.03,4.89,4.88,4.88,4.84,4.88,4.98,4.84,4.9,5.01,5.03,5.04,4.83,4.91,4.92,5.03,5.26,5.5,5.57,5.54,5.2,5.2,5.2,5.2,5.98,8.0,8.0,8.0,8.0,7.83,7.6,7.6,7.5,7.7,7.1
1.3,1.3,1.32,1.31,1.06,1.07,1.14,1.13,1.12,1.1,1.15,1.15,1.18,1.19,1.2,1.23,1.26,1.31,1.24,1.33,1.38,1.54,1.58,1.57,1.61,1.66,1.73,1.71,1.75,1.82,1.87,1.86,1.8,1.88,1.93,1.91,1.88,1.91,1.93,1.93,1.95,2.16,2.22,2.39,2.56,2.58,2.58,2.58,2.58,2.58,2.6,2.6,2.58,2.53,2.53,2.53,2.52,2.52,2.55,2.46
2.35,2.35,2.35,2.35,2.35,2.35,1.14,1.13,1.12,1.1,1.15,1.15,2.2,2.11,1.78,1.64,1.6,1.6,1.24,1.33,1.38,1.54,1.58,1.57,1.43,1.27,1.25,1.25,1.43,1.48,1.87,1.86,1.8,1.88,1.93,1.64,1.77,1.74,1.54,1.53,1.54,1.58,2.22,2.39,2.56,2.58,2.58,1.63,1.58,1.49,1.58,1.53,1.5,1.63,2.53,2.53,2.52,2.52,2.55,2.46
10.58,11.39,11.97,11.97,11.97,11.97,11.97,11.97,11.55,11.34,11.9,11.37,8.17,7.42,7.39,7.3,7.3,7.3,7.3,7.3,7.57,9.0,9.67,10.16,10.33,10.33,10.33,10.52,11.17,11.17,11.06,10.75,11.18,13.85,18.19,19.69,19.83,19.7,22.86,24.46,24.33,22.94,18.12,15.32,14.93,15.0,15.59,16.68,17.0,16.44,13.97,13.67,14.07,14.83,14.83,14.73,14.67,14.67,14.93,16.25
