01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.88,3.37,1.75,1.75,1.77,1.81,1.69,1.46,1.3,0.99,0.99,1.32,1.2,1.39,1.62,1.09,1.23,1.5,1.56,1.68,1.42,1.47,1.66,1.48,1.8,1.89,2.37,2.58,2.16,2.14,2.0,1.36,1.49,1.04,1.18,1.46,1.69,1.66,1.75,2.02,1.88,1.53,1.72,2.05,2.01,1.26,1.47,1.26,1.46,1.9,3.95,4.1,3.3,3.52,3.28,3.08,3.05,3.25,3.73,3.93
90.17,170.5,192.46,204.13,192.2,170.0,167.6,176.42,128.53,45.39,40.49,76.25,93.88,121.6,161.64,176.24,173.39,173.42,176.09,149.38,113.07,88.93,80.47,78.18,85.76,104.9,118.53,125.41,148.18,180.73,179.73,153.38,146.88,106.58,72.83,53.14,54.46,96.99,113.94,134.21,150.35,156.9,165.64,164.85,94.55,136.67,114.07,113.73,141.25,155.56,175.43,198.75,213.48,220.0,195.0,208.04,181.43,135.0,94.55,141.43
30.0,170.5,192.46,204.13,192.2,170.0,167.6,176.42,128.53,45.39,40.49,76.25,93.88,121.6,161.64,176.24,173.39,173.42,176.09,149.38,113.07,88.93,80.47,78.18,85.76,104.9,118.53,125.41,148.18,180.73,179.73,153.38,146.88,106.58,72.83,53.14,54.46,96.99,113.94,134.21,150.35,156.9,165.64,164.85,94.55,136.67,114.07,113.73,141.25,155.56,175.43,198.75,213.48,220.0,195.0,208.04,181.43,135.0,94.55,141.43
103.04,69.0,87.62,88.75,89.72,100.0,100.0,100.0,128.53,45.39,40.49,76.25,93.88,121.6,161.64,176.24,173.39,173.42,176.09,149.38,113.07,88.93,80.47,78.18,85.76,104.9,118.53,80.0,85.0,180.73,179.73,153.38,146.88,106.58,72.83,53.14,54.46,96.99,113.94,134.21,150.35,156.9,165.64,164.85,94.55,136.67,114.07,113.73,141.25,155.56,175.43,198.75,213.48,220.0,195.0,208.04,181.43,135.0,94.55,141.43
1.08,1.0,1.02,1.11,1.14,1.2,1.2,1.2,0.98,0.65,0.62,0.65,0.65,0.65,0.63,1.32,1.44,1.44,1.43,1.35,1.17,1.07,0.76,1.19,1.32,1.01,1.06,1.18,1.27,1.29,1.47,1.52,1.52,1.27,1.03,1.33,1.15,1.26,1.21,1.53,1.29,1.37,1.28,1.38,1.5,2.05,1.85,1.77,1.59,1.65,1.58,1.46,1.46,1.26,1.33,1.42,1.82,2.4,2.37,2.37
160.87,165.0,165.0,161.14,158.91,152.5,150.65,158.41,163.81,162.83,177.14,191.14,184.57,172.5,173.33,200.0,192.86,182.73,182.83,195.71,204.09,220.45,268.33,285.43,296.9,291.25,284.35,288.41,298.81,297.73,293.18,297.27,291.59,279.52,270.45,296.74,298.57,296.25,296.09,294.52,295.45,294.55,297.38,295.0,295.0,293.13,293.41,292.27,288.18,289.25,284.78,291.25,264.72,248.18,266.25,1.42,1.82,2.4,2.37,2.37
89.35,91.37,94.0,95.15,95.19,95.53,94.69,93.6,92.68,88.85,87.16,90.19,101.63,104.46,106.23,97.19,95.56,101.0,103.57,108.97,109.47,110.51,121.04,119.88,124.67,129.14,143.39,143.98,148.12,161.28,163.07,164.93,167.56,166.83,172.99,176.88,173.89,170.12,171.73,176.95,182.88,183.71,184.85,183.44,165.67,155.38,157.3,165.89,166.34,166.25,168.52,175.18,186.8,186.01,177.93,174.2,174.88,177.95,176.0,166.6
11.58,11.68,11.91,12.25,11.81,11.0,11.78,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.84,12.25,12.74,13.0,13.0,13.0,13.0,13.0,16.5,18.61,17.51,17.0,16.31,16.27,18.25,18.49,19.09,18.39,18.85,17.75,18.13,18.38,18.15,17.88,17.89,18.06,18.06,17.96,18.0,19.09,22.3,22.71,22.94,23.81,23.95,23.27,23.32,24.28,24.79,23.46,22.0,24.11,25.43,25.31,24.25,24.74
54.57,30.75,34.76,31.75,25.0,25.0,25.0,25.0,11.75,11.75,11.75,11.75,11.75,11.75,11.84,12.25,12.74,13.0,13.0,13.0,13.0,13.0,16.5,18.61,17.51,17.0,16.31,17.0,17.0,18.49,19.09,18.39,18.85,17.75,18.13,18.38,18.15,17.88,17.89,18.06,18.06,17.96,18.0,19.09,22.3,22.71,22.94,23.81,23.95,23.27,23.32,24.28,24.79,23.46,22.0,24.11,25.43,25.31,24.25,24.74
2.24,2.66,3.17,3.32,25.0,25.0,25.0,25.0,2.0,2.09,2.31,2.38,2.47,2.69,2.65,2.0,2.02,2.06,2.07,2.28,2.36,2.38,2.4,2.4,2.79,2.79,2.82,2.72,2.89,2.83,2.85,18.39,18.85,3.0,4.64,4.71,4.71,4.88,4.89,18.06,18.06,17.96,18.0,19.09,22.3,22.71,4.51,4.22,3.78,3.5,23.32,24.28,24.79,23.46,22.0,24.11,25.43,25.31,2.41,2.75
