01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
95.91,105.0,4.39,4.21,3.4,2.61,3.08,76.25,75.13,76.13,72.0,85.5,90.0,90.0,90.0,83.64,80.0,87.5,95.0,98.75,100.0,104.55,110.0,109.65,127.76,140.0,148.0,160.5,158.0,151.18,153.73,162.0,161.09,162.38,164.0,164.0,206.0,206.73,203.67,210.64,219.38,269.66,241.79,171.3,180.0,162.5,146.82,154.55,5.0,4.83,5.42,4.94,4.49,3.9,4.13,4.4,4.69,5.0,5.97,6.38
42.57,43.57,44.11,44.11,46.85,56.48,56.37,57.43,57.54,58.32,60.45,54.19,55.0,55.0,55.63,57.5,62.94,69.02,70.72,78.61,80.0,80.0,80.0,87.65,99.0,99.0,98.05,103.19,109.54,103.42,97.72,102.57,107.59,102.74,102.36,102.05,101.0,101.0,101.0,101.0,101.0,94.23,90.0,92.11,90.79,91.38,92.11,92.11,92.27,95.31,114.54,114.54,112.27,112.27,106.82,106.82,118.07,126.71,132.05,129.6
12.0,11.05,11.0,11.75,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.5,12.5,11.0,11.0,11.0,11.5,13.0,15.38,15.06,14.88,13.69,12.7,12.7,12.7,13.05,14.43,14.75,15.75,16.71,16.75,16.81,17.0,16.48,16.5,17.63,18.0,17.57,17.13,16.74,15.23,17.38,16.5,16.62,18.0,17.97,17.15
1.01,1.24,1.47,1.28,1.27,1.13,0.97,0.9,0.89,0.67,0.85,0.93,1.08,1.43,1.5,1.33,1.08,1.09,1.25,1.08,1.0,0.86,0.8,0.92,1.2,1.3,1.3,1.28,1.16,1.04,1.02,1.1,1.29,1.51,1.34,1.16,1.21,1.23,1.61,1.46,1.31,1.34,1.42,1.67,1.85,2.15,1.49,1.64,1.7,1.79,1.94,1.91,1.88,1.93,1.88,1.67,1.85,1.85,1.89,2.07
92.55,91.2,94.22,92.23,92.71,95.53,90.82,88.87,89.45,87.82,90.69,94.46,101.32,102.5,103.71,101.16,88.15,90.91,93.75,96.96,103.26,109.14,117.59,124.78,123.47,125.24,136.35,130.1,137.88,159.59,153.85,160.95,168.88,173.69,187.22,192.85,189.17,183.75,184.11,187.61,186.94,187.22,177.19,168.39,163.1,155.26,161.54,164.73,165.59,162.2,163.47,163.77,175.74,178.39,158.39,160.76,156.79,165.99,170.04,167.29
13.94,14.57,14.38,14.38,14.38,14.25,14.31,14.36,14.56,13.66,13.5,13.5,13.88,14.25,14.44,14.25,14.25,14.25,14.52,14.67,15.55,15.65,16.85,18.67,19.33,20.0,20.13,21.63,21.81,21.63,21.74,21.68,21.94,21.95,21.0,21.0,22.25,21.7,22.15,22.38,22.63,22.44,22.24,22.25,22.71,22.69,22.09,22.0,22.0,22.0,22.0,22.0,21.98,22.45,22.85,22.48,22.19,22.53,22.63,23.12
580.0,580.0,14.38,14.38,14.38,14.25,14.31,562.5,550.0,579.13,480.0,480.0,480.0,480.0,480.0,575.45,630.0,645.0,650.0,650.0,650.0,809.09,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1062.5,1250.0,1625.0,2000.0,1896.36,1715.71,1650.0,1650.0,1750.0,1750.0,1787.61,1800.48,1850.0,1850.0,1659.52,1805.43,1800.0,1800.0,1681.82,1650.0,22.0,22.0,22.0,22.0,21.98,22.45,22.85,22.48,22.19,22.53,22.63,23.12
2.13,2.1,1.94,1.85,1.89,2.05,2.14,2.07,1.94,1.93,1.92,1.76,1.73,1.79,1.79,1.8,1.81,1.75,1.76,1.88,1.88,2.01,2.14,2.14,2.38,2.38,2.9,2.95,2.94,2.73,3.08,4.16,4.26,3.45,2.87,2.59,2.54,2.49,3.07,3.29,4.15,4.34,5.14,5.17,4.79,4.28,4.12,4.1,3.99,3.92,3.9,3.98,4.25,4.04,4.43,3.78,3.7,3.84,3.83,3.29
2.66,2.72,2.67,2.72,2.59,2.6,2.5,2.5,2.34,2.71,2.48,2.48,2.84,2.93,2.56,2.53,2.86,2.83,2.77,2.67,2.96,3.1,3.14,3.28,3.17,3.31,3.37,3.44,3.2,3.15,3.44,3.41,3.52,3.92,4.46,4.64,5.05,4.9,4.9,4.88,4.05,4.09,4.11,4.34,4.09,3.68,3.06,3.0,3.01,3.01,2.83,2.72,2.98,3.0,3.08,3.14,2.41,2.2,2.48,2.51
3.5,5.75,8.5,8.5,8.61,9.0,9.0,9.0,9.0,7.84,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,8.18,8.5,8.5,8.13,7.58,6.87,6.29,6.29,6.29,6.29,6.29,6.64,6.75,6.75,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.11,6.89,6.89,6.9,6.23
62.41,62.0,62.0,60.0,57.83,49.25,49.0,43.55,44.25,46.17,48.0,63.5,68.3,67.75,67.25,77.36,84.9,81.14,77.72,85.63,80.0,105.0,101.25,105.0,115.71,105.0,102.83,105.0,100.0,95.23,87.73,80.0,90.0,85.24,97.27,120.0,115.0,118.95,130.0,128.57,129.25,108.41,105.0,112.28,161.14,187.5,189.09,200.0,185.0,186.67,200.0,185.0,186.96,173.86,187.5,156.09,147.62,157.5,164.32,178.33
70.0,70.0,62.0,93.41,123.06,121.68,124.93,140.82,146.54,163.65,200.0,63.5,68.3,67.75,290.0,272.28,291.03,307.27,278.81,230.88,227.5,226.7,226.7,105.0,115.71,105.0,323.41,328.13,331.72,277.22,286.77,307.48,317.8,305.0,97.27,120.0,115.0,118.95,300.0,264.29,281.25,310.68,295.5,289.44,289.44,187.5,189.09,200.0,350.0,350.0,200.0,380.0,402.45,474.7,390.86,397.59,395.48,433.77,517.19,462.9
5.51,5.56,5.01,4.82,5.07,5.15,5.33,5.17,5.16,5.14,5.07,5.32,5.48,4.71,4.88,5.51,5.5,4.88,4.65,4.6,4.7,4.97,5.73,6.81,6.88,5.49,5.01,5.57,5.75,5.75,5.93,6.28,6.52,6.66,6.7,6.7,6.72,6.81,6.75,6.75,6.75,7.83,8.12,8.1,8.1,8.22,8.25,8.25,6.79,6.67,6.67,7.0,7.61,7.44,7.22,397.59,395.48,433.77,517.19,462.9
1.28,1.28,1.24,1.25,1.27,1.31,1.32,1.33,1.33,1.33,1.32,1.33,1.35,1.35,1.33,1.32,1.32,1.33,1.35,1.35,1.45,1.47,1.63,1.64,1.61,1.61,1.57,1.57,1.59,1.64,1.67,1.78,1.84,1.84,1.83,1.81,1.86,1.89,1.9,1.92,1.96,1.97,2.04,2.12,2.18,2.2,2.22,2.22,2.22,2.22,2.2,2.19,2.19,2.19,2.21,2.28,2.4,2.4,2.43,2.46
7.0,6.55,6.0,6.0,5.35,5.0,5.0,4.32,4.0,4.0,4.0,4.4,4.8,4.85,5.5,5.97,7.45,8.23,8.0,8.0,8.0,8.0,9.25,13.0,13.0,14.0,14.17,14.5,14.75,15.12,14.77,14.0,14.0,1.84,1.83,1.81,16.0,15.74,14.65,12.67,13.0,13.18,14.0,2.12,15.0,14.78,14.13,14.0,12.5,12.0,12.0,11.0,9.28,9.0,9.75,10.0,2.4,2.4,2.43,2.46
33.73,34.84,39.1,39.26,31.3,29.92,32.4,32.81,32.86,34.84,36.01,45.74,49.42,47.17,45.13,43.65,39.46,39.06,43.11,48.95,51.81,52.68,61.55,67.41,69.36,68.48,67.05,77.84,83.25,80.43,84.09,90.41,90.18,78.66,78.02,76.65,81.68,83.75,83.46,81.42,77.2,74.74,74.39,74.0,74.85,72.6,70.58,71.49,72.33,72.25,73.2,75.81,60.61,52.08,49.55,51.66,51.66,51.39,55.31,71.52
88.96,85.4,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,91.45,96.0,96.0,97.5,105.91,106.0,106.0,105.13,102.0,102.55,106.0,102.0,108.65,112.1,102.0,104.09,106.18,106.0,106.0,107.36,108.5,113.41,110.0,110.0,110.0,110.0,110.0,113.91,120.0,120.0,140.73,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,165.82,168.0,168.0,168.0,168.0,168.0,145.14
1.4,1.4,1.4,1.4,1.4,86.0,86.0,86.0,86.0,86.0,86.0,91.45,0.55,0.57,0.57,0.57,0.57,106.0,105.13,102.0,102.55,106.0,102.0,108.65,0.73,0.72,0.73,106.18,106.0,106.0,107.36,108.5,113.41,110.0,110.0,110.0,110.0,0.34,0.39,0.38,120.0,140.73,144.0,144.0,144.0,144.0,1.2,1.2,0.66,0.36,0.44,0.48,144.0,165.82,168.0,168.0,168.0,168.0,168.0,145.14
19.7,20.49,21.25,21.25,22.54,24.81,24.33,23.87,22.81,23.62,24.94,25.63,26.25,26.72,26.72,27.28,27.49,26.81,26.72,26.25,26.72,26.59,27.25,26.43,28.19,27.75,31.88,32.89,34.28,32.5,30.78,30.33,30.59,30.68,31.48,32.18,31.36,37.61,37.81,38.34,37.92,38.44,36.31,35.57,34.87,36.5,35.41,33.96,33.75,34.0,34.0,35.13,36.61,36.28,34.37,30.91,31.89,32.0,31.02,30.65
10.96,10.82,10.75,10.75,10.75,10.5,9.66,9.61,9.97,9.88,10.83,9.53,9.64,9.5,9.53,9.55,9.65,9.88,9.95,9.57,9.69,9.81,10.0,9.8,9.98,10.04,10.06,10.21,10.09,10.22,9.92,9.66,9.69,9.93,10.2,10.34,9.96,10.47,10.31,10.14,10.63,10.84,10.51,10.45,10.39,11.0,10.65,10.46,10.32,10.5,10.5,10.44,10.33,10.25,10.75,10.59,10.54,10.34,10.14,10.24
266.97,265.28,264.39,271.51,267.83,251.46,247.77,224.62,145.0,147.5,146.79,210.0,224.13,221.88,211.25,223.64,244.29,263.75,216.74,287.62,322.73,373.75,390.63,450.0,510.71,451.88,440.65,468.86,420.0,374.09,385.23,385.0,400.0,378.57,384.09,450.0,407.5,409.48,443.15,415.72,422.73,417.28,420.0,543.37,678.0,765.47,768.62,780.76,742.64,811.32,800.82,756.22,613.67,608.61,729.06,716.95,693.93,682.19,696.07,714.06
63.67,67.62,67.53,67.24,66.89,67.05,65.27,69.68,71.3,74.59,79.19,81.0,82.15,76.1,83.17,89.42,94.07,94.17,98.52,110.67,125.03,136.64,145.62,140.35,153.21,162.5,161.02,162.57,163.3,141.2,150.82,151.13,153.23,145.38,150.65,151.7,158.0,173.26,177.4,167.37,173.22,178.22,172.85,163.55,163.49,161.38,160.36,161.01,162.13,158.09,146.31,128.75,117.84,115.77,122.06,129.42,128.4,128.0,130.57,134.29
23.5,24.15,25.5,67.24,66.89,67.05,22.23,22.87,23.64,26.4,27.96,30.98,34.34,34.5,34.7,31.97,28.68,26.39,28.38,35.09,44.5,44.73,45.5,45.75,48.07,48.13,46.48,53.28,59.25,56.99,57.95,63.06,63.49,56.39,56.25,54.95,55.5,60.53,65.58,69.38,64.03,60.35,58.67,58.28,59.07,58.8,57.5,57.5,57.5,57.92,57.83,60.78,46.21,39.35,36.73,39.76,39.79,39.45,43.41,56.23
35.0,35.0,55.48,78.0,95.49,67.81,57.99,31.16,35.0,19.97,16.8,30.98,34.34,34.5,34.7,31.97,23.62,21.88,41.57,40.0,40.0,40.0,40.0,40.0,40.0,48.13,46.48,53.28,59.25,41.15,45.0,50.0,20.0,48.57,50.0,50.0,55.5,60.53,65.58,69.38,64.03,60.35,37.33,36.53,38.74,43.5,54.55,78.75,57.5,57.92,45.0,60.78,50.0,114.71,127.5,98.26,101.43,82.5,78.57,53.16
2.0,2.0,2.0,2.0,2.0,67.81,57.99,31.16,35.0,19.97,16.8,30.98,34.34,2.5,2.5,2.5,2.5,21.88,41.57,40.0,40.0,40.0,40.0,40.0,2.5,2.5,2.5,2.5,59.25,41.15,45.0,50.0,20.0,48.57,50.0,50.0,55.5,60.53,65.58,69.38,64.03,60.35,37.33,36.53,38.74,43.5,54.55,78.75,57.5,57.92,45.0,60.78,50.0,114.71,127.5,98.26,101.43,82.5,78.57,53.16
