01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.32,1.47,1.4,1.48,1.5,5.25,1.2,1.2,1.24,1.46,1.5,1.39,1.35,1.35,1.35,2.8,2.8,2.8,2.8,2.8,1.35,1.42,1.45,1.4,1.5,1.6,1.6,7.0,7.0,7.82,8.0,8.0,8.2,1.6,1.75,1.8,1.8,1.72,1.7,10.5,10.13,10.0,10.0,11.0,1.8,1.83,1.92,1.83,1.85,2.31,2.3,2.3,2.3,10.5,10.5,10.5,10.5,10.5,2.6,2.6
56.44,81.18,85.47,94.55,115.22,120.0,125.37,135.45,135.25,71.68,31.29,128.01,129.91,135.0,181.67,200.23,215.0,207.93,230.28,250.0,145.45,110.0,110.0,109.13,116.25,145.0,153.91,155.0,155.0,155.0,163.3,149.18,157.44,160.0,94.28,96.18,115.0,107.22,148.57,114.05,120.0,120.0,115.06,121.87,127.84,134.6,148.78,135.0,121.25,114.03,96.96,113.75,131.67,120.0,120.0,128.1,133.3,10.5,2.6,2.6
48.0,48.4,51.43,50.5,51.74,55.0,57.35,56.41,65.0,65.0,72.14,72.5,60.75,55.0,55.0,55.0,54.52,62.25,75.26,83.0,100.0,88.64,87.5,100.0,107.5,85.0,91.25,91.25,90.0,92.95,90.45,95.0,95.0,93.75,85.0,85.0,80.0,78.68,75.0,66.67,65.0,65.0,68.13,80.0,81.14,81.25,84.42,87.4,97.5,100.0,106.52,115.0,109.78,110.23,100.0,101.74,110.0,105.0,99.55,116.25
56.9,55.0,54.2,55.0,60.87,60.25,60.0,60.45,62.5,63.83,64.71,66.0,62.33,65.0,66.14,75.68,80.71,83.64,88.26,117.38,144.09,135.91,135.0,125.0,113.1,112.5,119.57,126.82,116.0,101.14,97.27,110.0,105.91,94.05,86.14,85.0,80.0,93.07,100.0,96.43,90.0,95.23,100.0,97.17,97.27,100.0,103.64,119.09,123.75,110.0,113.26,118.75,111.52,109.09,109.25,121.22,136.43,135.0,153.86,171.83
28.2,27.37,27.31,55.0,60.87,60.25,60.0,28.2,28.2,28.2,27.33,28.15,28.63,29.3,29.32,28.2,28.2,28.2,28.2,28.2,35.0,36.42,42.9,43.03,28.2,28.2,28.2,28.2,64.43,76.5,76.5,76.5,78.77,84.93,77.01,77.96,81.28,71.55,100.0,96.43,90.0,95.23,100.0,97.17,84.0,84.0,78.1,75.18,74.06,73.09,68.22,42.0,111.52,109.09,109.25,121.22,47.18,41.23,36.3,35.4
18.89,23.8,28.13,30.0,28.7,23.5,16.52,15.91,17.0,20.0,20.0,20.0,30.0,32.0,31.59,30.0,30.0,30.0,25.63,22.5,29.64,30.18,34.0,49.29,60.0,54.0,48.35,39.23,33.25,22.73,24.73,32.0,30.14,22.98,20.64,50.26,60.0,57.11,53.52,59.75,54.25,46.0,53.14,56.0,56.0,58.0,60.0,60.0,61.5,70.0,67.83,60.0,52.17,50.0,50.0,50.0,45.71,35.5,49.18,49.52
1.55,1.6,1.76,2.7,3.0,2.63,2.25,2.52,2.54,2.5,2.5,2.32,2.24,2.23,2.22,2.08,2.19,2.07,2.42,2.19,2.44,2.33,2.29,2.39,2.5,2.29,2.25,2.02,2.05,2.0,1.57,1.8,2.2,1.97,1.79,2.23,2.61,2.76,2.65,2.54,2.2,2.4,2.73,2.46,3.0,3.0,2.66,2.14,1.95,2.08,2.16,2.2,2.06,2.1,2.21,2.9,2.21,1.85,2.1,2.1
93.68,148.13,150.0,147.5,141.3,150.0,117.83,115.45,82.5,81.52,71.19,68.33,87.5,80.0,83.82,124.32,194.76,157.5,76.09,80.0,69.32,125.0,172.5,170.71,130.0,121.25,91.3,94.32,96.43,60.23,77.27,97.5,95.23,137.14,108.86,43.48,60.0,128.95,122.22,2.54,2.2,2.4,2.73,2.46,3.0,3.0,2.66,2.14,1.95,2.08,2.16,2.2,2.06,2.1,2.21,2.9,2.21,1.85,2.1,2.1
2.95,148.13,1.98,1.98,1.98,1.98,1.27,1.1,1.15,1.15,71.19,68.33,87.5,80.0,1.25,1.09,1.0,1.0,1.0,1.0,1.0,1.41,1.94,2.27,2.1,2.44,2.24,1.58,1.31,1.34,1.45,2.16,2.72,3.05,2.66,1.53,2.06,2.32,1.52,1.25,1.17,1.44,1.92,2.45,2.33,2.19,1.94,1.71,1.96,1.96,2.52,3.11,3.02,2.92,2.58,2.54,2.61,3.15,3.15,2.1
152.06,151.87,151.06,150.96,149.88,149.32,150.53,151.49,151.63,155.63,184.37,196.93,185.0,187.21,191.75,184.6,182.49,194.68,211.12,219.22,234.73,245.31,275.27,268.02,274.2,284.92,290.08,299.21,296.82,302.82,311.79,312.48,307.92,289.21,294.38,311.11,317.63,316.0,317.26,313.89,307.24,301.43,305.18,301.08,288.44,283.06,280.0,283.65,277.24,271.38,276.02,280.35,259.75,240.79,246.04,229.31,207.13,230.83,236.58,238.58
2.34,2.38,2.5,2.52,2.58,2.68,2.88,3.0,151.63,155.63,2.75,2.61,2.63,2.8,2.86,2.88,2.7,2.52,2.46,2.35,234.73,245.31,275.27,268.02,4.2,4.21,4.17,4.59,5.14,4.94,4.7,4.68,4.65,289.21,4.4,4.79,5.35,5.31,5.55,5.78,5.39,5.63,5.3,301.08,288.44,283.06,3.0,3.0,277.24,3.0,3.0,2.95,2.7,2.47,2.2,229.31,207.13,230.83,236.58,2.4
376.3,374.1,364.23,347.38,340.95,358.87,379.87,371.66,374.54,370.26,381.4,431.19,411.29,406.04,448.55,475.5,491.47,442.22,439.1,489.47,470.9,452.56,468.38,500.06,531.34,575.28,620.47,640.34,716.87,749.77,791.94,901.8,967.35,1011.39,1055.11,1264.83,1307.27,1338.3,1138.26,1082.91,1103.67,1195.72,1215.17,1199.8,1203.72,1079.1,869.84,872.49,859.9,971.74,1007.79,1009.7,957.07,879.29,730.92,753.25,746.2,752.59,786.84,794.97
62.2,64.93,64.81,63.63,63.93,65.68,63.8,66.59,70.8,72.79,73.25,73.73,75.13,74.6,77.77,81.65,491.47,442.22,439.1,489.47,126.0,135.56,146.0,132.5,149.0,145.5,150.83,153.04,152.0,138.08,791.94,901.8,967.35,1011.39,145.5,150.31,161.3,178.11,188.0,1082.91,1103.67,1195.72,1215.17,1199.8,1203.72,148.5,142.09,140.82,138.67,138.58,136.24,1009.7,957.07,879.29,730.92,753.25,110.67,111.0,113.95,115.07
19.16,19.02,19.35,19.22,18.98,18.8,20.39,20.39,20.4,19.55,18.48,18.23,18.46,18.47,18.94,18.85,18.72,18.13,18.08,17.5,17.5,18.63,18.71,19.25,19.86,20.11,19.87,20.21,19.72,19.68,19.44,18.5,18.5,21.85,21.81,22.12,21.42,21.65,22.5,25.13,26.36,25.6,23.29,24.35,27.27,27.14,28.98,28.77,28.2,28.57,28.85,28.52,28.47,28.22,27.95,28.0,110.67,31.0,28.0,28.0
1.56,1.63,1.65,1.45,18.98,18.8,20.39,20.39,20.4,1.52,1.14,0.76,0.73,0.89,0.98,2.25,2.64,18.13,18.08,17.5,17.5,1.25,1.2,1.31,1.55,2.25,2.12,2.38,19.72,19.68,19.44,18.5,18.5,21.85,1.25,1.59,2.0,2.0,2.16,1.97,26.36,25.6,23.29,24.35,27.27,27.14,4.69,4.42,2.29,2.13,1.93,1.93,1.8,2.25,2.38,2.03,1.74,2.88,3.72,3.4
1.56,1.63,1.65,1.45,18.98,18.8,20.39,20.39,20.4,1.52,1.14,77.81,80.43,84.6,85.05,2.25,2.64,18.13,18.08,17.5,42.0,48.25,1.2,1.31,1.55,2.25,2.12,2.38,19.72,19.68,19.44,18.5,18.5,66.0,59.01,57.36,60.47,60.86,2.16,1.97,26.36,25.6,23.29,24.35,27.27,27.14,60.0,71.15,95.43,60.0,60.0,60.0,1.8,2.25,2.38,2.03,1.74,53.4,50.8,3.4
56.76,56.76,56.74,1.45,18.98,18.8,20.39,20.39,20.4,1.52,53.93,54.69,54.63,58.62,56.88,2.25,2.64,18.13,18.08,17.5,87.15,94.0,78.09,77.93,72.26,84.4,2.12,2.38,19.72,19.68,19.44,18.5,18.5,106.67,107.86,105.92,110.67,105.99,2.16,1.97,26.36,25.6,23.29,24.35,27.27,110.01,116.35,105.59,98.59,109.78,103.04,94.23,1.8,2.25,2.38,2.03,1.74,74.64,73.16,79.27
