01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.89,2.35,1.78,1.44,1.63,132.94,134.17,1.5,1.83,1.98,2.1,1.9,1.7,1.57,1.43,1.53,1.55,1.7,1.63,1.65,1.8,1.7,0.72,1.68,2.25,2.85,2.75,1.83,1.75,1.62,1.9,2.18,2.08,1.99,2.41,2.36,2.07,2.7,2.08,2.35,1.71,1.89,2.39,2.54,2.67,2.37,2.3,1.95,2.55,2.58,2.82,3.62,3.5,2.92,3.07,2.5,2.42,2.52,2.99,4.43
41.22,40.0,40.0,41.5,42.5,40.5,40.75,40.0,41.0,42.0,42.5,41.5,40.0,42.0,42.0,45.0,45.0,45.0,1.63,70.0,113.0,100.0,100.0,110.0,100.0,100.0,95.0,97.5,96.25,70.0,78.75,80.0,80.0,72.65,67.5,63.5,58.0,80.0,68.35,70.0,75.0,70.0,75.33,79.5,80.0,80.0,80.0,90.0,85.0,95.25,90.0,76.25,75.0,70.0,72.5,77.5,85.0,85.0,92.5,100.0
16.78,16.97,18.8,18.04,16.65,20.43,21.15,22.28,18.42,17.61,18.6,18.3,20.31,22.04,19.98,19.78,20.6,18.21,19.92,18.68,21.41,19.33,23.32,21.92,24.28,28.56,27.71,24.24,23.26,26.25,23.88,24.5,24.28,23.79,23.63,30.44,32.88,31.45,27.24,28.39,31.92,31.77,32.6,31.54,34.39,33.45,37.28,35.49,34.9,35.4,36.08,38.13,35.25,34.81,34.04,35.45,32.76,29.79,28.08,34.66
33.31,31.95,25.78,27.33,24.03,28.56,28.75,24.97,31.04,22.71,25.17,20.0,27.79,30.42,30.22,35.63,26.5,26.67,23.13,25.94,28.33,28.7,28.48,34.95,28.73,37.31,38.11,28.97,29.08,29.59,31.45,30.44,36.83,42.53,44.29,40.11,47.27,37.07,38.17,39.86,36.37,29.28,38.41,41.0,45.35,45.33,45.67,42.77,40.53,41.12,44.3,45.35,47.98,46.36,51.14,47.35,47.18,47.29,48.33,47.27
143.83,145.0,145.0,140.0,142.0,141.0,141.0,145.0,152.0,162.0,175.0,192.5,160.0,175.0,175.0,170.0,175.0,190.0,198.0,210.0,235.0,255.0,270.0,230.0,260.0,270.0,270.0,285.0,270.0,290.0,285.0,290.0,295.0,280.0,275.0,292.5,300.0,287.5,295.0,295.0,283.0,29.28,270.0,270.0,272.5,270.0,267.5,267.5,260.0,248.35,237.5,247.5,217.5,200.0,51.14,47.35,47.18,47.29,48.33,47.27
395.68,392.78,383.93,352.73,355.55,373.53,375.05,365.14,375.72,399.46,429.47,487.63,471.25,471.25,516.66,528.93,525.45,438.71,448.63,489.74,483.98,453.25,469.13,491.96,537.79,616.0,652.41,666.02,735.74,779.74,838.03,942.03,1038.62,1151.7,1246.65,1417.58,1428.66,1451.94,1258.83,1209.68,1186.08,1235.76,1214.16,1205.54,1216.54,1109.92,911.47,971.02,968.41,1053.72,1055.19,1040.7,1016.58,891.81,782.75,795.9,781.44,790.38,842.5,932.68
74.6,79.14,73.1,77.73,70.78,69.76,68.63,71.23,72.0,70.2,70.0,74.5,82.34,87.35,88.59,528.93,60.78,58.7,75.95,77.4,77.38,77.75,89.85,95.0,117.93,118.3,142.18,123.77,100.5,110.31,108.72,111.08,130.22,125.63,164.95,148.36,152.25,150.35,141.15,151.0,169.75,140.6,118.25,141.73,141.05,138.03,146.05,143.85,147.5,144.8,147.89,161.67,155.28,128.09,123.37,115.0,105.0,119.24,118.35,116.07
78.04,78.5,69.29,70.0,62.0,67.7,68.0,65.0,60.0,56.0,63.0,65.0,80.0,89.0,81.0,79.0,75.0,73.25,91.65,79.35,108.0,106.0,115.0,100.0,113.35,122.0,99.5,111.25,99.5,88.35,100.0,115.0,116.65,116.65,123.35,128.75,136.25,146.65,165.0,162.0,145.0,140.0,160.0,172.5,171.25,186.65,158.6,143.85,258.35,275.0,250.0,165.0,165.0,150.0,123.37,115.0,200.0,145.0,150.0,150.0
78.0,78.9,68.81,70.0,62.0,65.0,65.0,80.0,80.0,56.0,55.0,55.0,78.0,88.0,79.0,78.0,73.0,72.5,91.65,76.65,106.0,106.0,115.0,98.0,111.65,118.0,98.5,110.0,98.75,87.65,100.0,115.0,116.0,115.0,121.65,128.75,133.75,146.65,160.0,157.5,141.65,130.0,150.0,161.65,168.75,186.65,158.6,237.5,255.0,273.33,240.0,158.35,165.0,150.0,123.37,115.0,200.0,145.0,150.0,150.0
178.83,191.85,184.9,167.0,200.0,165.0,165.0,160.0,185.0,212.0,55.0,55.0,190.0,150.0,150.0,78.0,73.0,150.0,150.0,200.0,190.0,235.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,250.0,300.0,250.0,187.5,250.0,266.67,250.0,300.0,300.0,316.65,168.75,225.0,275.0,250.0,255.0,400.0,240.0,375.0,165.0,150.0,123.37,115.0,200.0,145.0,150.0,150.0
