01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
1.3,1.3,1.37,1.5,1.5,1.35,1.29,1.29,1.25,1.35,1.47,1.39,1.45,1.55,1.62,1.6,1.72,1.8,1.67,1.5,1.43,1.25,1.3,1.4,1.63,1.75,1.89,1.78,1.79,1.55,1.5,1.5,1.43,1.37,1.76,1.99,1.88,1.59,1.54,1.74,1.9,1.71,1.84,1.8,1.68,1.48,1.41,1.7,1.8,1.95,2.35,2.4,2.12,1.88,1.8,1.98,1.9,1.8,1.88,2.31
70.3,67.2,65.14,62.5,63.33,63.91,66.13,65.61,66.0,66.91,62.72,63.06,63.28,67.83,67.88,67.86,74.4,81.5,73.62,75.65,77.85,87.22,88.85,90.38,102.56,103.08,115.43,115.32,114.84,115.0,122.04,125.22,112.54,123.22,125.41,127.28,104.9,93.93,93.91,93.97,94.01,94.06,86.04,83.0,83.0,83.0,83.0,82.55,91.5,88.5,88.96,90.0,106.65,128.02,128.22,121.74,125.73,126.0,129.36,137.71
157.04,172.9,180.0,167.2,175.26,171.75,176.35,172.68,163.85,173.91,172.69,173.0,130.24,144.65,171.59,187.32,189.95,182.5,164.35,183.75,197.27,177.05,171.25,174.57,165.69,142.41,170.0,190.71,223.05,200.91,174.09,178.75,182.73,207.62,192.5,184.57,162.5,157.37,210.08,259.52,269.0,241.59,232.86,220.0,220.0,83.0,220.0,229.09,230.0,230.0,230.0,250.0,250.0,250.0,250.0,238.52,243.57,215.0,211.59,231.9
1.66,1.66,1.58,1.66,1.55,1.35,1.04,0.96,0.91,0.91,1.03,1.17,1.16,1.36,1.91,2.07,1.8,1.65,1.35,1.0,1.0,1.02,1.04,1.08,1.25,1.39,1.51,1.61,1.91,2.02,1.83,1.71,1.66,1.51,1.5,1.5,1.49,1.46,1.52,1.74,1.87,1.66,1.66,1.57,1.61,1.89,1.97,1.64,1.35,1.52,1.66,1.8,1.97,2.08,2.2,1.81,1.66,1.38,1.33,1.33
161.09,162.75,167.38,166.36,159.24,159.72,152.79,156.02,158.93,161.32,172.14,198.82,191.58,200.0,191.02,188.41,200.12,198.75,199.5,222.79,234.8,244.43,267.14,279.24,281.9,275.63,276.09,281.82,280.36,276.18,276.43,281.93,291.66,275.48,271.59,266.3,285.89,281.25,279.35,291.19,292.06,292.5,284.52,295.0,291.02,280.0,286.82,290.0,277.05,278.5,285.0,280.0,273.7,269.55,270.0,270.0,1.66,1.38,1.33,1.33
83.13,88.35,92.08,94.92,94.64,94.55,94.72,94.4,93.55,90.02,86.86,88.48,98.47,104.02,106.01,104.15,96.62,98.03,103.31,108.09,109.56,109.26,117.83,120.29,122.57,129.98,144.86,143.12,149.46,159.03,162.67,165.06,167.31,167.09,173.24,177.1,171.39,170.05,170.29,176.99,182.7,182.91,183.02,186.89,187.35,168.58,160.37,162.18,166.1,166.2,168.28,174.34,183.53,185.57,179.21,172.61,175.01,178.33,176.14,164.74
14.12,14.67,15.11,15.55,15.53,14.38,14.68,14.62,14.9,15.4,15.33,15.8,14.83,14.4,14.11,14.81,14.8,15.0,14.73,17.16,17.97,18.96,20.0,22.08,22.5,22.07,21.33,20.43,20.0,20.0,20.4,20.5,20.3,20.16,21.02,22.05,21.42,21.42,21.89,22.62,23.0,24.27,23.45,21.93,22.3,22.44,23.0,22.89,22.5,22.91,22.42,24.73,25.16,25.28,25.5,24.73,22.43,22.75,22.34,22.21
33.65,32.0,29.86,29.73,30.21,29.5,28.36,29.02,30.29,30.0,30.71,31.0,30.3,30.29,30.27,29.0,29.0,28.5,29.3,31.52,32.98,35.91,37.5,39.65,41.43,41.5,37.76,36.77,36.67,38.68,39.15,39.83,40.44,40.02,41.41,40.04,41.17,43.84,47.74,48.27,50.25,50.82,50.48,49.49,46.89,45.5,43.0,42.55,42.0,41.0,39.61,39.25,39.17,35.18,35.0,33.27,33.0,32.5,35.66,39.88
3.39,3.33,3.27,3.55,3.85,3.77,3.76,3.75,3.7,3.65,2.92,2.95,3.02,3.24,3.11,3.41,3.32,3.25,3.84,4.1,4.42,4.85,3.99,4.0,4.17,4.08,4.09,4.58,4.92,5.45,5.55,5.5,5.72,5.14,5.35,5.38,5.37,5.76,6.0,6.46,6.77,6.77,6.63,6.54,6.57,5.92,3.98,3.76,4.18,4.18,4.02,4.56,4.25,3.95,3.9,3.64,3.5,3.41,3.59,4.09
271.48,274.5,286.43,275.13,275.74,267.13,243.2,239.62,245.5,263.65,260.59,260.0,246.76,240.44,246.1,232.61,229.26,229.13,219.78,237.75,250.0,243.18,240.0,240.61,248.5,4.08,4.09,4.58,4.92,5.45,5.55,5.5,5.72,5.14,5.35,5.38,5.37,5.76,6.0,6.46,6.77,6.77,6.63,6.54,6.57,5.92,3.98,3.76,4.18,4.18,4.02,4.56,4.25,3.95,3.9,3.64,3.5,3.41,3.59,4.09
