01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.33,3.0,2.88,3.05,3.18,3.14,3.14,3.14,3.17,3.14,3.0,2.99,3.0,3.0,2.27,3.0,2.38,2.27,2.33,2.51,2.51,2.47,2.09,1.87,1.95,2.07,2.1,2.12,2.51,2.53,2.51,2.8,2.92,2.97,3.04,2.61,2.44,2.72,2.64,2.54,2.58,2.64,2.4,2.6,2.88,3.16,2.88,2.7,2.56,2.65,2.84,3.11,2.98,2.87,3.3,3.01,3.13,2.82,3.11,3.23
120.39,119.18,119.66,128.25,132.25,131.44,131.94,126.44,131.25,131.64,138.32,139.88,145.53,159.38,163.71,163.23,150.71,131.63,117.07,128.82,135.85,146.77,161.25,159.3,183.81,182.25,198.34,196.3,172.13,171.03,165.46,173.07,178.74,183.45,181.41,183.46,189.38,179.65,169.73,163.93,159.47,150.7,157.61,157.99,154.49,157.35,167.68,181.19,185.18,178.72,194.95,194.86,201.89,198.81,205.22,221.63,225.24,236.59,258.85,280.35
2.0,2.0,2.0,2.0,2.11,2.1,1.93,1.88,2.0,2.19,1.9,2.16,2.1,1.9,1.8,1.8,2.07,1.96,2.09,2.08,2.4,2.44,2.15,159.3,1.89,1.92,1.89,1.89,1.89,1.9,1.89,1.89,1.89,1.89,181.41,1.89,1.89,1.89,1.89,1.89,1.89,1.89,157.61,157.99,154.49,1.89,1.89,1.89,1.89,1.97,1.99,2.29,2.31,2.31,2.51,2.7,2.7,2.7,2.93,2.83
2.31,2.3,2.27,2.08,1.92,1.86,1.87,2.08,1.83,2.12,2.25,2.05,2.09,2.19,2.13,1.88,1.88,2.04,2.12,2.08,2.14,2.21,2.1,2.11,2.01,1.86,2.0,1.94,1.83,1.94,1.9,2.05,2.15,1.67,1.93,2.11,2.22,2.22,2.33,3.07,2.53,2.35,2.45,2.49,2.5,2.76,2.83,2.72,2.78,3.13,3.09,3.24,3.48,3.14,3.48,3.29,3.57,3.22,3.4,3.76
2.03,1.87,1.87,1.86,2.0,2.0,2.0,2.11,2.07,2.12,2.29,2.32,2.29,2.34,1.94,2.16,2.26,2.43,2.29,2.23,2.2,2.21,2.32,2.27,2.28,2.36,2.46,2.47,2.56,2.66,2.72,2.73,2.99,3.3,3.19,3.07,3.13,3.5,3.5,6.0,7.5,2.65,2.88,4.0,3.79,3.62,3.86,5.41,4.74,5.81,5.14,3.85,3.5,3.5,3.5,3.5,9.38,14.0,4.93,3.5
280.3,264.65,269.19,254.4,236.72,243.42,247.13,239.29,239.46,243.79,245.16,259.98,253.71,246.85,250.72,262.72,283.56,281.9,297.04,321.29,344.83,341.01,347.64,343.6,342.62,358.1,378.58,391.29,404.1,413.64,462.12,556.86,659.16,688.99,703.13,761.08,762.52,762.78,723.32,683.96,680.89,636.45,630.82,670.52,686.59,626.77,531.36,589.73,628.89,628.92,594.42,586.33,602.25,617.93,575.0,586.75,572.46,571.75,588.11,626.51
280.3,264.65,269.19,254.4,236.72,243.42,247.13,2.17,2.5,243.79,245.16,259.98,253.71,246.85,250.72,262.72,283.56,281.9,2.25,2.5,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.93,2.0,2.05,2.0,2.11,2.0,2.53,2.05,2.2,2.5,2.5,2.5,2.0,617.93,575.0,2.08,2.06,2.06,588.11,626.51
3.5,3.91,4.83,4.16,4.03,3.6,247.13,2.17,2.5,243.79,245.16,259.98,253.71,3.8,4.55,4.7,4.31,2.69,3.22,3.78,4.07,4.65,4.05,4.2,4.34,4.8,4.97,4.95,4.88,4.78,5.16,5.13,5.07,4.85,5.65,5.45,5.15,5.02,5.47,4.92,4.63,4.0,4.38,5.52,7.13,5.86,5.7,4.88,3.68,3.89,3.65,3.71,3.88,4.03,3.88,4.04,4.52,4.53,4.21,3.1
3.5,3.91,4.83,4.16,4.03,132.5,125.0,2.17,2.5,243.79,245.16,259.98,253.71,3.8,4.55,4.7,4.31,238.25,208.45,220.0,4.07,4.65,4.05,4.2,4.34,4.8,4.97,4.95,4.88,4.78,5.16,250.0,5.07,4.85,5.65,5.45,5.15,5.02,5.47,4.92,4.63,305.0,4.38,5.52,7.13,5.86,5.7,4.88,3.68,3.89,3.65,590.0,550.0,300.0,245.0,252.78,280.0,4.53,4.21,3.1
1.06,1.07,1.12,0.97,1.03,1.09,1.07,1.09,1.02,0.99,0.98,0.98,0.97,1.07,1.09,1.04,0.91,0.88,1.03,1.27,1.65,1.73,1.67,1.79,1.83,1.8,1.78,1.35,1.25,1.36,1.53,1.68,1.78,1.85,1.85,1.67,1.59,1.58,1.57,1.57,1.7,1.82,2.06,2.51,2.72,2.69,2.37,2.37,2.35,2.07,2.11,2.13,2.32,2.37,2.37,2.24,2.22,2.16,2.02,1.83
31.32,33.15,34.63,35.38,34.22,32.84,32.2,33.82,34.51,35.43,37.43,41.86,45.5,50.15,50.4,50.68,49.25,44.04,41.66,45.43,51.55,58.91,70.85,72.16,72.7,72.44,75.13,81.71,81.51,83.85,81.38,82.69,84.13,83.22,81.29,78.64,80.63,82.67,85.5,84.86,82.26,80.45,74.76,71.14,74.52,79.91,77.46,76.26,75.15,78.43,79.86,78.45,66.13,52.77,48.85,48.4,48.71,48.6,48.68,50.6
1258.12,1302.5,1319.84,1291.67,1315.94,1360.83,1434.64,1339.17,1300.37,1367.84,1448.57,1554.17,1607.97,1552.67,1601.29,1612.88,1575.6,1559.7,1651.73,1883.85,2300.76,2480.29,2682.1,2908.25,2797.59,3088.96,3311.8,3408.37,3552.46,3508.75,3515.92,3463.83,3575.57,3601.62,3612.6,3656.36,3646.95,3565.12,3406.59,2620.56,2395.55,2205.76,2275.4,2322.09,2165.77,2058.33,1896.49,1827.5,1783.33,1823.33,1633.33,1585.83,1499.28,1401.74,1395.0,48.4,48.71,48.6,48.68,50.6
76.09,75.0,95.24,96.82,95.22,90.0,97.83,95.23,97.5,95.0,90.24,94.5,97.65,100.0,120.0,137.27,140.0,123.75,105.65,95.14,100.55,105.0,106.25,119.13,103.33,120.0,143.7,124.77,124.05,122.5,136.76,148.75,142.65,131.43,125.0,133.04,139.52,145.79,175.74,190.86,190.0,163.64,161.43,176.74,182.27,160.0,160.0,169.09,170.0,189.44,200.0,215.0,206.96,224.55,225.0,213.91,198.1,192.5,188.41,194.67
300.0,300.0,300.0,300.0,300.0,325.0,317.39,329.41,286.67,292.86,385.0,368.18,306.52,262.5,250.0,250.0,254.76,255.0,255.0,256.43,279.4,284.55,280.0,263.48,202.86,315.0,327.53,330.99,353.92,353.81,358.57,370.5,383.67,345.71,328.33,390.62,430.65,512.09,526.74,340.0,190.0,163.64,161.43,176.74,182.27,160.0,160.0,169.09,170.0,189.44,200.0,215.0,206.96,450.0,225.0,625.31,640.72,650.49,639.1,675.55
58.93,60.38,61.4,60.52,58.74,62.75,60.09,61.61,64.38,66.17,66.48,67.25,68.65,69.5,72.59,78.55,80.48,82.0,87.87,91.76,104.5,113.59,124.52,125.78,132.48,145.5,146.17,138.75,152.45,139.29,136.7,136.91,139.86,144.1,140.75,133.26,156.25,163.42,175.35,166.52,160.25,153.0,145.5,144.57,147.5,139.0,141.83,145.77,150.5,150.0,139.57,123.25,112.87,110.18,111.0,109.52,109.45,106.67,110.0,109.98
