01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
12.0,12.0,12.0,14.75,5.81,5.75,5.17,4.25,4.0,3.83,3.63,3.28,21.5,17.13,20.0,4.6,6.43,4.17,3.64,4.25,4.22,4.85,4.75,4.78,22.0,22.21,22.28,22.28,4.5,4.5,4.69,4.0,4.19,4.5,5.3,6.1,24.14,22.67,18.74,18.74,6.66,7.11,6.82,5.93,6.18,6.34,6.4,7.23,23.83,23.99,24.11,25.75,6.1,7.0,7.75,9.78,11.0,11.0,10.95,22.75
1.0,1.48,2.57,2.55,1.94,2.0,5.17,4.25,4.0,3.83,3.63,3.28,4.5,4.5,4.5,5.36,6.43,4.17,3.64,4.25,4.22,4.85,4.75,4.78,3.25,3.63,4.0,22.28,4.5,4.5,4.69,4.0,4.19,4.5,5.3,6.1,24.14,4.5,4.5,3.48,3.0,3.0,6.82,5.93,6.18,6.34,6.4,7.23,23.83,23.99,24.11,25.75,6.1,7.0,7.75,9.78,11.0,11.0,10.95,22.75
4.5,4.82,6.7,6.38,6.43,7.0,5.17,4.25,4.0,3.83,3.63,3.28,9.25,9.5,10.28,13.08,6.43,4.17,3.64,4.25,4.22,4.85,4.75,4.78,8.13,9.91,10.0,22.28,4.5,4.5,4.69,4.0,4.19,4.5,5.3,6.1,24.14,8.83,9.75,9.44,9.75,10.25,6.82,5.93,6.18,6.34,6.4,7.23,23.83,23.99,24.11,25.75,6.1,7.0,7.75,9.78,11.0,11.0,10.95,22.75
6.93,7.09,8.57,8.38,8.43,9.0,5.17,4.25,4.0,3.83,3.63,3.28,11.5,12.0,13.55,15.3,6.43,4.17,3.64,4.25,4.22,4.85,4.75,4.78,10.25,11.56,12.0,22.28,4.5,4.5,4.69,4.0,4.19,4.5,5.3,6.1,24.14,11.0,11.87,10.9,11.5,12.5,6.82,5.93,6.18,6.34,6.4,7.23,23.83,23.99,24.11,25.75,6.1,7.0,7.75,9.78,11.0,11.0,10.95,22.75
45.0,45.5,45.5,49.8,52.61,53.3,52.12,51.5,4.0,53.0,55.0,55.0,11.5,12.0,60.91,64.0,72.34,72.34,76.15,98.0,122.0,138.0,122.5,118.93,110.18,104.26,104.26,104.07,104.0,92.96,84.57,92.28,92.0,86.77,79.02,75.28,74.25,82.46,89.53,89.0,84.91,84.91,90.99,91.32,90.1,89.74,93.37,101.5,101.5,97.8,102.32,104.15,101.0,102.23,101.11,104.91,125.63,128.06,147.07,161.87
39.1,39.47,38.77,39.99,42.45,43.25,42.53,42.09,43.67,45.1,45.12,46.09,48.0,49.48,49.29,54.01,59.44,60.28,63.36,78.07,101.64,103.85,102.39,95.76,89.46,86.4,84.7,85.98,82.5,73.38,71.72,77.28,75.01,72.27,65.49,62.51,62.42,69.48,75.61,73.34,70.32,71.52,75.5,75.6,74.63,77.05,81.55,88.49,90.38,85.69,84.14,86.68,83.85,81.53,83.72,91.29,98.6,101.91,110.34,120.97
24.0,39.47,38.77,39.99,42.45,43.25,24.0,24.0,24.0,28.96,24.0,24.0,25.3,30.0,25.36,24.0,42.0,36.0,63.36,78.07,101.64,103.85,30.0,31.04,30.38,30.0,94.04,104.18,111.0,105.27,108.0,77.28,75.01,48.0,48.0,48.0,108.0,114.32,104.12,108.0,100.5,90.0,90.0,75.6,74.63,77.05,81.55,51.0,48.0,56.33,60.0,86.68,83.85,81.53,83.72,91.29,98.6,101.91,62.95,67.81
26.52,31.95,36.48,41.27,42.26,40.0,36.61,34.0,40.0,35.3,29.14,26.0,38.17,44.0,44.0,44.0,44.0,44.0,38.02,30.0,35.09,40.36,37.0,46.09,63.33,59.5,55.74,44.0,40.0,35.91,32.73,41.0,44.0,39.71,31.82,51.74,70.0,66.0,66.39,65.05,58.5,57.93,60.74,74.78,74.64,71.0,68.91,64.0,65.5,70.4,74.0,74.0,56.61,55.36,62.0,64.0,60.19,50.0,50.0,69.52
46.96,66.25,71.43,71.25,83.26,92.5,97.39,93.64,90.0,90.0,54.06,55.3,49.64,52.5,44.0,89.47,100.0,101.47,72.83,67.5,60.83,40.0,37.0,103.29,92.19,40.0,46.3,59.55,72.5,59.77,35.91,50.0,73.18,92.86,100.0,71.74,38.75,68.95,92.61,92.38,105.0,101.59,75.0,89.57,93.86,110.0,137.5,112.73,115.0,104.44,91.52,77.5,84.35,105.0,145.0,142.61,101.9,100.0,122.27,123.1
37.85,31.82,29.29,25.88,23.26,22.0,22.0,25.24,25.0,25.0,20.4,20.35,19.18,21.85,33.0,25.24,21.38,18.67,17.26,17.88,19.0,22.34,27.83,30.84,31.88,27.5,20.22,15.95,13.13,14.05,11.32,14.25,22.05,20.0,20.0,17.83,23.5,28.95,24.0,21.76,24.0,25.0,22.86,35.11,49.09,60.0,57.05,37.39,30.63,34.72,40.22,35.0,40.0,34.77,30.63,27.93,30.95,41.25,47.05,39.88
