01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
50.57,51.91,58.88,62.48,71.56,81.5,0.98,0.98,0.98,0.98,0.98,98.45,106.03,109.05,140.86,171.25,177.96,190.21,1.02,1.02,1.02,1.02,1.02,84.15,77.69,88.15,96.65,91.27,98.81,101.65,1.1,1.1,1.1,1.1,1.1,1.1,88.82,88.69,94.99,86.01,83.46,112.7,1.31,1.31,1.31,1.31,1.31,1.31,98.44,72.94,69.12,73.18,92.3,99.84,1.4,1.4,1.4,1.4,1.4,1.4
39.0,38.19,38.93,40.62,43.28,43.58,42.2,42.16,43.46,43.83,43.8,44.5,46.42,48.03,49.19,52.48,53.77,57.0,57.82,68.08,85.1,87.78,88.95,88.55,87.64,89.17,87.82,88.79,85.32,76.72,71.24,76.35,74.85,71.56,65.72,63.21,61.64,65.44,72.67,69.48,67.87,69.08,71.18,71.96,71.29,71.92,74.97,81.55,83.0,82.56,82.45,84.2,82.03,79.45,79.6,86.49,91.94,93.24,97.56,108.57
0.4,0.54,1.05,0.99,0.44,0.52,0.51,1.21,1.26,1.06,0.72,1.04,0.59,0.6,0.97,0.98,0.77,0.6,0.67,1.17,1.58,1.64,1.54,2.04,1.52,1.39,1.4,0.66,0.45,0.51,0.92,1.11,1.0,0.98,0.88,1.41,1.36,1.32,1.47,1.45,1.24,1.13,1.83,1.7,1.97,2.46,2.27,1.64,1.14,0.96,1.22,1.54,1.46,1.14,1.16,1.67,1.77,1.58,1.82,1.52
55.0,70.84,87.94,89.6,94.35,112.5,0.51,1.21,1.26,1.06,0.72,1.04,0.59,68.33,53.0,74.73,115.24,0.6,0.67,1.17,1.58,1.64,1.54,2.04,57.5,55.0,55.0,58.86,52.62,49.64,0.92,1.11,1.0,0.98,0.88,1.41,51.0,56.64,82.89,99.9,102.5,111.91,114.36,1.7,1.97,2.46,2.27,1.64,82.67,0.96,75.0,93.75,92.17,96.36,1.16,1.67,1.77,1.58,1.82,1.52
1.25,1.0,0.78,0.68,0.64,0.61,0.66,0.68,0.73,0.73,0.62,0.67,0.64,0.67,0.75,0.8,0.82,0.78,0.76,0.75,0.75,0.87,0.94,0.9,1.28,1.08,1.07,1.28,1.15,1.12,1.26,1.2,1.0,0.98,0.88,1.41,1.0,1.16,1.62,1.6,1.25,1.13,114.36,1.7,1.97,2.46,2.27,1.64,1.56,2.01,2.25,2.66,1.86,1.93,1.16,1.67,1.77,1.58,1.82,1.52
154.0,152.67,152.67,153.06,153.27,153.58,156.91,157.71,156.33,158.22,172.63,203.41,0.64,183.08,185.69,187.3,187.87,188.7,200.18,209.6,227.2,238.55,251.39,255.22,260.57,269.77,271.71,283.76,291.79,301.18,314.51,323.92,324.14,306.19,293.1,304.55,324.58,311.5,313.0,322.82,319.57,322.16,329.02,328.93,323.97,312.07,305.86,306.28,303.17,299.4,294.32,294.23,289.08,284.96,283.35,275.75,1.77,1.58,1.82,1.52
138.33,138.73,138.65,138.19,137.2,136.33,137.84,137.67,136.58,138.93,152.4,176.87,0.64,154.72,165.48,163.29,161.51,162.5,171.53,179.47,200.33,212.03,224.7,227.05,233.4,246.89,253.09,262.29,268.45,277.47,285.24,291.64,297.38,281.91,268.29,264.0,261.5,271.5,275.53,280.34,279.91,281.01,287.73,289.01,279.02,274.66,270.45,269.84,268.63,262.27,258.3,254.01,247.97,250.31,243.01,241.67,1.77,1.58,1.82,1.52
15.01,13.41,17.44,17.21,12.84,136.33,137.84,137.67,136.58,138.93,8.43,6.72,6.97,8.96,15.06,25.88,161.51,162.5,171.53,179.47,200.33,8.67,11.83,13.03,15.79,20.56,21.35,20.18,18.75,277.47,285.24,291.64,297.38,281.91,14.52,16.92,18.54,19.88,21.86,22.32,27.09,281.01,287.73,289.01,279.02,274.66,46.75,41.6,28.69,23.28,19.2,20.52,20.08,250.31,243.01,241.67,1.77,1.58,30.9,28.77
30.04,26.83,35.01,34.54,25.67,136.33,137.84,137.67,136.58,138.93,16.24,13.29,13.93,17.92,30.12,52.01,161.51,162.5,171.53,179.47,200.33,17.33,22.86,26.05,31.57,41.11,42.7,40.36,37.5,277.47,285.24,291.64,297.38,281.91,29.04,33.84,37.06,39.77,43.63,44.54,54.19,281.01,287.73,289.01,279.02,274.66,95.25,83.75,57.38,46.56,38.39,41.03,40.16,250.31,243.01,241.67,1.77,1.58,61.8,57.55
130.0,130.0,35.01,34.54,25.67,136.33,137.84,137.67,136.58,138.93,16.24,13.29,13.93,17.92,30.12,52.01,161.51,162.5,171.53,179.47,200.33,17.33,22.86,26.05,31.57,41.11,42.7,40.36,37.5,277.47,285.24,291.64,297.38,281.91,29.04,33.84,37.06,39.77,43.63,44.54,54.19,281.01,287.73,289.01,279.02,274.66,95.25,83.75,57.38,46.56,38.39,41.03,40.16,250.31,243.01,241.67,1.77,1.58,61.8,57.55
