01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
766.05,44.01,1.03,1.0,926.5,914.29,776.41,742.86,680.25,604.48,703.43,792.5,800.0,1.09,1.1,1.1,1.1,53.14,54.73,54.19,57.72,65.75,77.82,69.84,69.52,1.28,1.08,1.08,80.24,77.71,76.11,82.11,82.99,83.72,85.72,85.35,86.15,1.31,1.35,1.35,1.35,102.77,105.46,109.28,98.26,93.14,96.36,92.26,89.9,1.4,1.39,1.38,1.38,68.43,67.93,67.52,57.17,54.9,62.25,65.61
2.5,3.2,3.5,3.0,2.35,1.59,1.83,2.62,3.35,3.16,3.64,3.0,3.2,3.0,3.0,3.0,2.74,2.1,2.64,3.0,4.0,6.06,3.55,3.02,3.0,3.0,3.41,3.19,2.7,2.54,2.5,2.85,3.3,3.5,4.8,6.07,5.61,5.41,5.48,5.12,4.85,4.45,4.3,5.28,6.45,7.01,5.96,5.8,5.78,5.6,5.35,5.33,4.98,4.88,5.6,6.41,7.6,8.34,6.73,6.75
39.93,39.73,38.46,3.0,2.35,1.59,1.83,2.62,3.35,55.0,54.39,50.63,50.0,53.85,54.29,52.93,68.79,2.1,2.64,3.0,4.0,6.06,92.95,79.96,73.81,75.13,83.04,83.09,89.25,90.0,98.41,90.18,84.25,74.31,69.2,59.08,54.25,62.49,76.41,79.3,77.5,84.57,81.93,85.54,87.5,100.0,92.33,90.23,91.93,95.13,96.63,95.0,94.61,96.0,5.6,6.41,7.6,124.8,123.58,122.38
39.93,26.92,30.26,32.65,32.36,28.0,29.39,27.05,17.0,19.74,19.52,16.0,21.08,29.05,30.94,32.18,29.83,21.84,20.27,21.05,21.05,18.1,19.21,22.61,28.08,27.81,83.04,83.09,89.25,90.0,98.41,90.18,21.05,21.05,21.05,24.32,26.32,28.16,29.26,29.13,77.5,84.57,81.93,32.06,26.56,27.18,29.92,25.77,25.15,25.27,24.24,95.0,94.61,96.0,5.6,40.0,40.0,37.89,33.0,34.19
39.11,51.88,60.0,62.5,82.87,85.0,73.91,30.34,22.88,24.11,26.31,34.0,31.3,27.0,32.91,65.27,75.24,73.75,64.78,35.63,28.82,40.05,48.75,42.91,35.95,35.0,36.26,39.36,58.75,61.55,66.55,51.25,35.06,37.86,40.5,37.61,37.63,63.68,94.0,99.9,95.0,90.0,87.62,80.22,60.0,27.18,81.14,54.32,76.14,75.5,71.52,68.13,65.0,66.25,73.75,80.35,59.86,62.39,57.5,55.0
170.0,170.0,172.14,177.73,175.65,172.5,172.83,173.18,175.24,178.04,191.67,207.95,200.0,191.88,195.52,198.68,216.67,230.91,250.65,274.05,280.0,280.0,296.43,292.83,281.19,287.5,297.83,285.23,288.81,301.14,327.73,324.55,306.59,287.62,294.32,308.7,314.76,314.25,326.09,327.62,301.82,296.91,308.24,310.0,300.45,290.0,290.0,293.41,300.0,299.0,287.83,281.25,273.26,257.95,256.0,80.35,59.86,62.39,57.5,55.0
99.29,96.21,172.14,177.73,175.65,172.5,172.83,173.18,90.14,85.82,91.93,99.8,200.0,103.45,195.52,198.68,216.67,230.91,250.65,274.05,119.64,121.24,128.83,137.73,141.44,143.91,297.83,285.23,288.81,301.14,327.73,324.55,134.56,161.32,174.45,178.12,175.52,114.0,326.09,327.62,301.82,296.91,308.24,310.0,135.81,151.17,150.7,151.05,151.43,154.38,151.43,281.25,273.26,257.95,256.0,80.35,155.0,165.0,177.25,55.0
14.5,14.18,14.0,14.5,14.22,14.73,14.74,14.5,14.0,14.67,14.67,15.88,15.24,16.25,16.5,16.3,16.0,16.0,16.87,17.38,19.57,20.32,20.75,20.17,19.29,19.75,20.78,20.02,19.0,18.3,19.32,19.95,19.98,19.14,18.5,19.15,20.88,22.68,21.13,20.0,20.0,23.86,24.29,23.0,22.32,151.17,22.77,23.05,23.0,23.0,23.43,23.5,22.43,20.18,20.5,21.0,21.48,22.27,22.82,23.24
96.65,93.0,92.86,95.5,101.0,106.25,105.0,105.0,105.0,103.04,112.38,116.5,123.26,126.25,130.91,132.5,146.19,126.0,123.48,113.75,111.36,149.55,150.0,139.13,126.43,122.5,146.3,160.0,172.5,167.05,165.0,154.25,140.68,131.19,136.25,158.48,183.75,216.05,281.52,221.43,200.0,205.0,210.95,222.83,218.18,151.17,260.0,255.45,290.0,297.0,298.26,300.0,288.7,272.05,270.0,271.96,271.43,260.0,260.0,248.1
96.65,93.0,92.86,95.5,101.0,106.25,105.0,138.25,140.75,130.87,169.29,187.27,185.0,126.25,130.91,132.5,146.19,126.0,200.0,182.14,240.23,251.82,150.0,139.13,126.43,122.5,146.3,160.0,172.5,167.05,348.33,337.27,273.18,251.19,136.25,158.48,183.75,216.05,281.52,221.43,200.0,205.0,210.95,222.83,300.0,300.0,321.59,325.0,290.0,297.0,298.26,300.0,288.7,272.05,270.0,202.63,183.33,260.0,260.0,248.1
