01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
145.39,145.0,142.14,147.05,150.0,2500.0,2304.35,2000.0,1887.5,1923.91,2100.0,2000.0,2000.0,161.25,165.5,168.82,186.67,1250.0,1424.28,1558.34,1714.66,1693.11,1675.0,1680.0,1364.85,250.0,257.83,272.5,271.25,270.0,274.55,272.5,259.32,251.43,260.23,280.43,1800.0,1778.95,1764.78,1765.0,251.25,245.0,258.1,256.09,255.0,255.0,255.0,255.0,1587.5,1744.44,1862.5,245.0,238.26,216.36,200.0,824.78,923.81,53.87,31.48,46.38
96.96,95.39,94.62,95.21,93.49,91.23,86.78,80.23,79.91,79.43,79.64,86.15,88.02,92.51,93.7,92.45,88.05,90.18,90.08,98.83,104.15,115.53,128.22,126.78,142.37,155.44,167.18,161.22,171.71,167.29,163.54,171.4,259.32,251.43,260.23,280.43,1800.0,1778.95,1764.78,1765.0,258.75,251.14,201.71,205.17,206.3,175.45,171.49,176.14,175.19,173.04,162.47,150.05,131.77,133.32,124.65,127.35,134.56,133.79,128.54,128.6
45.03,45.94,45.43,47.09,48.65,52.37,53.89,55.21,58.07,64.5,71.25,73.94,72.4,55.61,59.56,60.19,61.51,69.72,72.99,79.89,94.26,99.88,114.1,121.17,105.22,93.25,97.07,98.17,96.8,92.17,86.93,94.39,94.04,93.01,85.84,82.1,75.68,74.15,64.61,56.15,61.04,64.9,71.36,72.32,74.94,80.01,85.43,94.27,98.36,92.64,94.57,96.42,95.96,95.52,100.45,102.75,112.82,114.96,113.42,112.89
50.48,49.16,49.18,49.13,53.53,54.1,51.0,51.82,55.19,59.71,63.03,60.73,59.27,61.39,61.02,70.29,78.5,78.97,81.4,88.3,130.43,133.56,138.11,119.97,113.51,105.32,107.1,102.75,107.93,94.8,90.46,94.13,98.58,92.99,81.53,73.85,69.3,75.18,87.68,85.65,81.69,86.37,96.44,98.65,94.07,95.8,99.68,112.05,113.63,111.56,103.13,108.03,107.76,101.57,103.11,110.55,124.55,127.0,143.18,152.37
1.43,1.51,1.59,1.82,1.93,1.57,1.23,1.3,1.55,1.58,1.3,1.63,1.75,1.9,2.1,1.91,1.7,1.52,1.4,1.1,1.42,1.46,1.55,2.42,2.86,2.73,2.26,2.01,1.69,1.46,1.37,1.52,1.61,1.37,1.24,2.32,3.11,3.16,3.06,2.67,2.33,2.06,2.4,2.62,3.17,3.11,3.31,3.28,3.69,3.68,3.31,2.84,2.73,2.39,2.68,2.75,2.72,2.03,2.51,3.03
15.97,14.0,12.87,13.43,14.76,14.51,14.71,14.45,17.74,18.14,17.99,14.5,15.42,18.41,19.52,17.25,13.81,15.0,13.75,13.88,18.42,20.82,28.43,35.35,38.31,43.75,44.63,28.18,20.75,20.36,19.66,27.63,49.82,47.57,45.5,23.2,30.0,27.76,22.82,15.99,14.59,18.9,23.05,32.3,34.51,35.8,29.74,21.52,27.13,26.03,32.93,43.35,46.4,45.65,41.93,43.04,49.19,51.8,43.91,31.12
150.16,150.31,151.6,154.85,153.2,151.32,153.8,153.51,156.36,160.26,191.83,207.44,192.63,196.78,198.51,194.41,194.1,201.96,218.18,226.13,242.43,256.16,277.22,261.09,285.08,297.24,301.1,311.46,305.06,313.51,311.15,317.43,303.4,276.86,285.31,312.43,334.4,332.35,334.87,314.27,305.22,297.23,309.4,296.65,283.7,276.12,270.55,277.53,274.71,277.06,274.34,274.74,241.04,227.49,247.03,236.24,207.11,220.76,225.5,237.96
150.16,150.31,151.6,154.85,153.2,151.32,153.8,153.51,156.36,2.35,191.83,207.44,192.63,196.78,198.51,194.41,194.1,201.96,218.18,226.13,242.43,256.16,277.22,261.09,3.7,3.66,3.65,4.08,4.28,4.18,4.14,3.95,3.88,3.91,3.92,4.34,4.4,4.92,4.95,4.81,4.8,4.25,4.25,4.37,4.37,3.68,3.25,2.89,2.72,2.78,2.78,2.8,2.8,2.69,247.03,236.24,207.11,220.76,225.5,237.96
2.25,2.16,2.21,2.28,2.32,2.57,2.57,2.44,2.49,2.35,2.29,2.34,2.34,2.65,2.65,2.52,2.5,2.26,2.27,2.32,2.32,2.37,2.49,3.7,3.7,3.66,3.65,4.08,4.28,4.18,4.14,3.94,3.88,3.91,3.92,4.34,4.42,4.93,4.95,4.81,4.8,4.25,4.25,4.37,4.37,3.65,3.25,2.89,2.73,2.78,2.78,2.8,2.8,2.44,2.01,1.97,1.99,2.17,2.28,2.4
2.39,2.25,2.3,2.37,2.42,2.78,2.8,2.77,2.98,2.88,2.84,2.92,2.92,3.23,3.23,3.1,3.08,3.01,3.07,2.91,2.91,2.98,3.17,5.13,5.13,5.33,5.39,5.79,5.98,5.95,5.98,5.98,5.98,6.02,6.03,6.16,6.06,6.65,6.66,6.58,6.75,6.68,6.67,6.87,6.87,5.35,3.75,3.18,3.26,3.37,3.37,3.07,3.07,3.01,2.92,1.97,1.99,2.17,2.28,2.4
