01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
2.12,2.39,2.5,2.35,2.3,2.13,1.7,1.7,1.7,1.7,1.7,1.78,1.9,2.0,2.0,1.92,1.8,1.8,1.8,1.8,1.66,1.6,1.6,2.34,2.5,3.0,3.0,2.75,2.3,1.89,1.8,1.9,1.96,2.0,1.99,2.07,2.26,2.15,2.44,2.5,2.38,2.05,2.06,2.0,2.0,2.0,2.0,2.45,2.75,3.85,4.0,4.0,2.93,2.69,214.59,5.58,5.98,6.32,4.0,4.09
89.28,89.28,89.3,95.99,100.14,89.65,86.28,82.96,78.57,84.68,90.64,92.12,88.31,96.83,98.33,100.61,97.57,96.36,93.85,98.57,111.63,111.2,123.9,129.75,145.47,161.54,171.28,167.79,173.35,170.94,170.12,173.74,171.65,171.7,185.48,192.98,210.63,207.37,206.31,216.52,225.75,213.18,173.36,180.76,189.09,158.5,133.09,152.05,165.0,160.14,146.63,157.5,157.5,157.5,157.64,127.17,133.81,130.75,130.08,134.76
53.61,55.95,55.16,56.85,56.22,56.75,56.48,58.45,64.0,70.0,70.95,71.0,70.43,71.0,67.73,70.0,72.86,78.0,81.3,92.62,132.73,137.73,137.25,135.0,127.86,115.0,94.35,103.41,108.5,96.68,92.05,100.45,105.0,99.05,87.73,86.09,93.5,103.95,108.04,104.05,96.25,95.0,95.0,96.3,99.55,100.0,103.18,110.0,125.0,118.89,109.3,111.75,110.0,110.0,112.06,130.54,141.5,147.88,155.0,185.0
36.78,37.9,37.97,37.77,38.0,24.0,23.22,23.0,23.5,26.65,27.48,28.0,30.17,32.0,35.27,38.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,40.3,45.0,45.0,41.87,37.59,31.75,19.45,18.0,26.0,27.6,28.56,29.56,32.81,30.0,48.0,40.7,40.0,28.0,29.27,30.0,36.0,42.36,49.5,47.27,30.0,35.0,50.0,50.0,50.0,36.0,41.45,45.29,49.87,49.9,47.77,48.82,58.33
133.56,134.23,136.23,138.83,139.13,137.33,140.77,143.9,147.21,151.93,177.14,180.45,171.34,181.63,184.22,182.37,180.91,191.0,206.07,220.24,239.1,251.16,264.67,247.48,267.02,276.42,282.47,292.84,290.07,291.85,289.49,292.17,286.28,271.17,264.65,286.06,291.89,285.75,286.67,282.07,274.05,269.6,278.79,275.79,269.41,260.44,256.41,262.79,253.7,233.62,230.92,233.92,213.19,196.44,205.07,197.71,185.15,213.71,214.23,222.35
133.56,134.23,136.23,138.75,139.13,137.33,140.77,143.9,147.13,151.93,177.14,181.08,171.34,181.63,184.22,182.37,180.91,189.83,206.07,219.63,239.1,251.16,264.92,248.53,267.02,276.42,282.47,292.84,290.0,291.85,289.49,292.33,286.28,271.17,262.83,286.06,292.13,285.76,286.67,282.46,274.96,269.6,278.79,275.79,269.41,261.89,256.41,262.79,255.46,234.03,230.92,233.92,213.19,196.44,205.33,199.05,185.15,213.71,214.23,222.35
1604.61,1627.2,1626.94,1624.83,1624.87,1633.5,1624.0,1670.36,1698.0,1709.48,1877.9,2308.0,2296.26,2288.0,2334.36,2289.36,2268.0,2346.0,2575.04,2728.0,2849.73,3277.0,3542.5,3560.11,3627.24,3741.0,3670.43,3760.45,3649.0,3769.64,3724.0,3699.0,3590.91,3566.1,3564.25,3566.09,3643.0,3833.16,3633.57,3627.38,3538.0,3412.45,3412.19,3406.17,3405.82,3346.33,3325.18,3345.68,3282.75,3058.89,2922.83,2783.75,2736.52,2590.91,2445.89,199.05,185.15,213.71,214.23,222.35
2.29,2.23,2.21,2.22,2.23,2.32,2.35,2.48,2.51,2.51,2.51,2.44,2.45,2.46,2.62,2.68,2.62,2.43,2.37,2.25,2.28,2.35,2.54,3.0,3.08,3.42,4.04,4.07,4.07,4.35,4.66,4.52,4.54,4.56,4.49,4.55,4.55,4.98,4.98,4.98,4.98,4.98,4.98,4.97,4.96,4.93,4.8,4.68,4.59,4.3,4.03,3.84,3.35,3.27,2445.89,199.05,185.15,213.71,214.23,222.35
536.09,570.0,570.0,590.91,650.0,600.0,590.0,515.0,490.0,509.57,519.05,637.5,702.61,720.0,692.95,670.23,627.86,656.25,689.57,761.25,981.82,992.05,1252.5,1347.63,1391.67,1666.25,1713.04,1913.64,2100.0,2100.0,1820.83,1800.0,1800.0,1800.0,1800.0,1816.3,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1650.0,1650.0,1650.0,1650.0,1626.09,1565.0,1457.39,1321.59,1187.5,1082.61,1071.43,1050.0,1050.0,1127.27
1.52,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,519.05,637.5,702.61,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.05,3.1,3.13,3.15,3.15,1825.0,4.0,4.0,4.02,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.05,3.12,3.04,3.04,3.0,3.0
