Produto/Unidade,Nível de Comercialização,U.F.,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
ARROZ LONGO FINO BENEFICIADO TIPO 1 (25 kg),ATACADO,AC,"67,24","67,15","66,72","66,79","66,58","69,88","69,90","69,85","69,58","69,75","69,30","69,44","70,65","71,00","71,00","71,64","72,00","72,00","72,52","72,75","81,95","105,68","120,00","122,50","122,73","123,00","123,92","123,09","123,00","123,00","122,09","121,75","121,36","119,10","117,88","114,24","110,50","107,00","107,00","109,81","111,50","112,00","112,00","112,52","110,09","110,00","110,00","110,00","110,00","111,39","112,65","115,25","118,57","119,00","119,00","119,00","119,00","121,50","122,00","122,00"
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,AC,"93,80","94,06","94,19","93,91","94,21","93,54","93,83","94,00","94,46","94,69","94,02","94,73","95,33","95,56","96,06","96,78","96,76","96,89","97,05","97,31","97,24","97,52","97,68","97,79","97,84","97,64","98,00","98,14","98,58","98,10","98,23","98,38","98,51","98,63","98,76","98,84","99,30","101,32","105,78","108,00","108,00","109,27","110,00","113,91","116,14","118,50","120,00","120,00","120,00","122,78","127,70","134,50","140,09","146,05","149,00","149,17","149,00","149,75","150,00","150,00"
CARNE BOVINA DIANTEIRO COM OSSO (25 - 30 kg),ATACADO,AC,"223,65","224,30","224,79","224,81","226,05","227,00","227,05","227,44","227,21","227,44","227,40","229,63","231,98","234,30","235,06","236,86","237,06","237,18","237,76","237,89","242,17","252,50","259,25","262,93","263,51","263,85","266,63","267,82","267,95","268,49","272,50","275,50","277,41","277,52","276,00","277,00","278,50","280,53","282,00","282,00","282,00","282,00","282,00","282,00","282,91","288,50","290,00","290,00","290,00","286,61","281,04","278,75","277,22","276,09","275,00","275,00","275,00",,,
CARNE DE FRANGO CONGELADO (20 kg),ATACADO,AC,"110,17","110,48","110,62","110,68","110,63","110,62","110,80","110,81","110,78","110,86","110,94","111,00","112,52","114,55","114,71","116,32","119,43","120,14","120,74","121,33","121,69","121,91","121,98","122,73","123,06","123,49","124,04","124,46","124,74","125,43","129,00","132,25","133,41","133,52","132,00","132,87","134,00","135,00","138,83","139,95","142,00","142,18","143,00","143,35","144,68","146,50","146,00","146,00","146,00","147,39","148,00","148,00","148,57","149,00","149,00","149,00","149,00",,,
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AC,"125,17","125,00","125,00","125,44","125,18","125,69","126,10","126,15","126,00","125,90","125,53","126,39","128,52","129,00","129,11","131,14","133,25","132,52","132,05","132,40","132,69","133,06","133,54","134,54","135,00","135,83","137,81","139,03","139,59","140,66","142,82","144,50","145,00","145,00","145,00","145,87","148,25","151,32","153,00","152,06","153,00","153,18","154,00","154,00","154,00","154,25","155,00","155,00","155,00","155,00","155,00","155,00","155,00","155,23","156,00","156,00","156,00",,,
FARINHA DE MANDIOCA SECA MÉDIA AMARELO (A) (10 kg),ATACADO,AC,"31,68","31,72","31,76","31,76","31,60","29,03","29,11","29,39","29,18","29,16","29,45","29,39","29,81","30,06","30,48","31,55","32,30","32,23","33,02","33,00","33,21","32,98","33,95","35,05","34,57","34,56","34,47","34,45","34,43","34,77","37,48","38,63","39,50","39,51","39,56","39,40","39,58","39,65","40,61","41,95","43,00","43,20","43,50","43,52","43,59","43,64","43,68","43,73","43,75","43,81","43,84","43,89","43,90","43,94","43,97","43,97","43,97","43,91","43,97","43,97"
FARINHA DE MANDIOCA SECA MÉDIA BRANCO (A) (10 kg),ATACADO,AC,"32,67","32,50","32,49","32,53","32,43","33,91","34,19","34,03","33,91","33,68","33,26","32,76","32,56","33,24","33,45","34,20","34,42","33,51","33,62","33,78","33,82","33,54","34,55","35,21","35,13","35,01","34,84","34,89","34,74","35,13","37,98","38,68","39,00","39,00","39,00","38,84","38,87","38,87","39,33","39,98","40,00","40,33","40,55","40,64","40,71","40,74","40,78","40,84","40,86","40,93","40,94","40,96","41,00","41,49","42,15","42,25","42,25","42,68","42,81","42,80"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AC,"139,50","139,80","137,45","138,50","140,14","136,38","135,07","135,05","135,00","137,43","140,38","143,75","144,13","144,25","143,28","151,86","160,38","160,13","155,48","151,50","150,59","150,55","154,57","156,22","156,12","156,63","158,48","160,00","160,00","161,25","163,18","163,50","165,00","165,00","165,00","165,00","165,00","165,26","165,00","165,00","165,00","165,00","165,00","165,00","164,55","165,00","165,00","165,00","165,00","165,00","165,22","165,50","165,00","165,23","165,00","165,00","165,00","165,23","165,00","165,00"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AC,"43,25","42,95","42,18","42,68","43,11","42,51","42,70","42,75","42,75","42,88","43,10","43,38","44,12","44,56","44,56","46,48","46,92","46,96","47,21","47,45","47,60","48,41","48,65","48,81","48,56","48,56","48,73","48,89","48,95","49,49","51,34","52,00","52,00","52,48","54,00","54,08","54,93","55,26","56,00","56,00","56,00","56,70","58,00","59,96","64,14","66,25","67,00","67,00","67,00","67,56","68,00","67,50","66,22","65,55","65,00","65,00","65,71","65,00","65,00","65,00"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (5 kg),ATACADO,AC,"26,65","26,45","26,15","26,23","26,21","28,25","28,20","27,31","27,03","27,20","27,48","27,46","27,01","26,73","27,44","27,96","27,49","26,92","27,30","28,09","28,42","28,66","27,46","26,42","26,51","26,52","26,67","26,76","26,85","26,98","26,70","26,83","26,85","26,90","27,03","27,25","27,54","27,74","28,05","28,27","29,00","29,00","29,00","29,57","30,00","30,25","31,00","31,16","31,25","31,36","31,40","31,31","31,25","31,31","31,35","31,35","31,35","31,84","32,00","32,00"
